Date,FlexShares STOXX Global ESG Impact_Open_average,FlexShares STOXX Global ESG Impact_Open_max,FlexShares STOXX Global ESG Impact_Open_min,FlexShares STOXX Global ESG Impact_Open_volatility,FlexShares STOXX Global ESG Impact_Open_change,FlexShares STOXX Global ESG Impact_High_average,FlexShares STOXX Global ESG Impact_High_max,FlexShares STOXX Global ESG Impact_High_min,FlexShares STOXX Global ESG Impact_High_volatility,FlexShares STOXX Global ESG Impact_High_change,FlexShares STOXX Global ESG Impact_Low_average,FlexShares STOXX Global ESG Impact_Low_max,FlexShares STOXX Global ESG Impact_Low_min,FlexShares STOXX Global ESG Impact_Low_volatility,FlexShares STOXX Global ESG Impact_Low_change,FlexShares STOXX Global ESG Impact_Close_average,FlexShares STOXX Global ESG Impact_Close_max,FlexShares STOXX Global ESG Impact_Close_min,FlexShares STOXX Global ESG Impact_Close_volatility,FlexShares STOXX Global ESG Impact_Close_change
2018-01-14,99.93,99.93,99.93,0.0,0.0,100.53,100.53,100.53,0.0,0.0,99.93,99.93,99.93,0.0,0.0,100.53,100.53,100.53,0.0,0.0
2018-01-21,101.64,101.64,101.64,0.0,0.0,101.64,101.64,101.64,0.0,0.0,101.64,101.64,101.64,0.0,0.0,101.64,101.64,101.64,0.0,0.0
2018-01-28,97.23,97.23,97.23,0.0,0.0,97.7,97.7,97.7,0.0,0.0,97.23,97.23,97.23,0.0,0.0,97.23,97.23,97.23,0.0,0.0
2018-02-04,93.27,93.27,93.27,0.0,0.0,94.14,94.14,94.14,0.0,0.0,93.27,93.27,93.27,0.0,0.0,94.14,94.14,94.14,0.0,0.0
2018-02-11,97.25,97.25,97.25,0.0,0.0,97.57,97.57,97.57,0.0,0.0,97.18,97.18,97.18,0.0,0.0,97.18,97.18,97.18,0.0,0.0
2018-02-18,97.97,97.97,97.97,0.0,0.0,97.97,97.97,97.97,0.0,0.0,97.94,97.94,97.94,0.0,0.0,97.94,97.94,97.94,0.0,0.0
2018-02-25,95.27,95.27,95.27,0.0,0.0,96.02,96.02,96.02,0.0,0.0,95.27,95.27,95.27,0.0,0.0,96.02,96.02,96.02,0.0,0.0
2018-03-04,98.39,98.39,98.39,0.0,0.0,98.39,98.39,98.39,0.0,0.0,98.39,98.39,98.39,0.0,0.0,98.39,98.39,98.39,0.0,0.0
2018-03-11,96.53,96.53,96.53,0.0,0.0,96.58,96.58,96.58,0.0,0.0,95.5,95.5,95.5,0.0,0.0,95.5,95.5,95.5,0.0,0.0
2018-03-18,93.23,93.23,93.23,0.0,0.0,93.23,93.23,93.23,0.0,0.0,93.19,93.19,93.19,0.0,0.0,93.19,93.19,93.19,0.0,0.0
2018-03-25,93.8,93.8,93.8,0.0,0.0,93.8,93.8,93.8,0.0,0.0,91.73,91.73,91.73,0.0,0.0,91.97,91.97,91.97,0.0,0.0
2018-04-01,94.19,94.19,94.19,0.0,0.0,94.19,94.19,94.19,0.0,0.0,94.08,94.08,94.08,0.0,0.0,94.08,94.08,94.08,0.0,0.0
2018-04-08,95.74,95.74,95.74,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.74,95.74,95.74,0.0,0.0
2018-04-15,95.35,95.35,95.35,0.0,0.0,95.42,95.42,95.42,0.0,0.0,95.29,95.29,95.29,0.0,0.0,95.29,95.29,95.29,0.0,0.0
2018-04-22,95.34,95.34,95.34,0.0,0.0,95.7,95.7,95.7,0.0,0.0,94.76,94.76,94.76,0.0,0.0,94.76,94.76,94.76,0.0,0.0
2018-04-29,95.52,95.52,95.52,0.0,0.0,95.69,95.69,95.69,0.0,0.0,95.52,95.52,95.52,0.0,0.0,95.56,95.56,95.56,0.0,0.0
2018-05-06,97.72,97.72,97.72,0.0,0.0,97.81,97.81,97.81,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.44,97.44,97.44,0.0,0.0
2018-05-13,97.23,97.23,97.23,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.18,97.18,97.18,0.0,0.0,97.43,97.43,97.43,0.0,0.0
2018-05-20,96.24,96.24,96.24,0.0,0.0,96.27,96.27,96.27,0.0,0.0,96.16,96.16,96.16,0.0,0.0,96.16,96.16,96.16,0.0,0.0
2018-05-27,96.89,96.89,96.89,0.0,0.0,96.89,96.89,96.89,0.0,0.0,96.76,96.76,96.76,0.0,0.0,96.76,96.76,96.76,0.0,0.0
2018-06-03,97.83,97.83,97.83,0.0,0.0,97.83,97.83,97.83,0.0,0.0,97.74,97.74,97.74,0.0,0.0,97.74,97.74,97.74,0.0,0.0
2018-06-10,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0
2018-06-17,94.92,94.92,94.92,0.0,0.0,94.92,94.92,94.92,0.0,0.0,93.9,93.9,93.9,0.0,0.0,94.01,94.01,94.01,0.0,0.0
2018-06-24,93.39,93.39,93.39,0.0,0.0,93.92,93.92,93.92,0.0,0.0,93.39,93.39,93.39,0.0,0.0,93.92,93.92,93.92,0.0,0.0
2018-07-01,96.1,96.1,96.1,0.0,0.0,96.25,96.25,96.25,0.0,0.0,96.1,96.1,96.1,0.0,0.0,96.25,96.25,96.25,0.0,0.0
2018-07-08,96.93,96.93,96.93,0.0,0.0,97.0,97.0,97.0,0.0,0.0,96.75,96.75,96.75,0.0,0.0,96.75,96.75,96.75,0.0,0.0
2018-07-15,97.19,97.19,97.19,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.19,97.19,97.19,0.0,0.0,97.2,97.2,97.2,0.0,0.0
2018-07-22,97.79,97.79,97.79,0.0,0.0,97.79,97.79,97.79,0.0,0.0,97.12,97.12,97.12,0.0,0.0,97.12,97.12,97.12,0.0,0.0
2018-07-29,98.1,98.1,98.1,0.0,0.0,98.23,98.23,98.23,0.0,0.0,98.07,98.07,98.07,0.0,0.0,98.07,98.07,98.07,0.0,0.0
2018-08-05,97.2,97.2,97.2,0.0,0.0,97.2,97.2,97.2,0.0,0.0,96.77,96.77,96.77,0.0,0.0,96.77,96.77,96.77,0.0,0.0
2018-08-12,97.39,97.39,97.39,0.0,0.0,97.62,97.62,97.62,0.0,0.0,97.39,97.39,97.39,0.0,0.0,97.49,97.49,97.49,0.0,0.0
2018-08-19,98.33,98.33,98.33,0.0,0.0,98.35,98.35,98.35,0.0,0.0,98.12,98.12,98.12,0.0,0.0,98.12,98.12,98.12,0.0,0.0
2018-08-26,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0
2018-09-02,97.72,97.72,97.72,0.0,0.0,97.72,97.72,97.72,0.0,0.0,96.52,96.52,96.52,0.0,0.0,97.37,97.37,97.37,0.0,0.0
2018-09-09,98.46,98.46,98.46,0.0,0.0,98.46,98.46,98.46,0.0,0.0,98.05,98.05,98.05,0.0,0.0,98.05,98.05,98.05,0.0,0.0
2018-09-16,99.51,99.51,99.51,0.0,0.0,99.51,99.51,99.51,0.0,0.0,99.51,99.51,99.51,0.0,0.0,99.51,99.51,99.51,0.0,0.0
2018-09-23,99.86,99.86,99.86,0.0,0.0,99.98,99.98,99.98,0.0,0.0,99.81,99.81,99.81,0.0,0.0,99.81,99.81,99.81,0.0,0.0
2018-09-30,97.33,97.33,97.33,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.33,97.33,97.33,0.0,0.0
2018-10-07,93.5,93.5,93.5,0.0,0.0,93.5,93.5,93.5,0.0,0.0,93.04,93.04,93.04,0.0,0.0,93.04,93.04,93.04,0.0,0.0
2018-10-14,93.42,93.42,93.42,0.0,0.0,93.51,93.51,93.51,0.0,0.0,93.34,93.34,93.34,0.0,0.0,93.42,93.42,93.42,0.0,0.0
2018-10-21,91.62,91.62,91.62,0.0,0.0,91.62,91.62,91.62,0.0,0.0,90.54,90.54,90.54,0.0,0.0,90.54,90.54,90.54,0.0,0.0
2018-10-28,92.47,92.47,92.47,0.0,0.0,92.91,92.91,92.91,0.0,0.0,92.35,92.35,92.35,0.0,0.0,92.91,92.91,92.91,0.0,0.0
2018-11-04,92.01,92.01,92.01,0.0,0.0,92.18,92.18,92.18,0.0,0.0,91.46,91.46,91.46,0.0,0.0,91.46,91.46,91.46,0.0,0.0
2018-11-11,91.79,91.79,91.79,0.0,0.0,91.79,91.79,91.79,0.0,0.0,90.62,90.62,90.62,0.0,0.0,90.62,90.62,90.62,0.0,0.0
2018-11-18,90.23,90.23,90.23,0.0,0.0,90.68,90.68,90.68,0.0,0.0,89.96,89.96,89.96,0.0,0.0,90.68,90.68,90.68,0.0,0.0
2018-11-25,93.78,93.78,93.78,0.0,0.0,93.78,93.78,93.78,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.68,93.68,93.68,0.0,0.0
2018-12-02,88.75,88.75,88.75,0.0,0.0,88.75,88.75,88.75,0.0,0.0,88.75,88.75,88.75,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2018-12-09,87.97,87.97,87.97,0.0,0.0,88.17,88.17,88.17,0.0,0.0,87.97,87.97,87.97,0.0,0.0,88.17,88.17,88.17,0.0,0.0
2018-12-16,81.06,81.06,81.06,0.0,0.0,81.66,81.66,81.66,0.0,0.0,80.43,80.43,80.43,0.0,0.0,80.43,80.43,80.43,0.0,0.0
2018-12-23,85.24,85.24,85.24,0.0,0.0,85.58,85.58,85.58,0.0,0.0,83.95,83.95,83.95,0.0,0.0,85.32,85.32,85.32,0.0,0.0
