Date,iShares Core Total USD Bond Market_Open_average,iShares Core Total USD Bond Market_Open_max,iShares Core Total USD Bond Market_Open_min,iShares Core Total USD Bond Market_Open_volatility,iShares Core Total USD Bond Market_Open_change,iShares Core Total USD Bond Market_High_average,iShares Core Total USD Bond Market_High_max,iShares Core Total USD Bond Market_High_min,iShares Core Total USD Bond Market_High_volatility,iShares Core Total USD Bond Market_High_change,iShares Core Total USD Bond Market_Low_average,iShares Core Total USD Bond Market_Low_max,iShares Core Total USD Bond Market_Low_min,iShares Core Total USD Bond Market_Low_volatility,iShares Core Total USD Bond Market_Low_change,iShares Core Total USD Bond Market_Close_average,iShares Core Total USD Bond Market_Close_max,iShares Core Total USD Bond Market_Close_min,iShares Core Total USD Bond Market_Close_volatility,iShares Core Total USD Bond Market_Close_change
2018-01-14,50.49,50.49,50.49,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-01-21,50.47,50.47,50.47,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-01-28,50.0,50.0,50.0,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-02-04,49.65,49.65,49.65,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-02-11,49.8,49.8,49.8,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-02-18,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-02-25,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-03-04,49.64,49.64,49.64,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-03-11,49.65,49.65,49.65,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-03-18,49.71,49.71,49.71,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-03-25,49.79,49.79,49.79,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-04-01,49.79,49.79,49.79,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-04-08,49.59,49.59,49.59,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-04-15,49.37,49.37,49.37,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-04-22,49.38,49.38,49.38,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-04-29,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-05-06,49.21,49.21,49.21,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-05-13,49.03,49.03,49.03,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2018-05-20,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2018-05-27,49.26,49.26,49.26,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-06-03,49.1,49.1,49.1,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-06-10,49.27,49.27,49.27,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-06-17,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-06-24,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-07-01,49.4,49.4,49.4,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-07-08,49.48,49.48,49.48,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-07-15,49.39,49.39,49.39,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-07-22,49.3,49.3,49.3,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-07-29,49.35,49.35,49.35,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-08-05,49.38,49.38,49.38,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-08-12,49.53,49.53,49.53,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-08-19,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.54,49.54,49.54,0.0,0.0
