Date,Cambria Global Asset Allocation_etf_Open_average,Cambria Global Asset Allocation_etf_Open_max,Cambria Global Asset Allocation_etf_Open_min,Cambria Global Asset Allocation_etf_Open_volatility,Cambria Global Asset Allocation_etf_Open_change,Cambria Global Asset Allocation_etf_High_average,Cambria Global Asset Allocation_etf_High_max,Cambria Global Asset Allocation_etf_High_min,Cambria Global Asset Allocation_etf_High_volatility,Cambria Global Asset Allocation_etf_High_change,Cambria Global Asset Allocation_etf_Low_average,Cambria Global Asset Allocation_etf_Low_max,Cambria Global Asset Allocation_etf_Low_min,Cambria Global Asset Allocation_etf_Low_volatility,Cambria Global Asset Allocation_etf_Low_change,Cambria Global Asset Allocation_etf_Close_average,Cambria Global Asset Allocation_etf_Close_max,Cambria Global Asset Allocation_etf_Close_min,Cambria Global Asset Allocation_etf_Close_volatility,Cambria Global Asset Allocation_etf_Close_change
2018-01-14,28.07,28.07,28.07,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-01-21,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-01-28,27.9,27.9,27.9,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-02-04,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.65,26.65,26.65,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-02-11,27.58,27.58,27.58,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-02-18,27.54,27.54,27.54,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-02-25,27.36,27.36,27.36,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2018-03-04,27.67,27.67,27.67,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-03-11,27.62,27.62,27.62,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-03-18,27.52,27.52,27.52,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2018-03-25,27.45,27.45,27.45,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-04-01,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-04-08,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-04-15,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-04-22,27.37,27.37,27.37,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-04-29,27.07,27.07,27.07,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-05-06,27.52,27.52,27.52,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-05-13,27.22,27.22,27.22,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-05-20,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-05-27,27.36,27.36,27.36,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-06-03,27.31,27.31,27.31,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2018-06-10,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-06-17,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-06-24,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.8,26.8,26.8,0.0,0.0
