Date,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Open_average,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Open_max,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Open_min,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Open_volatility,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Open_change,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_High_average,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_High_max,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_High_min,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_High_volatility,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_High_change,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Low_average,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Low_max,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Low_min,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Low_volatility,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Low_change,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Close_average,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Close_max,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Close_min,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Close_volatility,Morgan Stanley Cushing MLP High Income Exp 21 MarEtf_Close_change
2018-01-14,7.46,7.46,7.46,0.0,0.0,7.56,7.56,7.56,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.56,7.56,7.56,0.0,0.0
2018-01-21,7.78,7.78,7.78,0.0,0.0,7.79,7.79,7.79,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.79,7.79,7.79,0.0,0.0
2018-01-28,7.4,7.4,7.4,0.0,0.0,7.49,7.49,7.49,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.49,7.49,7.49,0.0,0.0
2018-02-04,6.95,6.95,6.95,0.0,0.0,6.95,6.95,6.95,0.0,0.0,6.69,6.69,6.69,0.0,0.0,6.69,6.69,6.69,0.0,0.0
2018-02-11,7.15,7.15,7.15,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.15,7.15,7.15,0.0,0.0
2018-02-18,6.81,6.81,6.81,0.0,0.0,7.03,7.03,7.03,0.0,0.0,6.81,6.81,6.81,0.0,0.0,7.01,7.01,7.01,0.0,0.0
2018-02-25,6.65,6.65,6.65,0.0,0.0,6.74,6.74,6.74,0.0,0.0,6.61,6.61,6.61,0.0,0.0,6.67,6.67,6.67,0.0,0.0
2018-03-04,6.65,6.65,6.65,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.65,6.65,6.65,0.0,0.0
2018-03-11,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0
2018-03-18,6.25,6.25,6.25,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.2,6.2,6.2,0.0,0.0,6.2,6.2,6.2,0.0,0.0
2018-03-25,6.25,6.25,6.25,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.16,6.16,6.16,0.0,0.0,6.16,6.16,6.16,0.0,0.0
2018-04-01,6.3,6.3,6.3,0.0,0.0,6.31,6.31,6.31,0.0,0.0,6.16,6.16,6.16,0.0,0.0,6.17,6.17,6.17,0.0,0.0
2018-04-08,6.22,6.22,6.22,0.0,0.0,6.22,6.22,6.22,0.0,0.0,6.22,6.22,6.22,0.0,0.0,6.22,6.22,6.22,0.0,0.0
2018-04-15,6.29,6.29,6.29,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.3,6.3,6.3,0.0,0.0
2018-04-22,6.45,6.45,6.45,0.0,0.0,6.45,6.45,6.45,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.4,6.4,6.4,0.0,0.0
2018-04-29,6.19,6.19,6.19,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.18,6.18,6.18,0.0,0.0,6.25,6.25,6.25,0.0,0.0
2018-05-06,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0
2018-05-13,6.67,6.67,6.67,0.0,0.0,6.67,6.67,6.67,0.0,0.0,6.54,6.54,6.54,0.0,0.0,6.54,6.54,6.54,0.0,0.0
2018-05-20,6.63,6.63,6.63,0.0,0.0,6.63,6.63,6.63,0.0,0.0,6.63,6.63,6.63,0.0,0.0,6.63,6.63,6.63,0.0,0.0
2018-05-27,6.32,6.32,6.32,0.0,0.0,6.51,6.51,6.51,0.0,0.0,6.32,6.32,6.32,0.0,0.0,6.51,6.51,6.51,0.0,0.0
2018-06-03,6.55,6.55,6.55,0.0,0.0,6.63,6.63,6.63,0.0,0.0,6.55,6.55,6.55,0.0,0.0,6.63,6.63,6.63,0.0,0.0
2018-06-10,6.6,6.6,6.6,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.43,6.43,6.43,0.0,0.0,6.43,6.43,6.43,0.0,0.0
2018-06-17,6.48,6.48,6.48,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.48,6.48,6.48,0.0,0.0
2018-06-24,6.41,6.41,6.41,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.41,6.41,6.41,0.0,0.0,6.45,6.45,6.45,0.0,0.0
2018-07-01,6.54,6.54,6.54,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.44,6.44,6.44,0.0,0.0,6.6,6.6,6.6,0.0,0.0
2018-07-08,6.28,6.28,6.28,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.28,6.28,6.28,0.0,0.0
2018-07-15,6.68,6.68,6.68,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.65,6.65,6.65,0.0,0.0
2018-07-22,6.73,6.73,6.73,0.0,0.0,6.73,6.73,6.73,0.0,0.0,6.73,6.73,6.73,0.0,0.0,6.73,6.73,6.73,0.0,0.0
2018-07-29,6.91,6.91,6.91,0.0,0.0,6.92,6.92,6.92,0.0,0.0,6.91,6.91,6.91,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2018-08-05,6.99,6.99,6.99,0.0,0.0,7.07,7.07,7.07,0.0,0.0,6.99,6.99,6.99,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2018-08-12,6.65,6.65,6.65,0.0,0.0,6.83,6.83,6.83,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.83,6.83,6.83,0.0,0.0
2018-08-19,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,6.91,6.91,6.91,0.0,0.0,6.91,6.91,6.91,0.0,0.0
2018-08-26,6.62,6.62,6.62,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.6,6.6,6.6,0.0,0.0
2018-09-02,6.84,6.84,6.84,0.0,0.0,6.84,6.84,6.84,0.0,0.0,6.66,6.66,6.66,0.0,0.0,6.66,6.66,6.66,0.0,0.0
2018-09-09,6.65,6.65,6.65,0.0,0.0,6.69,6.69,6.69,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.69,6.69,6.69,0.0,0.0
2018-09-16,6.71,6.71,6.71,0.0,0.0,6.71,6.71,6.71,0.0,0.0,6.71,6.71,6.71,0.0,0.0,6.71,6.71,6.71,0.0,0.0
2018-09-23,6.64,6.64,6.64,0.0,0.0,6.91,6.91,6.91,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.81,6.81,6.81,0.0,0.0
2018-09-30,6.78,6.78,6.78,0.0,0.0,6.81,6.81,6.81,0.0,0.0,6.76,6.76,6.76,0.0,0.0,6.78,6.78,6.78,0.0,0.0
2018-10-07,6.88,6.88,6.88,0.0,0.0,6.88,6.88,6.88,0.0,0.0,6.67,6.67,6.67,0.0,0.0,6.67,6.67,6.67,0.0,0.0
