Date,First Trust Low Beta Income_Open_average,First Trust Low Beta Income_Open_max,First Trust Low Beta Income_Open_min,First Trust Low Beta Income_Open_volatility,First Trust Low Beta Income_Open_change,First Trust Low Beta Income_High_average,First Trust Low Beta Income_High_max,First Trust Low Beta Income_High_min,First Trust Low Beta Income_High_volatility,First Trust Low Beta Income_High_change,First Trust Low Beta Income_Low_average,First Trust Low Beta Income_Low_max,First Trust Low Beta Income_Low_min,First Trust Low Beta Income_Low_volatility,First Trust Low Beta Income_Low_change,First Trust Low Beta Income_Close_average,First Trust Low Beta Income_Close_max,First Trust Low Beta Income_Close_min,First Trust Low Beta Income_Close_volatility,First Trust Low Beta Income_Close_change
2016-01-03,19.0,19.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2016-01-10,18.58,18.58,18.58,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2016-01-17,18.51,18.51,18.51,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2016-01-24,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2016-01-31,18.75,18.75,18.75,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2016-02-07,18.33,18.33,18.33,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2016-02-14,19.0,19.0,19.0,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-02-21,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-02-28,19.33,19.33,19.33,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.33,19.33,19.33,0.0,0.0
2016-03-06,20.14,20.14,20.14,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2016-03-13,19.7,19.7,19.7,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2016-03-20,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2016-03-27,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2016-04-03,19.96,19.96,19.96,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2016-04-10,19.67,19.67,19.67,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.71,19.71,19.71,0.0,0.0
