Date,iShares Currency Hedged MSCI Canada_Open_average,iShares Currency Hedged MSCI Canada_Open_max,iShares Currency Hedged MSCI Canada_Open_min,iShares Currency Hedged MSCI Canada_Open_volatility,iShares Currency Hedged MSCI Canada_Open_change,iShares Currency Hedged MSCI Canada_High_average,iShares Currency Hedged MSCI Canada_High_max,iShares Currency Hedged MSCI Canada_High_min,iShares Currency Hedged MSCI Canada_High_volatility,iShares Currency Hedged MSCI Canada_High_change,iShares Currency Hedged MSCI Canada_Low_average,iShares Currency Hedged MSCI Canada_Low_max,iShares Currency Hedged MSCI Canada_Low_min,iShares Currency Hedged MSCI Canada_Low_volatility,iShares Currency Hedged MSCI Canada_Low_change,iShares Currency Hedged MSCI Canada_Close_average,iShares Currency Hedged MSCI Canada_Close_max,iShares Currency Hedged MSCI Canada_Close_min,iShares Currency Hedged MSCI Canada_Close_volatility,iShares Currency Hedged MSCI Canada_Close_change
2018-01-14,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2018-01-21,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.78,26.78,26.78,0.0,0.0
2018-01-28,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-02-04,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-02-11,25.35,25.35,25.35,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-02-18,25.72,25.72,25.72,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-02-25,25.09,25.09,25.09,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-03-04,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-03-11,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-03-18,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-03-25,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-04-01,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-04-08,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-04-15,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-04-22,25.75,25.75,25.75,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-04-29,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-05-06,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-05-13,26.74,26.74,26.74,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-05-20,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-05-27,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-06-03,26.57,26.57,26.57,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2018-06-10,26.86,26.86,26.86,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2018-06-17,27.11,27.11,27.11,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-06-24,26.88,26.88,26.88,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-07-01,26.79,26.79,26.79,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-07-08,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-07-15,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-07-22,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-07-29,27.0,27.0,27.0,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-08-05,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-08-12,26.71,26.71,26.71,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-08-19,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-08-26,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-09-02,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-09-09,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
