Date,NuShares ESG Mid-Cap Growth_Open_average,NuShares ESG Mid-Cap Growth_Open_max,NuShares ESG Mid-Cap Growth_Open_min,NuShares ESG Mid-Cap Growth_Open_volatility,NuShares ESG Mid-Cap Growth_Open_change,NuShares ESG Mid-Cap Growth_High_average,NuShares ESG Mid-Cap Growth_High_max,NuShares ESG Mid-Cap Growth_High_min,NuShares ESG Mid-Cap Growth_High_volatility,NuShares ESG Mid-Cap Growth_High_change,NuShares ESG Mid-Cap Growth_Low_average,NuShares ESG Mid-Cap Growth_Low_max,NuShares ESG Mid-Cap Growth_Low_min,NuShares ESG Mid-Cap Growth_Low_volatility,NuShares ESG Mid-Cap Growth_Low_change,NuShares ESG Mid-Cap Growth_Close_average,NuShares ESG Mid-Cap Growth_Close_max,NuShares ESG Mid-Cap Growth_Close_min,NuShares ESG Mid-Cap Growth_Close_volatility,NuShares ESG Mid-Cap Growth_Close_change
2018-01-14,30.72,30.72,30.72,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-01-21,31.49,31.49,31.49,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-01-28,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-02-04,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2018-02-11,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-02-18,29.93,29.93,29.93,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-02-25,29.58,29.58,29.58,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.58,29.58,29.58,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-03-04,31.05,31.05,31.05,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-03-11,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-03-18,29.73,29.73,29.73,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-03-25,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-04-01,29.2,29.2,29.2,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-04-08,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2018-04-15,29.83,29.83,29.83,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-04-22,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-04-29,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-05-06,30.86,30.86,30.86,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-05-13,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-05-20,30.96,30.96,30.96,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-05-27,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.5,31.5,31.5,0.0,0.0
