Date,iShares Intermediate GovtCredit Bond_Open_average,iShares Intermediate GovtCredit Bond_Open_max,iShares Intermediate GovtCredit Bond_Open_min,iShares Intermediate GovtCredit Bond_Open_volatility,iShares Intermediate GovtCredit Bond_Open_change,iShares Intermediate GovtCredit Bond_High_average,iShares Intermediate GovtCredit Bond_High_max,iShares Intermediate GovtCredit Bond_High_min,iShares Intermediate GovtCredit Bond_High_volatility,iShares Intermediate GovtCredit Bond_High_change,iShares Intermediate GovtCredit Bond_Low_average,iShares Intermediate GovtCredit Bond_Low_max,iShares Intermediate GovtCredit Bond_Low_min,iShares Intermediate GovtCredit Bond_Low_volatility,iShares Intermediate GovtCredit Bond_Low_change,iShares Intermediate GovtCredit Bond_Close_average,iShares Intermediate GovtCredit Bond_Close_max,iShares Intermediate GovtCredit Bond_Close_min,iShares Intermediate GovtCredit Bond_Close_volatility,iShares Intermediate GovtCredit Bond_Close_change
2018-01-14,108.99,108.99,108.99,0.0,0.0,109.08,109.08,109.08,0.0,0.0,108.93,108.93,108.93,0.0,0.0,108.97,108.97,108.97,0.0,0.0
2018-01-21,108.96,108.96,108.96,0.0,0.0,108.96,108.96,108.96,0.0,0.0,108.8,108.8,108.8,0.0,0.0,108.88,108.88,108.88,0.0,0.0
2018-01-28,108.35,108.35,108.35,0.0,0.0,108.95,108.95,108.95,0.0,0.0,108.31,108.31,108.31,0.0,0.0,108.87,108.87,108.87,0.0,0.0
2018-02-04,108.25,108.25,108.25,0.0,0.0,108.42,108.42,108.42,0.0,0.0,108.18,108.18,108.18,0.0,0.0,108.29,108.29,108.29,0.0,0.0
2018-02-11,108.07,108.07,108.07,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.04,108.04,108.04,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2018-02-18,108.21,108.21,108.21,0.0,0.0,108.39,108.39,108.39,0.0,0.0,108.2,108.2,108.2,0.0,0.0,108.21,108.21,108.21,0.0,0.0
2018-02-25,108.09,108.09,108.09,0.0,0.0,108.09,108.09,108.09,0.0,0.0,107.82,107.82,107.82,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2018-03-04,107.77,107.77,107.77,0.0,0.0,107.95,107.95,107.95,0.0,0.0,107.77,107.77,107.77,0.0,0.0,107.92,107.92,107.92,0.0,0.0
2018-03-11,107.8,107.8,107.8,0.0,0.0,108.02,108.02,108.02,0.0,0.0,107.78,107.78,107.78,0.0,0.0,107.81,107.81,107.81,0.0,0.0
2018-03-18,107.98,107.98,107.98,0.0,0.0,108.01,108.01,108.01,0.0,0.0,107.84,107.84,107.84,0.0,0.0,107.88,107.88,107.88,0.0,0.0
2018-03-25,107.93,107.93,107.93,0.0,0.0,108.2,108.2,108.2,0.0,0.0,107.89,107.89,107.89,0.0,0.0,108.09,108.09,108.09,0.0,0.0
