Date,TCOM_stock_Open_average,TCOM_stock_Open_max,TCOM_stock_Open_min,TCOM_stock_Open_volatility,TCOM_stock_Open_change,TCOM_stock_High_average,TCOM_stock_High_max,TCOM_stock_High_min,TCOM_stock_High_volatility,TCOM_stock_High_change,TCOM_stock_Low_average,TCOM_stock_Low_max,TCOM_stock_Low_min,TCOM_stock_Low_volatility,TCOM_stock_Low_change,TCOM_stock_Close_average,TCOM_stock_Close_max,TCOM_stock_Close_min,TCOM_stock_Close_volatility,TCOM_stock_Close_change,TCOM_stock_Volume_average,TCOM_stock_Volume_max,TCOM_stock_Volume_min,TCOM_stock_Volume_volatility,TCOM_stock_Volume_change
2018-01-14,48.2075,48.63,47.45,1.1799999999999997,-0.8299999999999983,48.557500000000005,49.1,47.65,1.4500000000000028,-1.4500000000000028,47.54,48.1,46.6,1.5,-1.5,47.715,48.34,46.85,1.490000000000002,-1.3699999999999974,5104053,5901495,4014695,1886800,535821
2018-01-21,45.486,46.04,44.84,1.1999999999999957,0.03999999999999915,46.066,47.07,45.2,1.8699999999999974,0.8599999999999994,44.864,45.79,44.45,1.3399999999999963,0.9600000000000009,45.648,46.84,44.83,2.010000000000005,0.7000000000000028,6838904,9630931,4924164,4706767,-3433019
2018-01-28,46.846,47.2,46.55,0.6500000000000057,0.10000000000000142,47.476,47.96,47.01,0.9500000000000028,-0.5,46.168,46.6,45.72,0.8800000000000026,0.28000000000000114,46.961999999999996,47.25,46.78,0.46999999999999886,-0.14000000000000057,4585305,5681012,3712499,1968513,1245990
2018-02-04,46.142,47.59,44.63,2.960000000000001,-2.019999999999996,47.248,48.32,45.15,3.1700000000000017,-2.4299999999999997,45.05,46.24,43.02,3.219999999999999,-3.2099999999999937,45.768,47.81,43.84,3.969999999999999,-2.4499999999999957,7804142,9686971,6214310,3472661,-94397
2018-02-11,44.728,46.34,43.7,2.6400000000000006,2.1200000000000045,45.618,47.19,44.47,2.719999999999999,2.719999999999999,44.448,46.34,43.07,3.270000000000003,3.270000000000003,45.102,46.64,43.65,2.990000000000002,2.990000000000002,4852052,5676063,3776646,1899417,-1529881
2018-02-18,46.760000000000005,47.45,46.35,1.1000000000000014,1.1000000000000014,47.26,47.48,47.05,0.4299999999999997,0.22999999999999687,46.2975,46.43,46.19,0.240000000000002,0.14000000000000057,46.82,47.45,46.37,1.0800000000000054,1.0800000000000054,3054478,4077632,2285869,1791763,-1644084
2018-02-25,46.338,47.17,44.98,2.190000000000005,-2.190000000000005,46.622,47.31,45.65,1.6600000000000037,-1.6600000000000037,45.542,46.88,43.9,2.980000000000004,-2.980000000000004,46.142,47.09,45.53,1.5600000000000023,-1.4600000000000009,3421888,4307404,2878808,1428596,-225915
2018-03-04,47.232,48.49,45.48,3.010000000000005,3.010000000000005,48.078,48.9,47.34,1.5599999999999952,1.5599999999999952,46.912,48.1,45.45,2.6499999999999986,2.6499999999999986,47.752,48.36,47.05,1.3100000000000023,1.3100000000000023,3725253,4979047,2607296,2371751,-1009051
2018-03-11,48.57,49.28,48.15,1.1300000000000026,-0.2700000000000031,49.62,49.9,49.46,0.4399999999999977,0.21999999999999886,48.004,48.44,47.14,1.2999999999999972,-0.07000000000000028,48.724000000000004,49.27,47.78,1.490000000000002,0.21000000000000085,8453827,13205213,5533821,7671392,5685955
2018-03-18,48.322,49.21,47.67,1.5399999999999991,0.00999999999999801,49.294,50.25,48.18,2.0700000000000003,-0.759999999999998,47.7,49.06,46.51,2.5500000000000043,-1.0900000000000034,48.548,49.62,46.76,2.8599999999999994,-1.9400000000000048,6964904,8898007,5778564,3119443,-2162709
2018-03-25,46.8675,47.94,46.0,1.9399999999999977,-1.1899999999999977,47.4075,47.94,46.77,1.1699999999999946,-0.7999999999999972,45.805,46.45,45.31,1.1400000000000006,-1.1400000000000006,46.6475,47.5,46.17,1.3299999999999983,-0.8800000000000026,4244173,5389512,3350648,2038864,-525816
2018-04-01,45.882,46.62,44.79,1.8299999999999983,-1.009999999999998,46.36,46.76,46.05,0.7100000000000009,-0.6799999999999997,45.010000000000005,45.7,44.36,1.3400000000000034,-0.9500000000000028,45.548,45.87,44.8,1.0700000000000003,-0.970000000000006,3688954,4307681,2629595,1678086,-217727
2018-04-08,45.558,45.9,45.19,0.7100000000000009,0.21999999999999886,45.962,46.27,45.63,0.6400000000000006,0.01999999999999602,44.806,45.48,43.53,1.9499999999999957,-1.1000000000000014,45.15,46.02,43.91,2.1100000000000065,-0.8700000000000045,3623351,5847950,2461957,3385993,3078490
2018-04-15,43.236,43.84,42.9,0.9400000000000048,-0.8400000000000034,43.708,44.27,43.21,1.0600000000000023,-0.759999999999998,42.614,43.04,42.36,0.6799999999999997,0.03999999999999915,42.910000000000004,43.34,42.64,0.7000000000000028,0.00999999999999801,4581070,7231413,3054331,4177082,-2705517
