Date,VelocityShares Daily Inverse VIX Medium TermEtf_Open_average,VelocityShares Daily Inverse VIX Medium TermEtf_Open_max,VelocityShares Daily Inverse VIX Medium TermEtf_Open_min,VelocityShares Daily Inverse VIX Medium TermEtf_Open_volatility,VelocityShares Daily Inverse VIX Medium TermEtf_Open_change,VelocityShares Daily Inverse VIX Medium TermEtf_High_average,VelocityShares Daily Inverse VIX Medium TermEtf_High_max,VelocityShares Daily Inverse VIX Medium TermEtf_High_min,VelocityShares Daily Inverse VIX Medium TermEtf_High_volatility,VelocityShares Daily Inverse VIX Medium TermEtf_High_change,VelocityShares Daily Inverse VIX Medium TermEtf_Low_average,VelocityShares Daily Inverse VIX Medium TermEtf_Low_max,VelocityShares Daily Inverse VIX Medium TermEtf_Low_min,VelocityShares Daily Inverse VIX Medium TermEtf_Low_volatility,VelocityShares Daily Inverse VIX Medium TermEtf_Low_change,VelocityShares Daily Inverse VIX Medium TermEtf_Close_average,VelocityShares Daily Inverse VIX Medium TermEtf_Close_max,VelocityShares Daily Inverse VIX Medium TermEtf_Close_min,VelocityShares Daily Inverse VIX Medium TermEtf_Close_volatility,VelocityShares Daily Inverse VIX Medium TermEtf_Close_change
2018-01-14,91.71,91.71,91.71,0.0,0.0,92.54,92.54,92.54,0.0,0.0,91.33,91.33,91.33,0.0,0.0,91.65,91.65,91.65,0.0,0.0
2018-01-21,90.06,90.06,90.06,0.0,0.0,90.41,90.41,90.41,0.0,0.0,89.41,89.41,89.41,0.0,0.0,89.67,89.67,89.67,0.0,0.0
2018-01-28,87.76,87.76,87.76,0.0,0.0,87.8,87.8,87.8,0.0,0.0,84.54,84.54,84.54,0.0,0.0,85.41,85.41,85.41,0.0,0.0
2018-02-04,64.63,64.63,64.63,0.0,0.0,67.27,67.27,67.27,0.0,0.0,61.0,61.0,61.0,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-02-11,69.94,69.94,69.94,0.0,0.0,70.96,70.96,70.96,0.0,0.0,69.41,69.41,69.41,0.0,0.0,70.01,70.01,70.01,0.0,0.0
2018-02-18,69.73,69.73,69.73,0.0,0.0,71.59,71.59,71.59,0.0,0.0,69.43,69.43,69.43,0.0,0.0,71.58,71.58,71.58,0.0,0.0
2018-02-25,64.6,64.6,64.6,0.0,0.0,67.11,67.11,67.11,0.0,0.0,63.78,63.78,63.78,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-03-04,68.7,68.7,68.7,0.0,0.0,71.06,71.06,71.06,0.0,0.0,68.7,68.7,68.7,0.0,0.0,71.06,71.06,71.06,0.0,0.0
2018-03-11,69.45,69.45,69.45,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.63,69.63,69.63,0.0,0.0
2018-03-18,66.49,66.49,66.49,0.0,0.0,67.53,67.53,67.53,0.0,0.0,63.9,63.9,63.9,0.0,0.0,63.9,63.9,63.9,0.0,0.0
