Date,CSV_Open_average,CSV_Open_max,CSV_Open_min,CSV_Open_volatility,CSV_Open_change,CSV_High_average,CSV_High_max,CSV_High_min,CSV_High_volatility,CSV_High_change,CSV_Low_average,CSV_Low_max,CSV_Low_min,CSV_Low_volatility,CSV_Low_change,CSV_Close_average,CSV_Close_max,CSV_Close_min,CSV_Close_volatility,CSV_Close_change,CSV_Volume_average,CSV_Volume_max,CSV_Volume_min,CSV_Volume_volatility,CSV_Volume_change
2018-01-14,26.426,26.86,26.08,0.7800000000000011,-0.5800000000000018,26.674,27.14,26.39,0.75,-0.75,26.052,26.65,25.71,0.9399999999999977,-0.8599999999999994,26.348,26.73,26.11,0.620000000000001,-0.379999999999999,134896,175857,87045,88812,-1878
2018-01-21,26.88,27.16,26.37,0.7899999999999991,0.629999999999999,27.162,27.67,26.65,1.0200000000000031,0.360000000000003,26.522,26.76,25.95,0.8100000000000023,0.8100000000000023,26.89,27.11,26.61,0.5,0.15000000000000213,184375,435514,53793,381721,381721
2018-01-28,26.554000000000002,26.89,26.23,0.6600000000000001,-0.46000000000000085,26.758,27.0,26.58,0.4200000000000017,-0.33000000000000185,26.13,26.66,25.48,1.1799999999999997,-1.1799999999999997,26.364,26.83,25.6,1.2299999999999969,-1.2299999999999969,168977,316582,81654,234928,82112
2018-02-04,25.8,26.32,25.27,1.0500000000000007,0.4200000000000017,26.09,26.35,25.77,0.5800000000000018,-0.28000000000000114,25.426,25.8,25.15,0.6500000000000021,0.17999999999999972,25.854,26.25,25.55,0.6999999999999993,-0.3099999999999987,112520,169028,75770,93258,-93258
2018-02-11,25.72,26.49,25.31,1.1799999999999997,1.0299999999999976,26.47,27.9,25.68,2.219999999999999,2.099999999999998,25.665,26.48,25.26,1.2199999999999989,1.2199999999999989,26.21,27.64,25.43,2.210000000000001,2.120000000000001,127131,211522,71128,140394,140394
2018-02-18,27.524,27.8,27.37,0.4299999999999997,0.3100000000000023,27.726,27.87,27.56,0.3100000000000023,0.10999999999999943,27.304,27.55,27.08,0.4700000000000024,0.240000000000002,27.516000000000002,27.81,27.32,0.48999999999999844,0.21999999999999886,75627,113583,47316,66267,-17026
2018-02-25,27.596,27.92,27.15,0.7700000000000031,-0.07000000000000028,27.916,28.15,27.64,0.509999999999998,0.00999999999999801,27.356,27.51,27.14,0.370000000000001,0.0,27.578,27.85,27.22,0.6300000000000026,0.120000000000001,111226,184401,61670,122731,20321
2018-03-04,28.004,28.29,27.67,0.6199999999999974,0.6199999999999974,28.206,28.42,28.05,0.370000000000001,0.2900000000000027,27.85,28.12,27.45,0.6700000000000017,0.6700000000000017,28.082,28.29,27.97,0.3200000000000003,0.23999999999999844,91607,149735,57255,92480,10670
2018-03-11,28.296,28.41,28.08,0.33000000000000185,0.07000000000000028,28.556,28.72,28.46,0.259999999999998,0.23000000000000043,28.080000000000002,28.21,27.94,0.2699999999999996,0.21999999999999886,28.292,28.42,28.01,0.41000000000000014,0.41000000000000014,129288,237656,64961,172695,-45163
2018-03-18,28.073999999999998,28.48,27.74,0.740000000000002,-0.740000000000002,28.302,28.77,27.77,1.0,-1.0,27.75,28.11,27.32,0.7899999999999991,-0.7699999999999996,27.852,28.19,27.44,0.75,-0.5700000000000003,79029,143983,47211,96772,25634
2018-03-25,27.6075,27.75,27.46,0.28999999999999915,0.0,27.895,28.07,27.76,0.3099999999999987,-0.030000000000001137,27.3275,27.59,27.1,0.48999999999999844,-0.25,27.5175,27.66,27.27,0.39000000000000057,-0.21999999999999886,80151,91130,64918,26212,13384
2018-04-01,27.626,27.94,27.18,0.7600000000000016,0.5100000000000016,27.919999999999998,28.2,27.5,0.6999999999999993,0.6099999999999994,27.38,27.76,27.01,0.75,0.75,27.684,27.89,27.35,0.5399999999999991,0.4299999999999997,136435,291867,60832,231035,-231035
2018-04-08,27.866,28.0,27.75,0.25,0.019999999999999574,27.971999999999998,28.27,27.79,0.4800000000000004,0.19000000000000128,27.672,27.93,27.48,0.4499999999999993,0.16999999999999815,27.823999999999998,28.17,27.63,0.5400000000000027,0.3400000000000034,125773,242681,67815,174866,146846
2018-04-15,28.328,28.46,28.25,0.21000000000000085,0.21000000000000085,28.494,28.55,28.4,0.15000000000000213,0.07000000000000028,28.204,28.32,28.11,0.21000000000000085,-0.05000000000000071,28.352,28.46,28.23,0.23000000000000043,-0.07000000000000028,78585,125452,35445,90007,-48303
2018-04-22,27.542,28.36,26.69,1.6699999999999982,-1.5899999999999999,27.934,28.96,26.95,2.0100000000000016,-1.9800000000000004,26.926000000000002,28.35,25.89,2.460000000000001,-2.460000000000001,27.138,28.58,26.03,2.549999999999997,-2.549999999999997,206960,308512,123177,185335,28367
