Date,CREGStock_Open_average,CREGStock_Open_max,CREGStock_Open_min,CREGStock_Open_volatility,CREGStock_Open_change,CREGStock_High_average,CREGStock_High_max,CREGStock_High_min,CREGStock_High_volatility,CREGStock_High_change,CREGStock_Low_average,CREGStock_Low_max,CREGStock_Low_min,CREGStock_Low_volatility,CREGStock_Low_change,CREGStock_Close_average,CREGStock_Close_max,CREGStock_Close_min,CREGStock_Close_volatility,CREGStock_Close_change,CREGStock_Volume_average,CREGStock_Volume_max,CREGStock_Volume_min,CREGStock_Volume_volatility,CREGStock_Volume_change
2018-01-14,3.0475,3.18,2.98,0.20000000000000018,-0.20000000000000018,3.1167249999999997,3.188,3.0189999999999997,0.16900000000000048,-0.16900000000000048,2.92,2.96,2.81,0.1499999999999999,-0.1499999999999999,2.97,3.04,2.85,0.18999999999999995,-0.18999999999999995,259454,302776,185126,117650,117650
2018-01-21,2.842,2.89,2.81,0.08000000000000007,0.06000000000000005,2.93946,3.0,2.89,0.10999999999999988,0.04999999999999982,2.8087,2.82,2.8,0.020000000000000018,0.020000000000000018,2.844,2.85,2.83,0.020000000000000018,-0.020000000000000018,194475,314715,124088,190627,106012
2018-01-28,2.694,2.87,2.3,0.5700000000000003,-0.5100000000000002,2.7239999999999998,2.9,2.32,0.5800000000000001,-0.5800000000000001,2.5282,2.801,2.12,0.681,-0.681,2.55806,2.86,2.13,0.73,-0.73,213783,338855,92613,246242,108308
2018-02-04,2.10144,2.2172,1.94,0.2772000000000001,-0.16999999999999993,2.17702,2.25,1.9999,0.2501,-0.2501,1.986,2.11,1.83,0.2799999999999998,-0.2799999999999998,2.04,2.15,1.91,0.24,-0.19000000000000017,127669,218146,57954,160192,4739
2018-02-11,1.9939999999999998,2.07,1.92,0.1499999999999999,0.04999999999999982,2.06772,2.0905,2.0384,0.05209999999999981,0.02079999999999993,1.96218,2.02,1.92,0.10000000000000009,0.06999999999999984,2.006,2.03,1.93,0.09999999999999987,0.009999999999999787,41117,74066,28973,45093,-901
2018-02-18,2.0175,2.07,1.98,0.08999999999999986,-0.020000000000000018,2.092775,2.15,2.0401,0.10990000000000011,-0.10990000000000011,1.96,2.01,1.88,0.1299999999999999,-0.1200000000000001,1.9949999999999999,2.04,1.95,0.09000000000000008,-0.09000000000000008,73228,78634,70102,8532,-1890
2018-02-25,1.998,2.05,1.93,0.11999999999999988,-0.07000000000000006,2.04176,2.1,1.96,0.14000000000000012,-0.10999999999999988,1.932,1.98,1.85,0.1299999999999999,-0.07999999999999985,1.992,2.03,1.95,0.07999999999999985,-0.040000000000000036,44751,69339,27129,42210,19800
2018-03-04,1.954,2.02,1.91,0.1100000000000001,0.0,1.99352,2.04,1.91,0.13000000000000012,-0.12220000000000009,1.888,1.95,1.82,0.1299999999999999,-0.08999999999999986,1.93398,1.99,1.86,0.1299999999999999,-0.08999999999999986,30898,55597,17816,37781,34989
2018-03-11,1.8378,1.92,1.77,0.1499999999999999,0.08999999999999986,1.9285,2.1187,1.85,0.26869999999999994,0.25869999999999993,1.778,1.88,1.75,0.1299999999999999,0.1299999999999999,1.84802,1.99,1.76,0.22999999999999998,0.19999999999999996,92232,201269,22213,179056,132991
2018-03-18,12.028,19.0,1.95,17.05,16.41,12.74866,20.4,2.0073,18.392699999999998,18.363999999999997,11.64934,18.5,1.87,16.63,16.13,12.084,19.3,1.88,17.42,17.36,17472,38085,4543,33542,-27900
2018-03-25,16.475,19.3,15.2,4.100000000000001,-4.100000000000001,17.411,19.3,15.944,3.356,-1.5,14.31475,15.0,13.527000000000001,1.472999999999999,0.6039999999999974,15.1,15.7,14.2,1.5,-1.5,16089,49692,4018,45674,-44718
2018-04-01,14.34,14.6,13.8,0.7999999999999989,0.1999999999999993,15.3278,16.599,14.6,1.9990000000000006,-1.0990000000000002,13.9652,14.6,13.175999999999998,1.4240000000000013,0.6500000000000004,14.4984,14.99,13.8,1.1899999999999995,0.3879999999999999,3327,4740,1157,3583,-2027
2018-04-08,16.419999999999998,17.0,15.2,1.8000000000000007,1.5,17.3526,18.262999999999998,16.8,1.4629999999999974,0.5,15.6882,16.23,15.1,1.1300000000000008,1.1300000000000008,16.568,17.0,16.0,1.0,1.0,10832,31029,4334,26695,-1866
2018-04-15,16.34,16.9,15.8,1.0999999999999979,-1.0999999999999979,16.52,16.9,16.1,0.7999999999999972,-0.7999999999999972,15.6402,15.9,15.5,0.40000000000000036,-0.10099999999999909,16.0014,16.5,15.647,0.8529999999999998,-0.6530000000000005,2722,4424,956,3468,-2793
2018-04-22,15.44,15.8,14.5,1.3000000000000007,-1.3000000000000007,15.7624,16.0,15.495999999999999,0.5040000000000013,-0.5040000000000013,15.0,15.5,14.5,1.0,-1.0,15.06,15.5,14.7,0.8000000000000007,-0.8000000000000007,1597,2666,614,2052,-1098
2018-04-29,18.82,34.5,14.5,20.0,19.4,21.5198,38.0,15.1,22.9,22.9,15.7208,21.003,14.3,6.702999999999999,6.702999999999999,17.95,23.8,14.6,9.200000000000001,6.85,232096,914612,1137,913475,913475
2018-05-06,18.28,20.0,16.5,3.5,-3.5,19.3108,21.266,17.99,3.276,-3.165999999999997,17.0,18.7,15.5,3.1999999999999993,-3.1999999999999993,17.5,19.3,16.0,3.3000000000000007,-3.3000000000000007,32092,55390,22962,32428,-29514
2018-05-13,17.26,17.7,16.5,1.1999999999999993,0.8000000000000007,18.5162,21.9,17.3,4.599999999999998,0.1999999999999993,16.64,17.2,16.0,1.1999999999999993,0.5,17.2,17.7,16.7,1.0,0.1999999999999993,46567,175947,12020,163927,40
2018-05-20,16.72,17.1,16.4,0.7000000000000028,-0.5,17.1436,17.4,16.807000000000002,0.5929999999999964,-0.29999999999999716,16.3184,16.663,16.022000000000002,0.6409999999999982,-0.36299999999999955,16.56,17.0,16.2,0.8000000000000007,-0.3000000000000007,6282,11203,3149,8054,6388
2018-05-27,17.25,18.0,16.4,1.6000000000000014,1.4000000000000021,19.5975,21.3,18.8,2.5,-0.3000000000000007,16.999499999999998,17.598,16.4,1.1980000000000004,0.8000000000000007,17.75,18.1,16.9,1.2000000000000028,1.2000000000000028,26800,54987,12889,42098,-13499
2018-06-03,17.86,18.2,17.3,0.8999999999999986,-0.6999999999999993,18.477999999999998,19.2,17.7,1.5,-0.8000000000000007,17.222,17.6,16.7,0.9000000000000021,-0.41000000000000014,17.678,18.3,16.9,1.4000000000000021,-0.9000000000000021,9073,18774,4228,14546,-3261
2018-06-10,17.0,17.3,16.7,0.6000000000000014,-0.1999999999999993,17.485599999999998,17.7,17.378,0.3219999999999992,-0.3000000000000007,16.68,16.9,16.3,0.5999999999999979,-0.5999999999999979,17.0598,17.399,16.7,0.6990000000000016,-0.6990000000000016,4698,8692,1947,6745,-700
2018-06-17,16.6,16.9,16.4,0.5,-0.29999999999999716,17.7998,20.6,16.999000000000002,3.600999999999999,3.400000000000002,16.391199999999998,16.5,16.31,0.19000000000000128,0.19000000000000128,16.62,16.8,16.5,0.3000000000000007,0.0,28670,129091,2399,126692,125803
2018-06-24,16.42,17.1,15.4,1.700000000000001,-1.4000000000000004,17.2962,18.8,16.143,2.657,-2.657,15.684199999999999,16.4,15.120999999999999,1.279,-0.9999999999999982,16.2298,17.1,15.499,1.6010000000000009,-1.1010000000000009,17974,40100,2664,37436,-37436
2018-07-01,15.425,15.6,15.3,0.29999999999999893,0.1999999999999993,16.425,17.1,15.9,1.200000000000001,1.1000000000000014,15.05,15.1,15.0,0.09999999999999964,0.0,15.55,16.1,15.0,1.1000000000000014,1.1000000000000014,16081,26423,3082,23341,22165
2018-07-08,16.2972,16.7,15.985999999999999,0.7140000000000004,-0.10000000000000142,16.93,17.6,16.4,1.2000000000000028,-0.15000000000000213,15.82,16.1,15.6,0.5000000000000018,-0.3000000000000007,16.0698,16.4,15.81,0.5899999999999981,-0.5899999999999981,14228,41143,1819,39324,788
2018-07-15,15.61,15.8,15.3,0.5,-0.05000000000000071,15.89,16.5,15.6,0.9000000000000004,-0.75,15.0368,15.3,14.7,0.6000000000000014,-0.6000000000000014,15.58,15.9,15.2,0.7000000000000011,-0.5,7428,13357,3625,9732,-4582
2018-07-22,15.043,15.5,14.415,1.0850000000000009,-0.8850000000000016,15.6614,16.5,15.097999999999999,1.402000000000001,0.4059999999999988,14.6228,15.0,14.100999999999999,0.8990000000000009,-0.6129999999999995,14.8,15.4,14.3,1.0999999999999996,-1.0999999999999996,10385,26305,1400,24905,10010
2018-07-29,13.959999999999999,15.1,12.8,2.299999999999999,-1.6999999999999993,14.4002,16.2,13.2,3.0,-2.899000000000001,13.06,14.0,12.3,1.6999999999999993,-1.6999999999999993,13.3938,14.5,12.6,1.9000000000000004,-1.5,21914,60857,7401,53456,-53456
2018-08-05,13.0336,13.267999999999999,12.9,0.36799999999999855,-0.1999999999999993,13.161200000000001,13.299000000000001,12.965,0.3340000000000014,-0.30900000000000105,12.4212,12.6,12.3,0.29999999999999893,0.0,12.7944,13.0,12.4,0.5999999999999996,-0.5999999999999996,3531,6840,1689,5151,-4214
2018-08-12,12.66,13.5,11.8,1.6999999999999993,0.9000000000000004,13.678,15.0,12.4,2.5999999999999996,2.5999999999999996,11.92,12.0,11.8,0.1999999999999993,0.0,12.8862,13.7,12.177,1.5229999999999997,0.5459999999999994,30733,91044,2918,88126,88126
2018-08-19,13.0132,13.4,12.5,0.9000000000000004,0.6659999999999986,13.4188,13.828,12.772,1.0559999999999992,0.39399999999999835,12.7464,13.100999999999999,12.3,0.8009999999999984,0.43099999999999916,13.1002,13.4,12.6,0.8000000000000007,0.40000000000000036,6127,15255,1667,13588,-4935
2018-08-26,12.700000000000001,13.0,12.3,0.6999999999999993,-0.5999999999999996,12.9924,13.414000000000001,12.549000000000001,0.8650000000000002,-0.8650000000000002,12.3702,12.6,12.25,0.34999999999999964,-0.34999999999999964,12.500399999999999,12.800999999999998,12.3,0.5009999999999977,-0.5009999999999977,4037,7362,1492,5870,-3382
2018-09-02,12.6,13.6,12.1,1.5,-1.5,13.3855,15.5,12.5,3.0,-2.7109999999999985,12.05,12.5,11.6,0.9000000000000004,-0.9000000000000004,12.32475,12.8,12.0,0.8000000000000007,-0.8000000000000007,22012,68730,3106,65624,-60642
2018-09-09,11.7748,12.1,11.4,0.6999999999999993,-0.09999999999999964,12.1434,12.5,11.8,0.6999999999999993,0.3390000000000004,11.482,11.6,11.4,0.1999999999999993,0.1899999999999995,11.798,11.99,11.6,0.39000000000000057,-0.1319999999999979,7285,13633,2932,10701,6770
2018-09-16,11.7,12.0,11.5,0.5,0.1999999999999993,11.9006,12.0,11.7,0.3000000000000007,0.027999999999998693,11.4034,11.7,11.2,0.5,0.09999999999999964,11.572799999999999,11.7,11.3,0.3999999999999986,0.0039999999999995595,4073,7798,981,6817,-2158
2018-09-23,11.5916,12.0,11.2,0.8000000000000007,-0.3420000000000005,11.94,12.0,11.9,0.09999999999999964,0.0,11.34,11.5,11.2,0.3000000000000007,0.1999999999999993,11.5084,11.742,11.3,0.44200000000000017,0.29999999999999893,5102,9589,2291,7298,-564
2018-09-30,12.26,12.9,11.8,1.0999999999999996,0.1999999999999993,12.4404,13.6,11.860999999999999,1.7390000000000008,0.23900000000000077,11.620000000000001,11.8,11.3,0.5,0.29999999999999893,12.01,12.205,11.8,0.40499999999999936,0.29999999999999893,13482,50840,1839,49001,2974
2018-10-07,11.84,12.0,11.7,0.3000000000000007,0.0,12.4956,13.2,12.1,1.0999999999999996,-1.0999999999999996,11.48,11.7,11.2,0.5,-0.1999999999999993,11.7524,12.0,11.562999999999999,0.43700000000000117,-0.23700000000000188,9194,18584,1700,16884,-12332
2018-10-14,13.88,20.0,11.6,8.4,8.2,17.4284,26.0,11.942,14.058,9.100000000000001,12.3322,14.0,11.0,3.0,2.5999999999999996,13.3032,15.3,11.5,3.8000000000000007,3.6999999999999993,207873,666629,1540,665089,209103
2018-10-21,13.66,14.8,13.1,1.700000000000001,-1.6000000000000014,15.1102,17.152,13.199000000000002,3.9529999999999994,1.4520000000000017,12.84,13.2,12.5,0.6999999999999993,-0.5,13.7248,15.9,12.724,3.176,2.9000000000000004,57547,131159,17209,113950,84719
2018-10-28,14.34,19.0,12.8,6.199999999999999,-5.800000000000001,14.78,20.0,13.2,6.800000000000001,-6.800000000000001,12.78,14.0,12.2,1.8000000000000007,-1.6999999999999993,13.4978,15.989,12.7,3.2890000000000015,-2.9890000000000008,111076,236073,30759,205314,-142240
2018-11-04,12.56,12.8,12.1,0.7000000000000011,-0.7000000000000011,12.860000000000001,13.3,12.4,0.9000000000000004,-0.5,12.18,12.4,11.8,0.5999999999999996,-0.5999999999999996,12.44,12.6,12.1,0.5,-0.40000000000000036,37858,56482,20783,35699,-18280
2018-11-11,11.68,12.2,11.3,0.8999999999999986,-0.5999999999999996,12.1024,12.494000000000002,11.718,0.7760000000000016,-0.7760000000000016,11.200000000000001,11.5,10.5,1.0,-1.0,11.58,11.9,11.3,0.5999999999999996,-0.1999999999999993,43639,89331,21971,67360,67360
