Date,Victory CEMP International High Dividend Volatilit_etf_Open_average,Victory CEMP International High Dividend Volatilit_etf_Open_max,Victory CEMP International High Dividend Volatilit_etf_Open_min,Victory CEMP International High Dividend Volatilit_etf_Open_volatility,Victory CEMP International High Dividend Volatilit_etf_Open_change,Victory CEMP International High Dividend Volatilit_etf_High_average,Victory CEMP International High Dividend Volatilit_etf_High_max,Victory CEMP International High Dividend Volatilit_etf_High_min,Victory CEMP International High Dividend Volatilit_etf_High_volatility,Victory CEMP International High Dividend Volatilit_etf_High_change,Victory CEMP International High Dividend Volatilit_etf_Low_average,Victory CEMP International High Dividend Volatilit_etf_Low_max,Victory CEMP International High Dividend Volatilit_etf_Low_min,Victory CEMP International High Dividend Volatilit_etf_Low_volatility,Victory CEMP International High Dividend Volatilit_etf_Low_change,Victory CEMP International High Dividend Volatilit_etf_Close_average,Victory CEMP International High Dividend Volatilit_etf_Close_max,Victory CEMP International High Dividend Volatilit_etf_Close_min,Victory CEMP International High Dividend Volatilit_etf_Close_volatility,Victory CEMP International High Dividend Volatilit_etf_Close_change
2018-01-14,37.34,37.34,37.34,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-01-21,37.89,37.89,37.89,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-01-28,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-02-04,34.93,34.93,34.93,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.26,34.26,34.26,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-02-11,35.97,35.97,35.97,0.0,0.0,36.39,36.39,36.39,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-02-18,36.21,36.21,36.21,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-02-25,35.35,35.35,35.35,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-03-04,36.07,36.07,36.07,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.07,36.07,36.07,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-03-11,35.82,35.82,35.82,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-03-18,35.04,35.04,35.04,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-03-25,35.45,35.45,35.45,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-04-01,35.64,35.64,35.64,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-04-08,35.96,35.96,35.96,0.0,0.0,36.09,36.09,36.09,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.06,36.06,36.06,0.0,0.0
2018-04-15,35.68,35.68,35.68,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-04-22,35.71,35.71,35.71,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-04-29,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-05-06,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-05-13,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-05-20,34.9,34.9,34.9,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.84,34.84,34.84,0.0,0.0
