Date,iShares New York AMT-Free Muni Bond_Open_average,iShares New York AMT-Free Muni Bond_Open_max,iShares New York AMT-Free Muni Bond_Open_min,iShares New York AMT-Free Muni Bond_Open_volatility,iShares New York AMT-Free Muni Bond_Open_change,iShares New York AMT-Free Muni Bond_High_average,iShares New York AMT-Free Muni Bond_High_max,iShares New York AMT-Free Muni Bond_High_min,iShares New York AMT-Free Muni Bond_High_volatility,iShares New York AMT-Free Muni Bond_High_change,iShares New York AMT-Free Muni Bond_Low_average,iShares New York AMT-Free Muni Bond_Low_max,iShares New York AMT-Free Muni Bond_Low_min,iShares New York AMT-Free Muni Bond_Low_volatility,iShares New York AMT-Free Muni Bond_Low_change,iShares New York AMT-Free Muni Bond_Close_average,iShares New York AMT-Free Muni Bond_Close_max,iShares New York AMT-Free Muni Bond_Close_min,iShares New York AMT-Free Muni Bond_Close_volatility,iShares New York AMT-Free Muni Bond_Close_change
2018-01-14,55.54,55.54,55.54,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.53,55.53,55.53,0.0,0.0
2018-01-21,55.26,55.26,55.26,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2018-01-28,54.84,54.84,54.84,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-02-04,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2018-02-11,54.72,54.72,54.72,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2018-02-18,54.75,54.75,54.75,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-02-25,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-03-04,54.59,54.59,54.59,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-03-11,54.55,54.55,54.55,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-03-18,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-03-25,54.64,54.64,54.64,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-04-01,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-04-08,54.59,54.59,54.59,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-04-15,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-04-22,54.38,54.38,54.38,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-04-29,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-05-06,54.55,54.55,54.55,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2018-05-13,54.42,54.42,54.42,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-05-20,54.61,54.61,54.61,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-05-27,54.56,54.56,54.56,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-06-03,54.55,54.55,54.55,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-06-10,54.68,54.68,54.68,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-06-17,54.68,54.68,54.68,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-06-24,54.57,54.57,54.57,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-07-01,54.76,54.76,54.76,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-07-08,54.76,54.76,54.76,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.83,54.83,54.83,0.0,0.0
2018-07-15,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2018-07-22,54.75,54.75,54.75,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-07-29,54.49,54.49,54.49,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-08-05,54.68,54.68,54.68,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-08-12,54.69,54.69,54.69,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2018-08-19,54.75,54.75,54.75,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-08-26,54.77,54.77,54.77,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-09-02,54.44,54.44,54.44,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-09-09,54.45,54.45,54.45,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-09-16,54.22,54.22,54.22,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.21,54.21,54.21,0.0,0.0
