Date,SPR_stock_Open_average,SPR_stock_Open_max,SPR_stock_Open_min,SPR_stock_Open_volatility,SPR_stock_Open_change,SPR_stock_High_average,SPR_stock_High_max,SPR_stock_High_min,SPR_stock_High_volatility,SPR_stock_High_change,SPR_stock_Low_average,SPR_stock_Low_max,SPR_stock_Low_min,SPR_stock_Low_volatility,SPR_stock_Low_change,SPR_stock_Close_average,SPR_stock_Close_max,SPR_stock_Close_min,SPR_stock_Close_volatility,SPR_stock_Close_change,SPR_stock_Volume_average,SPR_stock_Volume_max,SPR_stock_Volume_min,SPR_stock_Volume_volatility,SPR_stock_Volume_change
2018-01-14,98.2875,99.34,97.49,1.8500000000000085,0.9200000000000017,99.24000000000001,99.42,99.03,0.39000000000000057,0.25,97.5375,98.05,96.89,1.1599999999999966,1.1599999999999966,98.07,98.75,97.26,1.4899999999999949,1.3499999999999943,1289505,1475218,1115141,360077,-215962
2018-01-21,99.97,100.71,98.72,1.9899999999999949,1.9899999999999949,100.73,101.53,100.08,1.4500000000000028,1.4500000000000028,99.182,99.95,98.18,1.769999999999996,1.769999999999996,100.282,101.41,99.59,1.8199999999999932,1.3599999999999994,739047,847406,550644,296762,296762
2018-01-28,102.348,103.33,101.44,1.8900000000000006,1.470000000000013,103.566,105.2,102.18,3.019999999999996,-0.269999999999996,99.822,102.3,93.01,9.289999999999992,-8.699999999999989,100.672,102.93,93.87,9.060000000000002,-8.379999999999995,1558321,2697490,977601,1719889,1719889
2018-02-04,89.246,93.0,86.88,6.1200000000000045,-6.1200000000000045,90.754,94.08,87.52,6.560000000000002,-6.560000000000002,86.248,88.28,84.38,3.9000000000000057,-2.740000000000009,87.982,90.34,85.85,4.490000000000009,-1.7199999999999989,1718352,2172330,1174611,997719,-727434
2018-02-11,90.416,92.97,87.43,5.539999999999992,5.219999999999999,92.216,93.59,90.55,3.0400000000000063,2.799999999999997,89.908,91.87,87.43,4.439999999999998,4.439999999999998,91.454,92.64,89.49,3.1500000000000057,2.8599999999999994,1146837,1667241,778546,888695,-749376
2018-02-18,91.6625,92.27,90.72,1.5499999999999972,0.46000000000000796,93.025,93.56,92.64,0.9200000000000017,-0.5100000000000051,90.885,91.54,90.43,1.1099999999999994,1.1099999999999994,91.5925,92.39,90.66,1.730000000000004,1.730000000000004,764322,868268,609327,258941,-255129
2018-02-25,91.07600000000001,92.7,87.87,4.829999999999998,-4.829999999999998,91.9,93.28,89.01,4.269999999999996,-3.809999999999988,89.72,91.6,87.6,4.0,-4.0,90.32600000000001,92.11,88.54,3.569999999999993,-3.569999999999993,1287816,1545790,675638,870152,776590
2018-03-04,88.136,89.41,86.78,2.6299999999999955,1.5600000000000023,89.148,91.14,88.22,2.9200000000000017,2.5700000000000074,87.104,88.5,86.01,2.489999999999995,2.1599999999999966,88.724,91.01,87.57,3.440000000000012,3.440000000000012,906062,1538460,485808,1052652,-293411
2018-03-11,89.25,91.28,86.08,5.200000000000003,-5.200000000000003,89.804,91.55,87.22,4.329999999999998,-4.219999999999999,87.054,90.43,84.19,6.240000000000009,-5.460000000000008,88.002,91.02,85.47,5.549999999999997,-5.3700000000000045,1346512,1637176,1004616,632560,218649
2018-03-18,85.224,85.96,83.16,2.799999999999997,-2.5,86.74,87.38,85.4,1.9799999999999898,-1.9799999999999898,84.366,85.51,82.89,2.6200000000000045,-1.9099999999999966,84.92999999999999,86.35,83.18,3.1699999999999875,-2.4799999999999898,941193,1137525,720652,416873,-266623
