Date,GRIFStock_Open_average,GRIFStock_Open_max,GRIFStock_Open_min,GRIFStock_Open_volatility,GRIFStock_Open_change,GRIFStock_High_average,GRIFStock_High_max,GRIFStock_High_min,GRIFStock_High_volatility,GRIFStock_High_change,GRIFStock_Low_average,GRIFStock_Low_max,GRIFStock_Low_min,GRIFStock_Low_volatility,GRIFStock_Low_change,GRIFStock_Close_average,GRIFStock_Close_max,GRIFStock_Close_min,GRIFStock_Close_volatility,GRIFStock_Close_change,GRIFStock_Volume_average,GRIFStock_Volume_max,GRIFStock_Volume_min,GRIFStock_Volume_volatility,GRIFStock_Volume_change
2018-01-14,37.345,37.5,37.16,0.3400000000000034,0.060000000000002274,37.375,37.5,37.16,0.3400000000000034,-0.060000000000002274,37.3375,37.5,37.16,0.3400000000000034,0.09000000000000341,37.375,37.5,37.16,0.3400000000000034,-0.060000000000002274,799,2606,0,2606,-2013
2018-01-21,37.288000000000004,37.45,37.12,0.3300000000000054,-0.21000000000000085,37.288000000000004,37.45,37.12,0.3300000000000054,-0.21000000000000085,37.09,37.43,36.88,0.5499999999999972,0.14000000000000057,37.148,37.43,37.0,0.4299999999999997,0.00999999999999801,1233,3279,282,2997,2452
2018-01-28,36.75,37.0,36.26,0.740000000000002,0.45000000000000284,36.84,37.1,36.61,0.490000000000002,0.10000000000000142,36.692,37.0,36.26,0.740000000000002,0.45000000000000284,36.732,37.1,36.36,0.740000000000002,0.3500000000000014,721,1516,0,1516,-1266
2018-02-04,36.78,37.16,36.44,0.7199999999999989,-0.46999999999999886,36.8775,37.16,36.61,0.5499999999999972,-0.0799999999999983,36.7325,37.16,36.25,0.9099999999999966,-0.6599999999999966,36.8775,37.16,36.61,0.5499999999999972,-0.0799999999999983,1455,4952,0,4952,4712
2018-02-11,36.23,36.5,35.75,0.75,-0.14000000000000057,36.492,37.0,36.17,0.8299999999999983,-0.0899999999999963,36.089999999999996,36.44,35.75,0.6899999999999977,-0.6400000000000006,36.316,36.44,36.17,0.269999999999996,-0.11999999999999744,784,1189,0,1189,1153
2018-02-18,36.4775,36.65,36.25,0.3999999999999986,0.29999999999999716,36.567499999999995,36.71,36.36,0.3500000000000014,0.18999999999999773,36.3875,36.55,36.25,0.29999999999999716,0.29999999999999716,36.51,36.7,36.36,0.3400000000000034,0.18999999999999773,2380,7644,0,7644,-825
2018-02-25,36.492,36.75,36.25,0.5,-0.29999999999999716,36.647999999999996,37.03,36.36,0.6700000000000017,0.480000000000004,36.412,36.75,35.85,0.8999999999999986,-0.6999999999999957,36.647999999999996,37.03,36.36,0.6700000000000017,0.480000000000004,1689,7729,0,7729,7729
2018-03-04,35.942,36.29,35.42,0.8699999999999974,-0.6799999999999997,36.846000000000004,37.45,36.35,1.1000000000000014,0.5,35.304,36.03,33.95,2.0799999999999983,-0.6099999999999994,36.38,36.63,36.25,0.38000000000000256,0.28000000000000114,2196,3149,986,2163,600
2018-03-11,36.636,37.0,36.27,0.7299999999999969,-0.00999999999999801,37.01,37.49,36.27,1.2199999999999989,0.759999999999998,36.54,36.66,36.27,0.38999999999999346,0.13000000000000256,36.924,37.4,36.27,1.1299999999999955,0.8999999999999986,1225,2589,641,1948,1948
2018-03-18,37.138,37.42,36.63,0.7899999999999991,0.7899999999999991,37.36,37.5,37.18,0.3200000000000003,0.07000000000000028,36.946,37.21,36.63,0.5799999999999983,0.1699999999999946,37.188,37.35,36.8,0.5500000000000043,-0.5500000000000043,3066,6162,646,5516,1517
