Date,VCEL_Open_average,VCEL_Open_max,VCEL_Open_min,VCEL_Open_volatility,VCEL_Open_change,VCEL_High_average,VCEL_High_max,VCEL_High_min,VCEL_High_volatility,VCEL_High_change,VCEL_Low_average,VCEL_Low_max,VCEL_Low_min,VCEL_Low_volatility,VCEL_Low_change,VCEL_Close_average,VCEL_Close_max,VCEL_Close_min,VCEL_Close_volatility,VCEL_Close_change,VCEL_Volume_average,VCEL_Volume_max,VCEL_Volume_min,VCEL_Volume_volatility,VCEL_Volume_change
2018-01-14,6.5125,6.7,6.35,0.35000000000000053,-0.20000000000000018,6.7,6.75,6.6,0.15000000000000036,-0.04999999999999982,6.2175,6.37,6.05,0.3200000000000003,0.3200000000000003,6.4875,6.7,6.25,0.4500000000000002,0.4500000000000002,688680,926739,475685,451054,-451054
2018-01-21,6.9,7.1,6.75,0.34999999999999964,0.34999999999999964,7.13,7.55,7.0,0.5499999999999998,0.5499999999999998,6.7700000000000005,7.05,6.65,0.39999999999999947,0.39999999999999947,6.9799999999999995,7.3,6.85,0.4500000000000002,0.4500000000000002,737452,1491267,405530,1085737,719473
2018-01-28,7.569999999999999,8.2,7.25,0.9499999999999993,0.9499999999999993,7.81,8.25,7.35,0.9000000000000004,0.9000000000000004,7.18,7.55,6.85,0.7000000000000002,0.35000000000000053,7.63,8.15,7.35,0.8000000000000007,0.25,870010,1175940,381783,794157,608666
2018-02-04,7.1000000000000005,7.4,6.7,0.7000000000000002,-0.4500000000000002,7.436,7.75,7.2,0.5499999999999998,-0.5499999999999998,6.6,7.05,6.0,1.0499999999999998,0.5,7.05,7.2,6.6,0.6000000000000005,-0.5,849667,1226082,473864,752218,-60177
2018-02-11,7.18,7.55,6.85,0.7000000000000002,0.7000000000000002,7.45,7.6,7.25,0.34999999999999964,0.34999999999999964,6.91,7.1,6.6,0.5,0.40000000000000036,7.26,7.5,6.9,0.5999999999999996,0.34999999999999964,656172,855468,340223,515245,-186634
2018-02-18,7.05,7.2,6.95,0.25,-0.15000000000000036,7.3375,7.5,7.2,0.2999999999999998,-0.09999999999999964,6.9,7.05,6.8,0.25,0.14999999999999947,7.05,7.3,6.95,0.34999999999999964,0.2999999999999998,316349,354833,287888,66945,43934
2018-02-25,7.94,8.25,7.45,0.7999999999999998,0.5499999999999998,8.35,8.5,8.2,0.3000000000000007,0.3000000000000007,7.776,7.93,7.45,0.47999999999999954,0.47999999999999954,8.15,8.35,8.0,0.34999999999999964,0.25,863517,1151242,436840,714402,8205
2018-03-04,11.27,12.35,9.4,2.9499999999999993,2.4000000000000004,12.360000000000001,12.8,12.0,0.8000000000000007,-0.05000000000000071,10.78,11.55,9.2,2.3500000000000014,1.700000000000001,11.84,12.3,11.55,0.75,-0.29999999999999893,3703770,9609942,1576073,8033869,-7775893
2018-03-11,11.5,11.8,11.3,0.5,-0.45000000000000107,11.886,12.25,11.5,0.75,0.09999999999999964,11.139999999999999,11.25,10.95,0.3000000000000007,0.3000000000000007,11.41,11.65,11.2,0.45000000000000107,0.40000000000000036,963703,1230143,652016,578127,-377255
2018-03-18,11.18,11.6,10.55,1.049999999999999,-1.049999999999999,11.38,11.75,10.9,0.8499999999999996,-0.8499999999999996,10.69,11.05,9.95,1.1000000000000014,-1.0500000000000007,10.879999999999999,11.35,10.1,1.25,-1.1500000000000004,847432,1104675,744295,360380,354208
2018-03-25,9.95,10.4,9.55,0.8499999999999996,-0.8499999999999996,10.175,10.5,9.7,0.8000000000000007,-0.5,9.475,9.95,9.25,0.6999999999999993,-0.5999999999999996,9.837499999999999,10.2,9.5,0.6999999999999993,-0.25,738097,979689,579578,400111,-160069
2018-04-01,10.35,11.4,9.6,1.8000000000000007,1.0,11.06,11.7,10.0,1.6999999999999993,1.25,9.92,10.7,9.25,1.4499999999999993,1.1999999999999993,10.53,11.2,9.6,1.5999999999999996,1.5999999999999996,1096686,1885705,469439,1416266,432058
2018-04-08,11.71,12.25,10.9,1.3499999999999996,0.7000000000000011,12.459999999999999,13.2,11.6,1.5999999999999996,1.0,11.176,11.7,10.68,1.0199999999999996,0.7699999999999996,11.706,12.25,10.8,1.4499999999999993,0.75,1306759,1741950,811419,930531,-241630
2018-04-15,12.049999999999999,12.5,11.7,0.8000000000000007,0.40000000000000036,12.334,12.7,11.99,0.7099999999999991,0.1899999999999995,11.66,11.9,11.2,0.7000000000000011,0.40000000000000036,12.03,12.5,11.8,0.6999999999999993,-0.049999999999998934,669762,918392,413478,504914,-95436
2018-04-22,12.16,12.85,11.75,1.0999999999999996,1.0999999999999996,12.636,13.3,12.18,1.120000000000001,0.9500000000000011,11.856,12.6,11.3,1.299999999999999,0.9499999999999993,12.35,12.85,11.95,0.9000000000000004,0.7999999999999989,721845,1573992,384106,1189886,47567
2018-04-29,13.1,13.45,12.85,0.5999999999999996,0.25,13.368,13.59,13.15,0.4399999999999995,-0.33999999999999986,12.796,13.0,12.55,0.4499999999999993,-0.29999999999999893,13.08,13.35,12.7,0.6500000000000004,-0.6500000000000004,853236,1168678,584902,583776,-164033
2018-05-06,12.86,13.35,11.95,1.4000000000000004,0.5,13.43,13.75,13.1,0.6500000000000004,0.25,12.35,12.9,11.0,1.9000000000000004,0.34999999999999964,13.11,13.35,12.6,0.75,0.7000000000000011,1150896,1868126,676947,1191179,-159137
2018-05-13,13.76,14.5,13.3,1.1999999999999993,1.1500000000000004,14.156,14.73,13.5,1.2300000000000004,1.2300000000000004,13.624,14.25,13.15,1.0999999999999996,1.0999999999999996,14.01,14.45,13.4,1.049999999999999,0.9499999999999993,736193,1025445,531340,494105,14107
2018-05-20,14.25,14.65,13.95,0.7000000000000011,-0.3500000000000014,14.45,14.75,14.1,0.6500000000000004,-0.6500000000000004,13.82,14.3,13.5,0.8000000000000007,-0.8000000000000007,14.08,14.6,13.7,0.9000000000000004,-0.9000000000000004,645842,1098061,463168,634893,-58695
2018-05-27,13.6625,14.05,13.4,0.6500000000000004,-0.3000000000000007,14.2375,14.65,14.05,0.5999999999999996,0.5500000000000007,13.48,13.77,13.25,0.5199999999999996,0.0,13.95,14.4,13.45,0.9500000000000011,0.40000000000000036,1299029,3297948,439833,2858115,2750326
