Date,ProShares VIX Short-Term FuturesEtf_Open_average,ProShares VIX Short-Term FuturesEtf_Open_max,ProShares VIX Short-Term FuturesEtf_Open_min,ProShares VIX Short-Term FuturesEtf_Open_volatility,ProShares VIX Short-Term FuturesEtf_Open_change,ProShares VIX Short-Term FuturesEtf_High_average,ProShares VIX Short-Term FuturesEtf_High_max,ProShares VIX Short-Term FuturesEtf_High_min,ProShares VIX Short-Term FuturesEtf_High_volatility,ProShares VIX Short-Term FuturesEtf_High_change,ProShares VIX Short-Term FuturesEtf_Low_average,ProShares VIX Short-Term FuturesEtf_Low_max,ProShares VIX Short-Term FuturesEtf_Low_min,ProShares VIX Short-Term FuturesEtf_Low_volatility,ProShares VIX Short-Term FuturesEtf_Low_change,ProShares VIX Short-Term FuturesEtf_Close_average,ProShares VIX Short-Term FuturesEtf_Close_max,ProShares VIX Short-Term FuturesEtf_Close_min,ProShares VIX Short-Term FuturesEtf_Close_volatility,ProShares VIX Short-Term FuturesEtf_Close_change
2018-01-14,22.28,22.28,22.28,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.26,22.26,22.26,0.0,0.0
2018-01-21,22.88,22.88,22.88,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.93,22.93,22.93,0.0,0.0
2018-01-28,24.77,24.77,24.77,0.0,0.0,27.8,27.8,27.8,0.0,0.0,24.77,24.77,24.77,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-02-04,41.91,41.91,41.91,0.0,0.0,46.84,46.84,46.84,0.0,0.0,40.3,40.3,40.3,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2018-02-11,35.42,35.42,35.42,0.0,0.0,35.56,35.56,35.56,0.0,0.0,33.46,33.46,33.46,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-02-18,35.41,35.41,35.41,0.0,0.0,35.67,35.67,35.67,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-02-25,41.06,41.06,41.06,0.0,0.0,41.96,41.96,41.96,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2018-03-04,33.9,33.9,33.9,0.0,0.0,33.9,33.9,33.9,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2018-03-11,33.11,33.11,33.11,0.0,0.0,33.17,33.17,33.17,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-03-18,38.49,38.49,38.49,0.0,0.0,41.5,41.5,41.5,0.0,0.0,37.57,37.57,37.57,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-03-25,41.15,41.15,41.15,0.0,0.0,41.54,41.54,41.54,0.0,0.0,38.93,38.93,38.93,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-04-01,40.05,40.05,40.05,0.0,0.0,42.91,42.91,42.91,0.0,0.0,39.05,39.05,39.05,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-04-08,37.91,37.91,37.91,0.0,0.0,38.57,38.57,38.57,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-04-15,33.92,33.92,33.92,0.0,0.0,35.45,35.45,35.45,0.0,0.0,33.62,33.62,33.62,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-04-22,34.5,34.5,34.5,0.0,0.0,35.59,35.59,35.59,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-04-29,34.72,34.72,34.72,0.0,0.0,35.04,35.04,35.04,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-05-06,30.12,30.12,30.12,0.0,0.0,30.42,30.42,30.42,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-05-13,29.15,29.15,29.15,0.0,0.0,29.68,29.68,29.68,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-05-20,28.36,28.36,28.36,0.0,0.0,28.55,28.55,28.55,0.0,0.0,27.75,27.75,27.75,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-05-27,29.3,29.3,29.3,0.0,0.0,29.39,29.39,29.39,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-06-03,27.61,27.61,27.61,0.0,0.0,27.7,27.7,27.7,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-06-10,26.38,26.38,26.38,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-06-17,27.25,27.25,27.25,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.42,27.42,27.42,0.0,0.0
