Date,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_change
2018-01-14,48.38,48.38,48.38,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.38,48.38,48.38,0.0,0.0
2018-01-21,48.32,48.32,48.32,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-01-28,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-02-04,48.12,48.12,48.12,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-02-11,48.12,48.12,48.12,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-02-18,48.09,48.09,48.09,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-02-25,48.03,48.03,48.03,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-03-04,48.19,48.19,48.19,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2018-03-11,48.26,48.26,48.26,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-03-18,47.85,47.85,47.85,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.85,47.85,47.85,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-03-25,47.85,47.85,47.85,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2018-04-01,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2018-04-08,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2018-04-15,48.2,48.2,48.2,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2018-04-22,48.09,48.09,48.09,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-04-29,48.07,48.07,48.07,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-05-06,48.07,48.07,48.07,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-05-13,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-05-20,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2018-05-27,47.8,47.8,47.8,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.88,47.88,47.88,0.0,0.0
