Date,ASX_Open_average,ASX_Open_max,ASX_Open_min,ASX_Open_volatility,ASX_Open_change,ASX_High_average,ASX_High_max,ASX_High_min,ASX_High_volatility,ASX_High_change,ASX_Low_average,ASX_Low_max,ASX_Low_min,ASX_Low_volatility,ASX_Low_change,ASX_Close_average,ASX_Close_max,ASX_Close_min,ASX_Close_volatility,ASX_Close_change,ASX_Volume_average,ASX_Volume_max,ASX_Volume_min,ASX_Volume_volatility,ASX_Volume_change
2018-01-14,7.092,7.27,6.93,0.33999999999999986,0.33999999999999986,7.164000000000001,7.33,6.94,0.3899999999999997,0.3899999999999997,7.064,7.25,6.82,0.4299999999999997,0.4299999999999997,7.117999999999999,7.32,6.85,0.47000000000000064,0.47000000000000064,1194073,1613050,956917,656133,-11006
2018-01-21,7.25,7.3,7.19,0.10999999999999943,-0.040000000000000036,7.2620000000000005,7.33,7.19,0.13999999999999968,-0.040000000000000036,7.172,7.21,7.09,0.1200000000000001,-0.040000000000000036,7.206,7.25,7.1,0.15000000000000036,-0.04999999999999982,910826,1245647,518074,727573,-614016
2018-01-28,7.124,7.19,7.05,0.14000000000000057,-0.11000000000000032,7.186,7.25,7.12,0.1299999999999999,-0.07000000000000028,7.052,7.13,6.92,0.20999999999999996,-0.20999999999999996,7.088,7.18,6.93,0.25,-0.25,953309,1512823,485875,1026948,688291
2018-02-04,6.726,6.85,6.57,0.27999999999999936,-0.0699999999999994,6.812,6.99,6.69,0.2999999999999998,-0.22000000000000064,6.624,6.73,6.5,0.23000000000000043,-0.07000000000000028,6.726,6.98,6.55,0.4300000000000006,-0.25,1174362,1445515,681997,763518,-763518
2018-02-11,6.7975,6.89,6.7,0.1899999999999995,0.14999999999999947,6.855,6.91,6.76,0.15000000000000036,0.15000000000000036,6.7425,6.85,6.65,0.1999999999999993,0.17999999999999972,6.8275,6.89,6.72,0.16999999999999993,0.16000000000000014,450582,686018,326491,359527,115725
2018-02-18,6.87,6.91,6.84,0.07000000000000028,0.05000000000000071,6.904,6.95,6.85,0.10000000000000053,0.05999999999999961,6.82,6.88,6.78,0.09999999999999964,0.0699999999999994,6.874,6.91,6.8,0.11000000000000032,0.04999999999999982,550475,683442,446518,236924,-108141
2018-02-25,6.916,6.96,6.87,0.08999999999999986,0.08000000000000007,6.98,7.07,6.88,0.1900000000000004,0.16000000000000014,6.862,6.95,6.8,0.15000000000000036,0.11000000000000032,6.934,7.06,6.82,0.23999999999999932,0.1800000000000006,774542,1022001,485982,536019,305631
2018-03-04,7.284,7.5,7.14,0.3600000000000003,0.3600000000000003,7.352,7.52,7.19,0.3299999999999992,0.3199999999999994,7.264,7.46,7.1,0.3600000000000003,0.33999999999999986,7.324,7.48,7.15,0.33000000000000007,0.3199999999999994,1172145,2048404,722084,1326320,700193
2018-03-11,7.32,7.44,7.22,0.22000000000000064,-0.22000000000000064,7.344,7.49,7.25,0.2400000000000002,-0.2400000000000002,7.236,7.3,7.16,0.13999999999999968,-0.1299999999999999,7.268,7.35,7.21,0.13999999999999968,-0.09999999999999964,776425,1006111,634044,372067,-372067
2018-03-18,7.258,7.37,7.2,0.16999999999999993,0.0,7.29,7.42,7.23,0.1899999999999995,0.009999999999999787,7.194,7.36,7.11,0.25,-0.03000000000000025,7.24,7.38,7.12,0.2599999999999998,0.04999999999999982,784612,1113481,514468,599013,-599013
