Date,SPDR Dow Jones International Real Estate_Open_average,SPDR Dow Jones International Real Estate_Open_max,SPDR Dow Jones International Real Estate_Open_min,SPDR Dow Jones International Real Estate_Open_volatility,SPDR Dow Jones International Real Estate_Open_change,SPDR Dow Jones International Real Estate_High_average,SPDR Dow Jones International Real Estate_High_max,SPDR Dow Jones International Real Estate_High_min,SPDR Dow Jones International Real Estate_High_volatility,SPDR Dow Jones International Real Estate_High_change,SPDR Dow Jones International Real Estate_Low_average,SPDR Dow Jones International Real Estate_Low_max,SPDR Dow Jones International Real Estate_Low_min,SPDR Dow Jones International Real Estate_Low_volatility,SPDR Dow Jones International Real Estate_Low_change,SPDR Dow Jones International Real Estate_Close_average,SPDR Dow Jones International Real Estate_Close_max,SPDR Dow Jones International Real Estate_Close_min,SPDR Dow Jones International Real Estate_Close_volatility,SPDR Dow Jones International Real Estate_Close_change
2018-01-14,41.48,41.48,41.48,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-01-21,41.92,41.92,41.92,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-01-28,40.12,40.12,40.12,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2018-02-04,39.02,39.02,39.02,0.0,0.0,39.3,39.3,39.3,0.0,0.0,38.89,38.89,38.89,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2018-02-11,39.81,39.81,39.81,0.0,0.0,40.07,40.07,40.07,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-02-18,40.31,40.31,40.31,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-02-25,39.25,39.25,39.25,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-03-04,39.87,39.87,39.87,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-03-11,39.83,39.83,39.83,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-03-18,39.58,39.58,39.58,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2018-03-25,40.03,40.03,40.03,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-04-01,40.42,40.42,40.42,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-04-08,40.5,40.5,40.5,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-04-15,40.44,40.44,40.44,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-04-22,40.87,40.87,40.87,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-04-29,40.55,40.55,40.55,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2018-05-06,41.07,41.07,41.07,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.89,40.89,40.89,0.0,0.0
