Date,AA_stock_Open_average,AA_stock_Open_max,AA_stock_Open_min,AA_stock_Open_volatility,AA_stock_Open_change,AA_stock_High_average,AA_stock_High_max,AA_stock_High_min,AA_stock_High_volatility,AA_stock_High_change,AA_stock_Low_average,AA_stock_Low_max,AA_stock_Low_min,AA_stock_Low_volatility,AA_stock_Low_change,AA_stock_Close_average,AA_stock_Close_max,AA_stock_Close_min,AA_stock_Close_volatility,AA_stock_Close_change,AA_stock_Volume_average,AA_stock_Volume_max,AA_stock_Volume_min,AA_stock_Volume_volatility,AA_stock_Volume_change
2018-01-14,54.6625,56.09,52.86,3.230000000000004,-3.230000000000004,55.4075,57.04,53.68,3.3599999999999994,-3.3599999999999994,53.8275,55.58,51.72,3.8599999999999994,-2.9100000000000037,54.8325,56.99,53.0,3.990000000000002,-3.1400000000000006,9339667,19521004,3888380,15632624,1871222
2018-01-21,53.066,53.74,52.34,1.3999999999999986,0.75,53.788,54.4,52.9,1.5,0.5,52.476,53.28,51.73,1.5500000000000043,1.0200000000000031,53.168,54.0,52.49,1.509999999999998,1.0600000000000023,3629078,4892065,2521881,2370184,-1472920
2018-01-28,52.744,53.89,51.41,2.480000000000004,-1.8900000000000006,53.292,54.63,52.0,2.6300000000000026,-2.6300000000000026,51.512,53.52,49.0,4.520000000000003,-4.520000000000003,52.108000000000004,54.49,49.09,5.399999999999999,-5.399999999999999,4402269,6060454,3176532,2883922,1411868
2018-02-04,47.926,49.23,46.54,2.6899999999999977,-2.0700000000000003,49.134,50.75,47.06,3.6899999999999977,-3.6899999999999977,46.486,47.8,44.15,3.6499999999999986,-3.6499999999999986,47.498,49.43,45.92,3.509999999999998,-2.539999999999999,3736942,4579584,3165788,1413796,714099
2018-02-11,47.128,48.99,46.05,2.940000000000005,1.4500000000000028,48.586,50.18,47.13,3.049999999999997,3.049999999999997,46.224000000000004,46.52,45.77,0.75,0.75,47.484,48.54,46.65,1.8900000000000006,0.7100000000000009,4449719,8396755,2431659,5965096,4900828
2018-02-18,47.78,48.21,46.84,1.3699999999999974,1.2199999999999989,48.557500000000005,48.95,48.14,0.8100000000000023,-0.6000000000000014,46.849999999999994,47.23,46.58,0.6499999999999986,-0.17999999999999972,47.582499999999996,48.07,46.7,1.3699999999999974,-1.3699999999999974,3778720,4589494,3097983,1491511,-1491511
2018-02-25,46.164,47.42,44.72,2.700000000000003,-2.700000000000003,46.842,47.58,46.18,1.3999999999999986,-1.3999999999999986,45.092,46.14,44.14,2.0,-2.0,45.696,46.68,44.97,1.7100000000000009,-1.1400000000000006,3971325,6501728,2837409,3664319,145730
2018-03-04,46.78,48.05,45.18,2.8699999999999974,2.8699999999999974,47.912,48.73,46.46,2.269999999999996,2.1300000000000026,46.211999999999996,47.23,44.85,2.3799999999999955,2.3799999999999955,47.17,47.88,45.65,2.230000000000004,2.210000000000001,3739752,4587974,2768899,1819075,-1819075
2018-03-11,47.756,49.09,46.45,2.6400000000000006,-1.2100000000000009,48.602000000000004,49.85,47.13,2.719999999999999,-0.759999999999998,47.0,48.43,45.71,2.719999999999999,-1.1699999999999946,47.536,48.59,46.57,2.020000000000003,-1.1300000000000026,2900202,4121856,1495645,2626211,1634064
2018-03-18,46.478,47.4,45.17,2.229999999999997,-1.8599999999999994,47.378,48.09,46.0,2.0900000000000034,-1.6799999999999997,45.516,46.31,44.6,1.7100000000000009,-1.1599999999999966,46.082,47.95,44.71,3.240000000000002,-1.6499999999999986,2757756,4369976,1515361,2854615,747015
2018-03-25,45.19,46.25,44.51,1.740000000000002,-0.519999999999996,45.9,46.53,44.92,1.6099999999999994,-0.8700000000000045,44.2725,44.63,43.69,0.9400000000000048,0.22999999999999687,45.0125,45.77,44.42,1.3500000000000014,-0.8100000000000023,3333193,5187007,1661695,3525312,-2907774
