Date,PowerShares S&P International Developed High Divid_Open_average,PowerShares S&P International Developed High Divid_Open_max,PowerShares S&P International Developed High Divid_Open_min,PowerShares S&P International Developed High Divid_Open_volatility,PowerShares S&P International Developed High Divid_Open_change,PowerShares S&P International Developed High Divid_High_average,PowerShares S&P International Developed High Divid_High_max,PowerShares S&P International Developed High Divid_High_min,PowerShares S&P International Developed High Divid_High_volatility,PowerShares S&P International Developed High Divid_High_change,PowerShares S&P International Developed High Divid_Low_average,PowerShares S&P International Developed High Divid_Low_max,PowerShares S&P International Developed High Divid_Low_min,PowerShares S&P International Developed High Divid_Low_volatility,PowerShares S&P International Developed High Divid_Low_change,PowerShares S&P International Developed High Divid_Close_average,PowerShares S&P International Developed High Divid_Close_max,PowerShares S&P International Developed High Divid_Close_min,PowerShares S&P International Developed High Divid_Close_volatility,PowerShares S&P International Developed High Divid_Close_change
2018-01-14,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-01-21,30.12,30.12,30.12,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-01-28,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-02-04,28.38,28.38,28.38,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-02-11,29.0,29.0,29.0,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-02-18,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-02-25,28.7,28.7,28.7,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-03-04,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-03-11,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-03-18,28.18,28.18,28.18,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-03-25,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-04-01,28.89,28.89,28.89,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-04-08,28.66,28.66,28.66,0.0,0.0,29.23,29.23,29.23,0.0,0.0,28.66,28.66,28.66,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-04-15,29.05,29.05,29.05,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-04-22,29.11,29.11,29.11,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-04-29,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-05-06,29.41,29.41,29.41,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2018-05-13,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-05-20,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-05-27,28.33,28.33,28.33,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.33,28.33,28.33,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-06-03,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2018-06-10,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-06-17,27.61,27.61,27.61,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-06-24,27.68,27.68,27.68,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-07-01,28.73,28.73,28.73,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-07-08,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-07-15,28.48,28.48,28.48,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-07-22,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-07-29,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-08-05,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-08-12,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-08-19,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-08-26,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-09-02,27.37,27.37,27.37,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2018-09-09,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-09-16,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-09-23,27.47,27.47,27.47,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-09-30,26.56,26.56,26.56,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.68,26.68,26.68,0.0,0.0
