Date,iShares MSCI EAFE Small-CapEtf_Open_average,iShares MSCI EAFE Small-CapEtf_Open_max,iShares MSCI EAFE Small-CapEtf_Open_min,iShares MSCI EAFE Small-CapEtf_Open_volatility,iShares MSCI EAFE Small-CapEtf_Open_change,iShares MSCI EAFE Small-CapEtf_High_average,iShares MSCI EAFE Small-CapEtf_High_max,iShares MSCI EAFE Small-CapEtf_High_min,iShares MSCI EAFE Small-CapEtf_High_volatility,iShares MSCI EAFE Small-CapEtf_High_change,iShares MSCI EAFE Small-CapEtf_Low_average,iShares MSCI EAFE Small-CapEtf_Low_max,iShares MSCI EAFE Small-CapEtf_Low_min,iShares MSCI EAFE Small-CapEtf_Low_volatility,iShares MSCI EAFE Small-CapEtf_Low_change,iShares MSCI EAFE Small-CapEtf_Close_average,iShares MSCI EAFE Small-CapEtf_Close_max,iShares MSCI EAFE Small-CapEtf_Close_min,iShares MSCI EAFE Small-CapEtf_Close_volatility,iShares MSCI EAFE Small-CapEtf_Close_change
2018-01-14,67.79,67.79,67.79,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2018-01-21,68.91,68.91,68.91,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.8,68.8,68.8,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-01-28,67.55,67.55,67.55,0.0,0.0,67.58,67.58,67.58,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-02-04,63.18,63.18,63.18,0.0,0.0,63.44,63.44,63.44,0.0,0.0,61.73,61.73,61.73,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2018-02-11,65.8,65.8,65.8,0.0,0.0,66.13,66.13,66.13,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-02-18,65.95,65.95,65.95,0.0,0.0,66.37,66.37,66.37,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.31,66.31,66.31,0.0,0.0
2018-02-25,64.07,64.07,64.07,0.0,0.0,64.64,64.64,64.64,0.0,0.0,63.88,63.88,63.88,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2018-03-04,65.96,65.96,65.96,0.0,0.0,66.37,66.37,66.37,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-03-11,65.98,65.98,65.98,0.0,0.0,66.17,66.17,66.17,0.0,0.0,65.91,65.91,65.91,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2018-03-18,64.7,64.7,64.7,0.0,0.0,64.83,64.83,64.83,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.99,63.99,63.99,0.0,0.0
2018-03-25,64.95,64.95,64.95,0.0,0.0,65.41,65.41,65.41,0.0,0.0,64.83,64.83,64.83,0.0,0.0,65.19,65.19,65.19,0.0,0.0
2018-04-01,65.04,65.04,65.04,0.0,0.0,65.26,65.26,65.26,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.72,64.72,64.72,0.0,0.0
2018-04-08,66.0,66.0,66.0,0.0,0.0,66.09,66.09,66.09,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-04-15,66.41,66.41,66.41,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.28,66.28,66.28,0.0,0.0
2018-04-22,65.9,65.9,65.9,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2018-04-29,65.42,65.42,65.42,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2018-05-06,66.79,66.79,66.79,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2018-05-13,66.21,66.21,66.21,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.22,66.22,66.22,0.0,0.0
2018-05-20,65.66,65.66,65.66,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-05-27,65.37,65.37,65.37,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2018-06-03,65.97,65.97,65.97,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.79,65.79,65.79,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2018-06-10,65.4,65.4,65.4,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2018-06-17,63.94,63.94,63.94,0.0,0.0,64.06,64.06,64.06,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.79,63.79,63.79,0.0,0.0
2018-06-24,62.68,62.68,62.68,0.0,0.0,62.97,62.97,62.97,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.74,62.74,62.74,0.0,0.0
2018-07-01,62.38,62.38,62.38,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.54,62.54,62.54,0.0,0.0
2018-07-08,62.62,62.62,62.62,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2018-07-15,62.73,62.73,62.73,0.0,0.0,63.17,63.17,63.17,0.0,0.0,62.73,62.73,62.73,0.0,0.0,63.11,63.11,63.11,0.0,0.0
2018-07-22,63.85,63.85,63.85,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.73,63.73,63.73,0.0,0.0
2018-07-29,62.78,62.78,62.78,0.0,0.0,62.86,62.86,62.86,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-08-05,61.73,61.73,61.73,0.0,0.0,61.82,61.82,61.82,0.0,0.0,61.58,61.58,61.58,0.0,0.0,61.7,61.7,61.7,0.0,0.0
2018-08-12,60.59,60.59,60.59,0.0,0.0,61.05,61.05,61.05,0.0,0.0,60.56,60.56,60.56,0.0,0.0,60.91,60.91,60.91,0.0,0.0
2018-08-19,62.05,62.05,62.05,0.0,0.0,62.27,62.27,62.27,0.0,0.0,61.99,61.99,61.99,0.0,0.0,62.15,62.15,62.15,0.0,0.0
2018-08-26,62.75,62.75,62.75,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.73,62.73,62.73,0.0,0.0
2018-09-02,60.89,60.89,60.89,0.0,0.0,61.16,61.16,61.16,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.91,60.91,60.91,0.0,0.0
2018-09-09,62.01,62.01,62.01,0.0,0.0,62.11,62.11,62.11,0.0,0.0,61.81,61.81,61.81,0.0,0.0,61.92,61.92,61.92,0.0,0.0
2018-09-16,63.16,63.16,63.16,0.0,0.0,63.18,63.18,63.18,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-09-23,62.27,62.27,62.27,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.17,62.17,62.17,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-09-30,60.85,60.85,60.85,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2018-10-07,58.23,58.23,58.23,0.0,0.0,58.31,58.31,58.31,0.0,0.0,57.5,57.5,57.5,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-10-14,57.73,57.73,57.73,0.0,0.0,58.05,58.05,58.05,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2018-10-21,54.83,54.83,54.83,0.0,0.0,55.44,55.44,55.44,0.0,0.0,54.46,54.46,54.46,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-10-28,58.02,58.02,58.02,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.29,57.29,57.29,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2018-11-04,57.57,57.57,57.57,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.44,57.44,57.44,0.0,0.0
2018-11-11,55.75,55.75,55.75,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.67,55.67,55.67,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2018-11-18,54.89,54.89,54.89,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2018-11-25,56.06,56.06,56.06,0.0,0.0,56.26,56.26,56.26,0.0,0.0,55.9,55.9,55.9,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2018-12-02,54.76,54.76,54.76,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2018-12-09,53.46,53.46,53.46,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2018-12-16,50.68,50.68,50.68,0.0,0.0,50.9,50.9,50.9,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-12-23,51.66,51.66,51.66,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2018-12-30,52.09,52.09,52.09,0.0,0.0,52.96,52.96,52.96,0.0,0.0,51.97,51.97,51.97,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2019-01-06,54.33,54.33,54.33,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2019-01-13,55.21,55.21,55.21,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2019-01-20,55.5,55.5,55.5,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.65,55.65,55.65,0.0,0.0
2019-01-27,55.92,55.92,55.92,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.81,55.81,55.81,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2019-02-03,54.85,54.85,54.85,0.0,0.0,55.03,55.03,55.03,0.0,0.0,54.7,54.7,54.7,0.0,0.0,55.02,55.02,55.02,0.0,0.0
2019-02-10,56.19,56.19,56.19,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2019-02-17,56.92,56.92,56.92,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.88,56.88,56.88,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2019-02-24,57.63,57.63,57.63,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2019-03-03,56.0,56.0,56.0,0.0,0.0,56.3,56.3,56.3,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2019-03-10,57.55,57.55,57.55,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.72,57.72,57.72,0.0,0.0
2019-03-17,57.44,57.44,57.44,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2019-03-24,57.41,57.41,57.41,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.44,57.44,57.44,0.0,0.0
2019-03-31,58.51,58.51,58.51,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.74,58.74,58.74,0.0,0.0
2019-04-07,59.0,59.0,59.0,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.1,59.1,59.1,0.0,0.0
2019-04-14,59.18,59.18,59.18,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2019-04-21,58.86,58.86,58.86,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.8,58.8,58.8,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2019-04-28,59.02,59.02,59.02,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2019-05-05,57.59,57.59,57.59,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.31,57.31,57.31,0.0,0.0,58.03,58.03,58.03,0.0,0.0
