Date,CMCStock_Open_average,CMCStock_Open_max,CMCStock_Open_min,CMCStock_Open_volatility,CMCStock_Open_change,CMCStock_High_average,CMCStock_High_max,CMCStock_High_min,CMCStock_High_volatility,CMCStock_High_change,CMCStock_Low_average,CMCStock_Low_max,CMCStock_Low_min,CMCStock_Low_volatility,CMCStock_Low_change,CMCStock_Close_average,CMCStock_Close_max,CMCStock_Close_min,CMCStock_Close_volatility,CMCStock_Close_change,CMCStock_Volume_average,CMCStock_Volume_max,CMCStock_Volume_min,CMCStock_Volume_volatility,CMCStock_Volume_change
2018-01-14,24.884999999999998,25.1,24.68,0.4200000000000017,-0.060000000000002274,25.105,25.27,24.85,0.41999999999999815,-0.10999999999999943,24.525,24.59,24.45,0.14000000000000057,0.120000000000001,24.835,25.09,24.59,0.5,0.23000000000000043,1605202,1773326,1415589,357737,-297471
2018-01-21,25.006,25.26,24.7,0.5600000000000023,0.28000000000000114,25.17,25.3,25.0,0.3000000000000007,0.240000000000002,24.59,24.8,24.31,0.490000000000002,0.19000000000000128,25.006,25.27,24.87,0.3999999999999986,0.25,1410576,1887070,1137306,749764,-749764
2018-01-28,24.548000000000002,25.23,23.91,1.3200000000000003,-1.2699999999999996,24.802,25.65,23.99,1.6600000000000001,-1.6600000000000001,24.102,25.15,23.36,1.7899999999999991,-1.7899999999999991,24.286,25.26,23.42,1.8399999999999999,-1.8399999999999999,1450891,1995583,1210400,785183,-188633
2018-02-04,23.148,23.53,22.67,0.8599999999999994,-0.5100000000000016,23.596,24.03,23.01,1.0199999999999996,-1.0199999999999996,22.582,23.18,21.8,1.379999999999999,-1.2799999999999976,23.018,23.53,22.42,1.1099999999999994,-0.7199999999999989,1838393,2303024,1547173,755851,382478
2018-02-11,23.672,24.96,22.51,2.4499999999999993,1.8599999999999994,24.654,26.25,23.24,3.0100000000000016,3.0100000000000016,23.468,24.29,22.44,1.8499999999999979,1.7699999999999996,24.426,25.97,23.04,2.9299999999999997,2.9299999999999997,1820402,3398053,1106039,2292014,2253921
2018-02-18,25.535,25.82,25.03,0.7899999999999991,-0.759999999999998,25.895,26.72,25.36,1.3599999999999994,-1.3599999999999994,25.1725,25.63,24.86,0.7699999999999996,-0.7300000000000004,25.3275,25.77,24.89,0.879999999999999,-0.41999999999999815,1924260,2752074,862328,1889746,-1889746
2018-02-25,25.312,25.71,24.63,1.0800000000000018,-0.3500000000000014,25.746,26.02,25.41,0.6099999999999994,0.21000000000000085,24.858,25.28,24.29,0.990000000000002,-0.240000000000002,25.308,25.97,24.3,1.6699999999999982,0.379999999999999,1430621,2747145,860447,1886698,838674
2018-03-04,25.914,26.5,25.45,1.0500000000000007,0.7899999999999991,26.168,26.59,25.86,0.7300000000000004,0.620000000000001,25.204,25.51,24.76,0.75,-0.21000000000000085,25.61,26.13,25.2,0.9299999999999997,-0.379999999999999,1762552,2722339,1186271,1536068,1536068
2018-03-11,24.95,25.6,24.37,1.2300000000000004,-0.9399999999999977,25.298,25.98,24.61,1.370000000000001,-0.8300000000000018,24.52,25.35,23.96,1.3900000000000006,-0.9300000000000033,24.884,25.59,24.31,1.2800000000000011,-0.9600000000000009,2371431,5097461,1546740,3550721,3550721
2018-03-18,22.994,24.43,20.9,3.530000000000001,-3.530000000000001,23.312,24.49,21.29,3.1999999999999993,-3.1999999999999993,22.22,23.36,20.36,3.0,-2.9800000000000004,22.442,23.83,20.39,3.4399999999999977,-3.3200000000000003,2738651,4802128,1859189,2942939,1359711
2018-03-25,20.435000000000002,21.0,19.79,1.2100000000000009,-0.75,20.735,21.37,19.98,1.3900000000000006,-0.7900000000000027,19.9575,20.62,19.5,1.120000000000001,-0.7200000000000024,20.3275,20.89,19.91,0.9800000000000004,-0.4299999999999997,2622777,3129578,2257567,872011,-824797
2018-04-01,19.884,20.32,19.35,0.9699999999999989,-0.19000000000000128,20.132,20.51,19.72,0.7900000000000027,-0.22000000000000242,19.442,19.82,19.12,0.6999999999999993,-0.41000000000000014,19.758,20.17,19.35,0.8200000000000003,-0.5700000000000003,1909395,2281404,1522286,759118,545297
2018-04-08,19.956,20.41,19.53,0.879999999999999,0.879999999999999,20.322,20.77,19.81,0.9600000000000009,0.9600000000000009,19.756,19.99,19.35,0.639999999999997,0.639999999999997,20.016,20.33,19.5,0.8299999999999983,0.7199999999999989,1467275,2056466,1141787,914679,-64267
2018-04-15,21.214,21.84,20.32,1.5199999999999996,1.5199999999999996,21.584,22.06,20.53,1.5299999999999976,1.4299999999999997,20.942,21.52,20.11,1.4100000000000001,1.1900000000000013,21.401999999999997,21.9,20.4,1.5,1.1799999999999997,2080210,4002074,1307161,2694913,26057
2018-04-22,21.63,21.92,21.32,0.6000000000000014,0.3099999999999987,21.944,22.11,21.8,0.3099999999999987,0.05000000000000071,21.19,21.48,20.99,0.490000000000002,-0.360000000000003,21.508,21.79,21.16,0.629999999999999,-0.28000000000000114,1123919,1361544,976147,385397,385397
