Date,IQ Merger Arbitrage_Open_average,IQ Merger Arbitrage_Open_max,IQ Merger Arbitrage_Open_min,IQ Merger Arbitrage_Open_volatility,IQ Merger Arbitrage_Open_change,IQ Merger Arbitrage_High_average,IQ Merger Arbitrage_High_max,IQ Merger Arbitrage_High_min,IQ Merger Arbitrage_High_volatility,IQ Merger Arbitrage_High_change,IQ Merger Arbitrage_Low_average,IQ Merger Arbitrage_Low_max,IQ Merger Arbitrage_Low_min,IQ Merger Arbitrage_Low_volatility,IQ Merger Arbitrage_Low_change,IQ Merger Arbitrage_Close_average,IQ Merger Arbitrage_Close_max,IQ Merger Arbitrage_Close_min,IQ Merger Arbitrage_Close_volatility,IQ Merger Arbitrage_Close_change
2018-01-14,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-01-21,31.76,31.76,31.76,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-01-28,31.35,31.35,31.35,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-02-04,31.15,31.15,31.15,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-02-11,31.27,31.27,31.27,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-02-18,31.27,31.27,31.27,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-02-25,31.06,31.06,31.06,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-03-04,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-03-11,30.78,30.78,30.78,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-03-18,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-03-25,30.73,30.73,30.73,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-04-01,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-04-08,30.65,30.65,30.65,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-04-15,30.57,30.57,30.57,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-22,30.73,30.73,30.73,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.78,30.78,30.78,0.0,0.0
