Date,SPDR S&P 500 Fossil Fuel Reserves Free_Open_average,SPDR S&P 500 Fossil Fuel Reserves Free_Open_max,SPDR S&P 500 Fossil Fuel Reserves Free_Open_min,SPDR S&P 500 Fossil Fuel Reserves Free_Open_volatility,SPDR S&P 500 Fossil Fuel Reserves Free_Open_change,SPDR S&P 500 Fossil Fuel Reserves Free_High_average,SPDR S&P 500 Fossil Fuel Reserves Free_High_max,SPDR S&P 500 Fossil Fuel Reserves Free_High_min,SPDR S&P 500 Fossil Fuel Reserves Free_High_volatility,SPDR S&P 500 Fossil Fuel Reserves Free_High_change,SPDR S&P 500 Fossil Fuel Reserves Free_Low_average,SPDR S&P 500 Fossil Fuel Reserves Free_Low_max,SPDR S&P 500 Fossil Fuel Reserves Free_Low_min,SPDR S&P 500 Fossil Fuel Reserves Free_Low_volatility,SPDR S&P 500 Fossil Fuel Reserves Free_Low_change,SPDR S&P 500 Fossil Fuel Reserves Free_Close_average,SPDR S&P 500 Fossil Fuel Reserves Free_Close_max,SPDR S&P 500 Fossil Fuel Reserves Free_Close_min,SPDR S&P 500 Fossil Fuel Reserves Free_Close_volatility,SPDR S&P 500 Fossil Fuel Reserves Free_Close_change
2018-01-14,68.09,68.09,68.09,0.0,0.0,68.56,68.56,68.56,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2018-01-21,69.42,69.42,69.42,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.22,69.22,69.22,0.0,0.0,69.22,69.22,69.22,0.0,0.0
2018-01-28,66.19,66.19,66.19,0.0,0.0,67.02,67.02,67.02,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.68,64.68,64.68,0.0,0.0
2018-02-04,64.25,64.25,64.25,0.0,0.0,64.9,64.9,64.9,0.0,0.0,63.88,63.88,63.88,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-02-11,66.55,66.55,66.55,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-02-18,67.33,67.33,67.33,0.0,0.0,67.74,67.74,67.74,0.0,0.0,67.05,67.05,67.05,0.0,0.0,67.74,67.74,67.74,0.0,0.0
2018-02-25,65.51,65.51,65.51,0.0,0.0,66.41,66.41,66.41,0.0,0.0,65.51,65.51,65.51,0.0,0.0,66.41,66.41,66.41,0.0,0.0
2018-03-04,68.19,68.19,68.19,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2018-03-11,66.91,66.91,66.91,0.0,0.0,66.91,66.91,66.91,0.0,0.0,65.64,65.64,65.64,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2018-03-18,63.66,63.66,63.66,0.0,0.0,64.43,64.43,64.43,0.0,0.0,63.27,63.27,63.27,0.0,0.0,64.43,64.43,64.43,0.0,0.0
2018-03-25,64.13,64.13,64.13,0.0,0.0,64.13,64.13,64.13,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.73,62.73,62.73,0.0,0.0
2018-04-01,63.8,63.8,63.8,0.0,0.0,64.37,64.37,64.37,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.62,63.62,63.62,0.0,0.0
2018-04-08,64.97,64.97,64.97,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.92,64.92,64.92,0.0,0.0
2018-04-15,64.94,64.94,64.94,0.0,0.0,65.0,65.0,65.0,0.0,0.0,64.47,64.47,64.47,0.0,0.0,64.7,64.7,64.7,0.0,0.0
2018-04-22,65.09,65.09,65.09,0.0,0.0,65.09,65.09,65.09,0.0,0.0,64.28,64.28,64.28,0.0,0.0,64.31,64.31,64.31,0.0,0.0
2018-04-29,65.05,65.05,65.05,0.0,0.0,65.05,65.05,65.05,0.0,0.0,64.66,64.66,64.66,0.0,0.0,64.73,64.73,64.73,0.0,0.0
2018-05-06,66.12,66.12,66.12,0.0,0.0,66.2,66.2,66.2,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-05-13,65.98,65.98,65.98,0.0,0.0,66.34,66.34,66.34,0.0,0.0,65.98,65.98,65.98,0.0,0.0,66.11,66.11,66.11,0.0,0.0
2018-05-20,65.99,65.99,65.99,0.0,0.0,66.2,66.2,66.2,0.0,0.0,65.98,65.98,65.98,0.0,0.0,66.01,66.01,66.01,0.0,0.0
2018-05-27,66.66,66.66,66.66,0.0,0.0,66.75,66.75,66.75,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2018-06-03,67.45,67.45,67.45,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2018-06-10,66.85,66.85,66.85,0.0,0.0,67.11,67.11,67.11,0.0,0.0,66.85,66.85,66.85,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-06-17,66.3,66.3,66.3,0.0,0.0,66.3,66.3,66.3,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.66,65.66,65.66,0.0,0.0
2018-06-24,65.38,65.38,65.38,0.0,0.0,65.46,65.46,65.46,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.38,65.38,65.38,0.0,0.0
2018-07-01,66.79,66.79,66.79,0.0,0.0,67.32,67.32,67.32,0.0,0.0,66.79,66.79,66.79,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2018-07-08,67.83,67.83,67.83,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.75,67.75,67.75,0.0,0.0
