Date,PowerShares International BuyBack Achievers_etf_Open_average,PowerShares International BuyBack Achievers_etf_Open_max,PowerShares International BuyBack Achievers_etf_Open_min,PowerShares International BuyBack Achievers_etf_Open_volatility,PowerShares International BuyBack Achievers_etf_Open_change,PowerShares International BuyBack Achievers_etf_High_average,PowerShares International BuyBack Achievers_etf_High_max,PowerShares International BuyBack Achievers_etf_High_min,PowerShares International BuyBack Achievers_etf_High_volatility,PowerShares International BuyBack Achievers_etf_High_change,PowerShares International BuyBack Achievers_etf_Low_average,PowerShares International BuyBack Achievers_etf_Low_max,PowerShares International BuyBack Achievers_etf_Low_min,PowerShares International BuyBack Achievers_etf_Low_volatility,PowerShares International BuyBack Achievers_etf_Low_change,PowerShares International BuyBack Achievers_etf_Close_average,PowerShares International BuyBack Achievers_etf_Close_max,PowerShares International BuyBack Achievers_etf_Close_min,PowerShares International BuyBack Achievers_etf_Close_volatility,PowerShares International BuyBack Achievers_etf_Close_change
2018-01-14,39.18,39.18,39.18,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-01-21,39.94,39.94,39.94,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.86,39.86,39.86,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-01-28,39.3,39.3,39.3,0.0,0.0,39.3,39.3,39.3,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2018-02-04,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,35.86,35.86,35.86,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-02-11,38.38,38.38,38.38,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-02-18,38.58,38.58,38.58,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-02-25,37.15,37.15,37.15,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2018-03-04,38.06,38.06,38.06,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2018-03-11,38.1,38.1,38.1,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.15,38.15,38.15,0.0,0.0
2018-03-18,37.25,37.25,37.25,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-03-25,37.19,37.19,37.19,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-04-01,37.39,37.39,37.39,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-04-08,37.72,37.72,37.72,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-04-15,37.95,37.95,37.95,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2018-04-22,37.53,37.53,37.53,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-04-29,37.72,37.72,37.72,0.0,0.0,38.14,38.14,38.14,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2018-05-06,38.59,38.59,38.59,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-05-13,38.55,38.55,38.55,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.57,38.57,38.57,0.0,0.0
