Date,FIX_stock_Open_average,FIX_stock_Open_max,FIX_stock_Open_min,FIX_stock_Open_volatility,FIX_stock_Open_change,FIX_stock_High_average,FIX_stock_High_max,FIX_stock_High_min,FIX_stock_High_volatility,FIX_stock_High_change,FIX_stock_Low_average,FIX_stock_Low_max,FIX_stock_Low_min,FIX_stock_Low_volatility,FIX_stock_Low_change,FIX_stock_Close_average,FIX_stock_Close_max,FIX_stock_Close_min,FIX_stock_Close_volatility,FIX_stock_Close_change,FIX_stock_Volume_average,FIX_stock_Volume_max,FIX_stock_Volume_min,FIX_stock_Volume_volatility,FIX_stock_Volume_change
2018-01-14,43.575,44.45,42.95,1.5,-1.5,43.962500000000006,44.7,43.6,1.1000000000000014,-0.75,42.980000000000004,43.0,42.95,0.04999999999999716,-0.04999999999999716,43.4125,43.95,43.05,0.9000000000000057,0.8500000000000014,133387,199540,62194,137346,1345
2018-01-21,43.88,44.6,43.5,1.1000000000000014,0.7000000000000028,44.086,44.65,43.55,1.1000000000000014,0.75,43.124,43.27,42.95,0.3200000000000003,-0.04999999999999716,43.72,44.45,43.3,1.1500000000000057,0.29999999999999716,102037,172723,52135,120588,89864
2018-01-28,43.29,43.85,42.45,1.3999999999999986,-1.0,43.68,44.2,42.95,1.25,-1.25,42.81,43.7,42.15,1.5500000000000043,-1.3000000000000043,43.14,43.9,42.6,1.2999999999999972,-1.2999999999999972,155217,218909,81884,137025,38524
2018-02-04,40.87,42.15,40.05,2.1000000000000014,-1.7999999999999972,41.43,42.5,40.95,1.5499999999999972,-1.5,40.199999999999996,40.85,39.65,1.2000000000000028,-1.2000000000000028,40.61,40.95,39.9,1.0500000000000043,-0.29999999999999716,180695,221553,160704,60849,-59082
2018-02-11,40.76,41.25,40.3,0.9500000000000028,0.6000000000000014,41.32,41.9,41.0,0.8999999999999986,0.8999999999999986,40.47,41.25,39.9,1.3500000000000014,1.3500000000000014,41.06,41.45,40.5,0.9500000000000028,0.8999999999999986,105470,141808,62829,78979,-21848
2018-02-18,40.8125,41.25,40.4,0.8500000000000014,-0.8500000000000014,41.75,42.05,41.45,0.5999999999999943,0.5,40.2875,40.6,39.4,1.2000000000000028,-1.1499999999999986,41.1,42.0,40.6,1.3999999999999986,0.3999999999999986,190438,236497,149499,86998,50477
2018-02-25,41.29,42.4,40.1,2.299999999999997,-1.3500000000000014,42.07,43.25,41.0,2.25,-1.5,40.72,41.25,39.85,1.3999999999999986,-1.25,41.24,42.45,40.45,2.0,-1.5500000000000043,200663,323560,125297,198263,46875
2018-03-04,41.46,42.65,40.75,1.8999999999999986,1.0499999999999972,42.11,42.7,40.95,1.75,1.6999999999999957,41.014,41.75,40.4,1.3500000000000014,1.3500000000000014,41.78,42.6,40.65,1.9500000000000028,1.9500000000000028,175690,341346,76767,264579,-60786
2018-03-11,42.58,42.8,42.3,0.5,-0.45000000000000284,42.93,43.4,42.6,0.7999999999999972,-0.20000000000000284,42.26,42.4,42.15,0.25,-0.10000000000000142,42.52,42.85,42.35,0.5,0.25,208478,379205,119317,259888,250639
2018-03-18,41.92,42.7,40.9,1.8000000000000043,-1.8000000000000043,42.18,42.7,41.3,1.4000000000000057,-1.4000000000000057,41.2,41.95,39.85,2.1000000000000014,-1.6499999999999986,41.39,42.15,39.85,2.299999999999997,-2.299999999999997,157390,250534,70577,179957,-91745
