Date,OIBRQStock_Open_average,OIBRQStock_Open_max,OIBRQStock_Open_min,OIBRQStock_Open_volatility,OIBRQStock_Open_change,OIBRQStock_High_average,OIBRQStock_High_max,OIBRQStock_High_min,OIBRQStock_High_volatility,OIBRQStock_High_change,OIBRQStock_Low_average,OIBRQStock_Low_max,OIBRQStock_Low_min,OIBRQStock_Low_volatility,OIBRQStock_Low_change,OIBRQStock_Close_average,OIBRQStock_Close_max,OIBRQStock_Close_min,OIBRQStock_Close_volatility,OIBRQStock_Close_change,OIBRQStock_Volume_average,OIBRQStock_Volume_max,OIBRQStock_Volume_min,OIBRQStock_Volume_volatility,OIBRQStock_Volume_change
2018-01-14,0.9951,1.01,0.9604,0.04959999999999998,0.04959999999999998,1.023075,1.06,0.98,0.08000000000000007,0.08000000000000007,0.994075,1.01,0.96,0.050000000000000044,0.050000000000000044,1.00625,1.055,0.96,0.09499999999999997,0.09499999999999997,24316,41348,9014,32334,-1736
2018-01-21,1.099,1.155,1.06,0.09499999999999997,0.040000000000000036,1.113,1.155,1.09,0.06499999999999995,0.010000000000000009,1.068,1.1,1.04,0.06000000000000005,0.040000000000000036,1.078,1.11,1.05,0.06000000000000005,0.040000000000000036,45495,121863,717,121146,80226
2018-01-28,1.07892,1.1,1.04,0.06000000000000005,-0.040000000000000036,1.088,1.11,1.06,0.050000000000000044,-0.050000000000000044,1.052,1.09,1.03,0.06000000000000005,-0.06000000000000005,1.058,1.09,1.03,0.06000000000000005,-0.06000000000000005,32527,99026,6011,93015,-4495
2018-02-04,0.96722,1.0211,0.95,0.07109999999999994,-0.06109999999999993,1.0094,1.04,0.972,0.06800000000000006,-0.06299999999999994,0.953,0.97,0.94,0.030000000000000027,-0.030000000000000027,0.9720599999999999,0.9911,0.96,0.031100000000000017,-0.010000000000000009,29167,47878,6106,41772,-7598
2018-02-11,0.979125,1.035,0.95,0.08499999999999996,0.08499999999999996,0.991625,1.04,0.96,0.08000000000000007,0.08000000000000007,0.9724999999999999,1.02,0.95,0.07000000000000006,0.07000000000000006,0.983975,1.04,0.9559,0.08410000000000006,0.08410000000000006,10000,14403,5997,8406,6804
2018-02-18,1.0075,1.02,0.99,0.030000000000000027,0.020000000000000018,1.0425,1.07,1.01,0.06000000000000005,0.06000000000000005,0.995,1.02,0.98,0.040000000000000036,0.030000000000000027,1.0225,1.06,0.99,0.07000000000000006,0.07000000000000006,237662,387455,103737,283718,106025
2018-02-25,1.07,1.1,1.04,0.06000000000000005,0.020000000000000018,1.094,1.12,1.07,0.050000000000000044,-0.020000000000000018,1.062,1.1,1.03,0.07000000000000006,0.020000000000000018,1.086,1.1,1.06,0.040000000000000036,-0.030000000000000027,326760,1499202,6026,1493176,28404
2018-03-04,1.1,1.11,1.09,0.020000000000000018,0.0,1.115,1.15,1.09,0.05999999999999983,0.029999999999999805,1.085,1.11,1.06,0.050000000000000044,0.020000000000000018,1.09,1.12,1.06,0.06000000000000005,0.020000000000000018,47637,86159,2359,83800,23211
2018-03-11,1.141,1.16,1.105,0.05499999999999994,0.0,1.155,1.19,1.105,0.08499999999999996,-0.030000000000000027,1.11,1.16,1.08,0.07999999999999985,-0.07999999999999985,1.114,1.16,1.08,0.07999999999999985,-0.07999999999999985,16153,32523,3963,28560,-13359
2018-03-18,1.064,1.08,1.05,0.030000000000000027,-0.020000000000000018,1.0716,1.1,1.053,0.04700000000000015,-0.040000000000000036,1.0406,1.063,1.01,0.052999999999999936,-0.052999999999999936,1.044,1.07,1.01,0.06000000000000005,-0.06000000000000005,27287,52952,10170,42782,28306
2018-03-25,1.01375,1.06,0.965,0.09500000000000008,-0.09500000000000008,1.0425,1.06,1.01,0.050000000000000044,-0.010000000000000009,0.98375,1.01,0.95,0.06000000000000005,-0.06000000000000005,0.999275,1.02,0.9671,0.05290000000000006,-0.05290000000000006,281461,1048155,2434,1045721,1028585
2018-04-01,1.008,1.04,0.97,0.07000000000000006,-0.010000000000000009,1.024,1.04,1.0,0.040000000000000036,0.0,0.982,1.0,0.97,0.030000000000000027,0.010000000000000009,1.004,1.03,0.97,0.06000000000000005,0.040000000000000036,433940,1208803,9705,1199098,-19931
2018-04-08,1.012,1.02,1.0,0.020000000000000018,0.010000000000000009,1.021,1.035,1.01,0.02499999999999991,0.010000000000000009,0.992,1.01,0.96,0.050000000000000044,-0.040000000000000036,1.0,1.02,0.97,0.050000000000000044,-0.030000000000000027,384540,1173765,2088,1171677,-519076
2018-04-15,0.972,1.0,0.93,0.06999999999999995,0.0,0.984,1.0,0.95,0.050000000000000044,0.0,0.952,0.98,0.93,0.04999999999999993,-0.010000000000000009,0.966,0.99,0.95,0.040000000000000036,-0.010000000000000009,154237,303478,1438,302040,-184818
2018-04-22,0.9380000000000001,0.99,0.9,0.08999999999999997,-0.06999999999999995,0.9420000000000001,0.99,0.9,0.08999999999999997,-0.08999999999999997,0.924,0.97,0.9,0.06999999999999995,-0.06999999999999995,0.924,0.97,0.9,0.06999999999999995,-0.06999999999999995,39109,148736,1148,147588,-139388
2018-04-29,0.927,0.955,0.91,0.04499999999999993,0.010000000000000009,0.95532,1.0,0.92,0.07999999999999996,0.04999999999999993,0.91,0.93,0.9,0.030000000000000027,0.030000000000000027,0.9381,1.0,0.9,0.09999999999999998,0.06999999999999995,13339,20886,4296,16590,-5652
2018-05-06,0.928,0.97,0.9,0.06999999999999995,0.020000000000000018,0.96,0.98,0.95,0.030000000000000027,0.010000000000000009,0.92,0.95,0.9,0.04999999999999993,0.0,0.93,0.98,0.9,0.07999999999999996,0.030000000000000027,23401,45556,7651,37905,8295
2018-05-13,0.925,1.0,0.9,0.09999999999999998,-0.09999999999999998,0.9425,1.0,0.9,0.09999999999999998,-0.09999999999999998,0.90415,0.9166,0.9,0.016599999999999948,-0.016599999999999948,0.91665,0.93,0.9,0.030000000000000027,-0.016599999999999948,11243,32964,319,32645,-3171
2018-05-20,0.9216,0.945,0.9,0.04499999999999993,0.0129999999999999,0.9336,0.95,0.9129999999999999,0.03700000000000003,-0.027000000000000024,0.891,0.945,0.85,0.09499999999999997,-0.050000000000000044,0.901,0.945,0.86,0.08499999999999996,-0.040000000000000036,124679,505239,333,504906,1715
2018-05-27,0.7675000000000001,0.81,0.74,0.07000000000000006,-0.030000000000000027,0.8475,0.98,0.78,0.19999999999999996,0.16999999999999993,0.735,0.75,0.72,0.030000000000000027,0.030000000000000027,0.7975,0.86,0.73,0.13,0.13,273070,1032127,2871,1029256,986297
2018-06-03,0.8400000000000001,0.88,0.8,0.07999999999999996,-0.07999999999999996,0.865,0.9,0.81,0.08999999999999997,-0.050000000000000044,0.81015,0.8406,0.77,0.0706,-0.029999999999999916,0.854525,0.9,0.8031,0.09689999999999999,-0.07500000000000007,12333,22161,5425,16736,16736
2018-06-10,0.852,0.9,0.78,0.12,-0.05999999999999994,0.866,0.9,0.82,0.08000000000000007,-0.050000000000000044,0.80638,0.87,0.75,0.12,-0.06000000000000005,0.85,0.87,0.82,0.050000000000000044,-0.030000000000000027,20246,59855,190,59665,58098
2018-06-17,0.852,0.89,0.76,0.13,-0.12,0.872,0.89,0.85,0.040000000000000036,-0.030000000000000027,0.762,0.8,0.75,0.050000000000000044,0.0,0.8356,0.868,0.77,0.09799999999999998,0.07999999999999996,31978,104261,548,103713,-47146
2018-06-24,0.69872,0.79,0.6743,0.11570000000000003,0.10999999999999999,0.838,0.85,0.83,0.020000000000000018,-0.020000000000000018,0.69872,0.79,0.6743,0.11570000000000003,0.10999999999999999,0.8344,0.85,0.8220000000000001,0.027999999999999914,-0.020000000000000018,4869,8125,605,7520,-5371
2018-07-01,0.77125,0.805,0.76,0.04500000000000004,0.0,0.793775,0.85,0.76,0.08999999999999997,-0.08999999999999997,0.75125,0.76,0.725,0.03500000000000003,-0.03500000000000003,0.7775,0.85,0.74,0.10999999999999999,-0.10999999999999999,9372,32573,921,31652,31422
