Date,Hartford Multifactor Low Volatility InternationalEtf_Open_average,Hartford Multifactor Low Volatility InternationalEtf_Open_max,Hartford Multifactor Low Volatility InternationalEtf_Open_min,Hartford Multifactor Low Volatility InternationalEtf_Open_volatility,Hartford Multifactor Low Volatility InternationalEtf_Open_change,Hartford Multifactor Low Volatility InternationalEtf_High_average,Hartford Multifactor Low Volatility InternationalEtf_High_max,Hartford Multifactor Low Volatility InternationalEtf_High_min,Hartford Multifactor Low Volatility InternationalEtf_High_volatility,Hartford Multifactor Low Volatility InternationalEtf_High_change,Hartford Multifactor Low Volatility InternationalEtf_Low_average,Hartford Multifactor Low Volatility InternationalEtf_Low_max,Hartford Multifactor Low Volatility InternationalEtf_Low_min,Hartford Multifactor Low Volatility InternationalEtf_Low_volatility,Hartford Multifactor Low Volatility InternationalEtf_Low_change,Hartford Multifactor Low Volatility InternationalEtf_Close_average,Hartford Multifactor Low Volatility InternationalEtf_Close_max,Hartford Multifactor Low Volatility InternationalEtf_Close_min,Hartford Multifactor Low Volatility InternationalEtf_Close_volatility,Hartford Multifactor Low Volatility InternationalEtf_Close_change
2018-01-14,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-01-21,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-01-28,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-02-04,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-02-11,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-02-18,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-02-25,27.38,27.38,27.38,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-03-04,27.95,27.95,27.95,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-03-11,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-03-18,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-03-25,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2018-04-01,27.58,27.58,27.58,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-04-08,27.9,27.9,27.9,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.03,28.03,28.03,0.0,0.0
