Date,VanEck Vectors Israel_Open_average,VanEck Vectors Israel_Open_max,VanEck Vectors Israel_Open_min,VanEck Vectors Israel_Open_volatility,VanEck Vectors Israel_Open_change,VanEck Vectors Israel_High_average,VanEck Vectors Israel_High_max,VanEck Vectors Israel_High_min,VanEck Vectors Israel_High_volatility,VanEck Vectors Israel_High_change,VanEck Vectors Israel_Low_average,VanEck Vectors Israel_Low_max,VanEck Vectors Israel_Low_min,VanEck Vectors Israel_Low_volatility,VanEck Vectors Israel_Low_change,VanEck Vectors Israel_Close_average,VanEck Vectors Israel_Close_max,VanEck Vectors Israel_Close_min,VanEck Vectors Israel_Close_volatility,VanEck Vectors Israel_Close_change
2018-01-14,31.7,31.7,31.7,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-01-21,32.05,32.05,32.05,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-01-28,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-02-04,29.33,29.33,29.33,0.0,0.0,29.55,29.55,29.55,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-02-11,30.61,30.61,30.61,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-02-18,30.8,30.8,30.8,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-02-25,30.02,30.02,30.02,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-03-04,31.1,31.1,31.1,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-03-11,31.17,31.17,31.17,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-03-18,30.02,30.02,30.02,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-03-25,29.59,29.59,29.59,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-04-01,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-04-08,30.25,30.25,30.25,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-15,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-04-22,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-04-29,29.89,29.89,29.89,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.83,29.83,29.83,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-05-06,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-05-13,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-05-20,31.53,31.53,31.53,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-05-27,31.57,31.57,31.57,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-06-03,31.93,31.93,31.93,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.22,32.22,32.22,0.0,0.0
