Date,IBKC_stock_Open_average,IBKC_stock_Open_max,IBKC_stock_Open_min,IBKC_stock_Open_volatility,IBKC_stock_Open_change,IBKC_stock_High_average,IBKC_stock_High_max,IBKC_stock_High_min,IBKC_stock_High_volatility,IBKC_stock_High_change,IBKC_stock_Low_average,IBKC_stock_Low_max,IBKC_stock_Low_min,IBKC_stock_Low_volatility,IBKC_stock_Low_change,IBKC_stock_Close_average,IBKC_stock_Close_max,IBKC_stock_Close_min,IBKC_stock_Close_volatility,IBKC_stock_Close_change,IBKC_stock_Volume_average,IBKC_stock_Volume_max,IBKC_stock_Volume_min,IBKC_stock_Volume_volatility,IBKC_stock_Volume_change
2018-01-14,82.375,82.7,81.95,0.75,-0.75,82.9625,83.35,82.65,0.6999999999999886,-0.25,81.5625,81.95,81.2,0.75,0.5,82.4,83.05,81.95,1.0999999999999943,1.0499999999999972,284886,416310,222298,194012,-194012
2018-01-21,83.3,84.1,82.35,1.75,0.8999999999999915,84.188,87.39,83.25,4.140000000000001,3.9399999999999977,82.37,83.7,81.65,2.049999999999997,1.5499999999999972,83.49,87.0,82.05,4.950000000000003,4.25,581836,1218124,280471,937653,937653
2018-01-28,85.44,87.45,84.1,3.3500000000000085,-1.7000000000000028,86.28,87.55,85.4,2.1499999999999915,-1.0499999999999972,84.336,85.35,83.78,1.5699999999999932,-0.9499999999999886,85.09,86.15,84.5,1.6500000000000057,-0.75,423908,594594,294794,299800,-299800
2018-02-04,81.37,83.8,79.1,4.700000000000003,-3.450000000000003,82.97200000000001,84.4,81.5,2.9000000000000057,-2.9000000000000057,79.65,81.4,78.45,2.950000000000003,-2.5,80.94,82.0,78.85,3.1500000000000057,0.0,485664,604747,303032,301715,-132189
2018-02-11,82.28,84.45,81.25,3.200000000000003,1.7999999999999972,83.71000000000001,84.7,82.15,2.549999999999997,1.75,81.926,83.3,80.9,2.3999999999999915,2.1999999999999886,83.14999999999999,84.3,81.8,2.5,2.25,287421,415896,219015,196881,-196881
2018-02-18,83.5,84.6,82.4,2.1999999999999886,-1.3999999999999915,84.575,85.45,83.45,2.0,-1.3499999999999943,82.1875,82.8,81.55,1.25,-1.25,83.2375,84.2,82.2,2.0,0.3500000000000085,214478,280461,138946,141515,70689
2018-02-25,81.97,83.5,79.95,3.549999999999997,-3.549999999999997,82.974,84.35,81.6,2.75,-1.3299999999999983,80.864,82.3,79.2,3.0999999999999943,-3.0999999999999943,81.76,83.45,80.4,3.049999999999997,-1.5499999999999972,245889,321703,192816,128887,44433
2018-03-04,82.95,84.2,81.15,3.049999999999997,2.4499999999999886,84.09,84.6,83.5,1.0999999999999943,1.0999999999999943,81.85,82.7,80.45,2.25,2.25,83.53,84.55,82.8,1.75,1.5,245228,293626,199736,93890,-7986
2018-03-11,83.71000000000001,84.75,82.9,1.8499999999999943,-1.7999999999999972,84.05,84.9,83.25,1.6500000000000057,-0.75,82.72,83.55,82.0,1.5499999999999972,-0.75,83.27,83.95,82.6,1.3500000000000085,-0.20000000000000284,327467,550284,235020,315264,284340
2018-03-18,82.18,83.5,80.0,3.5,-3.5,82.454,83.55,80.17,3.3799999999999955,-3.3799999999999955,80.53,82.5,76.95,5.549999999999997,-4.799999999999997,80.99,83.1,77.0,6.099999999999994,-6.099999999999994,238549,328500,154450,174050,174050
2018-03-25,78.2875,79.3,77.55,1.75,-0.20000000000000284,78.9875,79.6,78.15,1.4499999999999886,-0.75,77.175,77.5,76.75,0.75,0.09999999999999432,78.125,79.35,77.5,1.8499999999999943,-1.3499999999999943,365761,419793,344582,75211,-68747
2018-04-01,78.14,79.6,77.15,2.4499999999999886,1.3999999999999915,79.17,79.9,78.4,1.5,1.25,77.13,78.6,75.85,2.75,1.1500000000000057,78.36,79.7,76.85,2.8500000000000085,1.1500000000000057,391822,647732,272735,374997,361171
2018-04-08,78.6,79.6,78.25,1.3499999999999943,1.25,79.28,79.6,78.75,0.8499999999999943,0.19999999999998863,77.47,77.85,77.15,0.6999999999999886,-0.09999999999999432,78.13,79.0,77.4,1.5999999999999943,0.04999999999999716,366344,456548,235872,220676,-146728
2018-04-15,77.02,79.05,73.1,5.950000000000003,-4.900000000000006,78.2,79.05,76.65,2.3999999999999915,-1.75,75.73,77.25,70.4,6.849999999999994,-6.849999999999994,77.46000000000001,78.4,75.4,3.0,-2.9499999999999886,514375,701709,330673,371036,325846
2018-04-22,76.31,77.1,75.05,2.049999999999997,0.9500000000000028,77.17999999999999,78.05,76.45,1.5999999999999943,-0.09999999999999432,75.69,76.0,75.0,1.0,0.5999999999999943,76.4,76.8,75.95,0.8499999999999943,-0.5,503268,815002,267607,547395,-224752
2018-04-29,75.07,76.0,74.0,2.0,-2.0,76.146,76.7,75.7,1.0,-0.3500000000000085,74.18,74.95,73.45,1.5,-1.5,75.17999999999999,75.6,74.65,0.9499999999999886,0.6499999999999915,564291,760110,415658,344452,339852
2018-05-06,76.99,78.0,75.65,2.3499999999999943,2.3499999999999943,77.60600000000001,78.65,76.75,1.9000000000000057,1.9000000000000057,76.392,77.53,75.0,2.530000000000001,2.530000000000001,77.07,77.7,76.1,1.6000000000000085,1.6000000000000085,356559,435299,302727,132572,-37174
2018-05-13,78.51,79.8,77.35,2.450000000000003,2.049999999999997,79.11,79.9,77.8,2.1000000000000085,2.1000000000000085,77.754,79.0,76.47,2.530000000000001,2.530000000000001,78.82,79.55,77.35,2.200000000000003,2.1000000000000085,373068,556537,230199,326338,65303
2018-05-20,80.73,81.2,79.55,1.6500000000000057,1.0499999999999972,81.536,82.0,81.1,0.9000000000000057,0.6800000000000068,79.72,81.05,77.25,3.799999999999997,3.0,81.12,81.3,80.95,0.3499999999999943,0.14999999999999147,458754,919945,256601,663344,-541832
2018-05-27,80.3625,80.6,80.15,0.44999999999998863,0.20000000000000284,81.1875,81.6,80.8,0.7999999999999972,0.7999999999999972,79.4125,79.95,78.95,1.0,1.0,80.275,80.95,79.55,1.4000000000000057,1.1500000000000057,336414,432437,255913,176524,-114775
2018-06-03,81.99,83.35,81.1,2.25,1.75,82.88,84.0,81.55,2.450000000000003,2.25,81.306,83.05,80.1,2.950000000000003,2.1099999999999994,82.5,83.35,81.3,2.049999999999997,1.7999999999999972,445788,640091,336822,303269,-34367
