Date,ProShares Decline of the Retail Store_etf_Open_average,ProShares Decline of the Retail Store_etf_Open_max,ProShares Decline of the Retail Store_etf_Open_min,ProShares Decline of the Retail Store_etf_Open_volatility,ProShares Decline of the Retail Store_etf_Open_change,ProShares Decline of the Retail Store_etf_High_average,ProShares Decline of the Retail Store_etf_High_max,ProShares Decline of the Retail Store_etf_High_min,ProShares Decline of the Retail Store_etf_High_volatility,ProShares Decline of the Retail Store_etf_High_change,ProShares Decline of the Retail Store_etf_Low_average,ProShares Decline of the Retail Store_etf_Low_max,ProShares Decline of the Retail Store_etf_Low_min,ProShares Decline of the Retail Store_etf_Low_volatility,ProShares Decline of the Retail Store_etf_Low_change,ProShares Decline of the Retail Store_etf_Close_average,ProShares Decline of the Retail Store_etf_Close_max,ProShares Decline of the Retail Store_etf_Close_min,ProShares Decline of the Retail Store_etf_Close_volatility,ProShares Decline of the Retail Store_etf_Close_change
2018-01-14,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-01-21,32.68,32.68,32.68,0.0,0.0,33.7,33.7,33.7,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2018-01-28,33.8,33.8,33.8,0.0,0.0,34.57,34.57,34.57,0.0,0.0,33.8,33.8,33.8,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-02-04,34.77,34.77,34.77,0.0,0.0,36.03,36.03,36.03,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-02-11,33.45,33.45,33.45,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-02-18,34.2,34.2,34.2,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-02-25,35.32,35.32,35.32,0.0,0.0,35.35,35.35,35.35,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-03-04,35.11,35.11,35.11,0.0,0.0,35.45,35.45,35.45,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-03-11,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-03-18,36.16,36.16,36.16,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-03-25,34.96,34.96,34.96,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-04-01,34.36,34.36,34.36,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-04-08,34.77,34.77,34.77,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-04-15,35.07,35.07,35.07,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-04-22,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-04-29,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-05-06,34.78,34.78,34.78,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0
