Date,UBS ETRACS Monthly Pay 2X Diversified High Income_Open_average,UBS ETRACS Monthly Pay 2X Diversified High Income_Open_max,UBS ETRACS Monthly Pay 2X Diversified High Income_Open_min,UBS ETRACS Monthly Pay 2X Diversified High Income_Open_volatility,UBS ETRACS Monthly Pay 2X Diversified High Income_Open_change,UBS ETRACS Monthly Pay 2X Diversified High Income_High_average,UBS ETRACS Monthly Pay 2X Diversified High Income_High_max,UBS ETRACS Monthly Pay 2X Diversified High Income_High_min,UBS ETRACS Monthly Pay 2X Diversified High Income_High_volatility,UBS ETRACS Monthly Pay 2X Diversified High Income_High_change,UBS ETRACS Monthly Pay 2X Diversified High Income_Low_average,UBS ETRACS Monthly Pay 2X Diversified High Income_Low_max,UBS ETRACS Monthly Pay 2X Diversified High Income_Low_min,UBS ETRACS Monthly Pay 2X Diversified High Income_Low_volatility,UBS ETRACS Monthly Pay 2X Diversified High Income_Low_change,UBS ETRACS Monthly Pay 2X Diversified High Income_Close_average,UBS ETRACS Monthly Pay 2X Diversified High Income_Close_max,UBS ETRACS Monthly Pay 2X Diversified High Income_Close_min,UBS ETRACS Monthly Pay 2X Diversified High Income_Close_volatility,UBS ETRACS Monthly Pay 2X Diversified High Income_Close_change
2018-01-14,20.48,20.48,20.48,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2018-01-21,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2018-01-28,19.53,19.53,19.53,0.0,0.0,20.0,20.0,20.0,0.0,0.0,17.98,17.98,17.98,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-02-04,18.54,18.54,18.54,0.0,0.0,18.87,18.87,18.87,0.0,0.0,17.65,17.65,17.65,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2018-02-11,18.65,18.65,18.65,0.0,0.0,19.35,19.35,19.35,0.0,0.0,18.65,18.65,18.65,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2018-02-18,19.09,19.09,19.09,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.89,18.89,18.89,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-02-25,18.38,18.38,18.38,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2018-03-04,18.6,18.6,18.6,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2018-03-11,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2018-03-18,17.83,17.83,17.83,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-03-25,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-04-01,18.16,18.16,18.16,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-04-08,18.19,18.19,18.19,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-04-15,18.19,18.19,18.19,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2018-04-22,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2018-04-29,18.48,18.48,18.48,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-05-06,18.83,18.83,18.83,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2018-05-13,18.87,18.87,18.87,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2018-05-20,18.86,18.86,18.86,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.81,18.81,18.81,0.0,0.0
