Date,John Hancock Multifactor Small Cap_Open_average,John Hancock Multifactor Small Cap_Open_max,John Hancock Multifactor Small Cap_Open_min,John Hancock Multifactor Small Cap_Open_volatility,John Hancock Multifactor Small Cap_Open_change,John Hancock Multifactor Small Cap_High_average,John Hancock Multifactor Small Cap_High_max,John Hancock Multifactor Small Cap_High_min,John Hancock Multifactor Small Cap_High_volatility,John Hancock Multifactor Small Cap_High_change,John Hancock Multifactor Small Cap_Low_average,John Hancock Multifactor Small Cap_Low_max,John Hancock Multifactor Small Cap_Low_min,John Hancock Multifactor Small Cap_Low_volatility,John Hancock Multifactor Small Cap_Low_change,John Hancock Multifactor Small Cap_Close_average,John Hancock Multifactor Small Cap_Close_max,John Hancock Multifactor Small Cap_Close_min,John Hancock Multifactor Small Cap_Close_volatility,John Hancock Multifactor Small Cap_Close_change
2018-01-14,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-01-21,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-01-28,25.64,25.64,25.64,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-02-04,25.2,25.2,25.2,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-02-11,26.02,26.02,26.02,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-02-18,26.0,26.0,26.0,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-02-25,25.77,25.77,25.77,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-03-04,26.5,26.5,26.5,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-03-11,25.95,25.95,25.95,0.0,0.0,26.06,26.06,26.06,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2018-03-18,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
