Date,PowerShares Dynamic Leisure & EntertainmentEtf_Open_average,PowerShares Dynamic Leisure & EntertainmentEtf_Open_max,PowerShares Dynamic Leisure & EntertainmentEtf_Open_min,PowerShares Dynamic Leisure & EntertainmentEtf_Open_volatility,PowerShares Dynamic Leisure & EntertainmentEtf_Open_change,PowerShares Dynamic Leisure & EntertainmentEtf_High_average,PowerShares Dynamic Leisure & EntertainmentEtf_High_max,PowerShares Dynamic Leisure & EntertainmentEtf_High_min,PowerShares Dynamic Leisure & EntertainmentEtf_High_volatility,PowerShares Dynamic Leisure & EntertainmentEtf_High_change,PowerShares Dynamic Leisure & EntertainmentEtf_Low_average,PowerShares Dynamic Leisure & EntertainmentEtf_Low_max,PowerShares Dynamic Leisure & EntertainmentEtf_Low_min,PowerShares Dynamic Leisure & EntertainmentEtf_Low_volatility,PowerShares Dynamic Leisure & EntertainmentEtf_Low_change,PowerShares Dynamic Leisure & EntertainmentEtf_Close_average,PowerShares Dynamic Leisure & EntertainmentEtf_Close_max,PowerShares Dynamic Leisure & EntertainmentEtf_Close_min,PowerShares Dynamic Leisure & EntertainmentEtf_Close_volatility,PowerShares Dynamic Leisure & EntertainmentEtf_Close_change
2018-01-14,45.57,45.57,45.57,0.0,0.0,45.99,45.99,45.99,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2018-01-21,46.58,46.58,46.58,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-01-28,46.51,46.51,46.51,0.0,0.0,46.51,46.51,46.51,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.51,45.51,45.51,0.0,0.0
2018-02-04,43.91,43.91,43.91,0.0,0.0,43.98,43.98,43.98,0.0,0.0,42.54,42.54,42.54,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2018-02-11,45.28,45.28,45.28,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-02-18,45.02,45.02,45.02,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.02,45.02,45.02,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-02-25,43.75,43.75,43.75,0.0,0.0,44.38,44.38,44.38,0.0,0.0,43.62,43.62,43.62,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-03-04,46.12,46.12,46.12,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2018-03-11,46.17,46.17,46.17,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2018-03-18,44.78,44.78,44.78,0.0,0.0,44.78,44.78,44.78,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.68,43.68,43.68,0.0,0.0
