Date,JPMorgan Diversified Return Global Equity_Open_average,JPMorgan Diversified Return Global Equity_Open_max,JPMorgan Diversified Return Global Equity_Open_volatility,JPMorgan Diversified Return Global Equity_Open_change,JPMorgan Diversified Return Global Equity_High_average,JPMorgan Diversified Return Global Equity_High_max,JPMorgan Diversified Return Global Equity_High_volatility,JPMorgan Diversified Return Global Equity_High_change,JPMorgan Diversified Return Global Equity_Low_average,JPMorgan Diversified Return Global Equity_Low_max,JPMorgan Diversified Return Global Equity_Low_volatility,JPMorgan Diversified Return Global Equity_Low_change,JPMorgan Diversified Return Global Equity_Close_average,JPMorgan Diversified Return Global Equity_Close_max,JPMorgan Diversified Return Global Equity_Close_volatility,JPMorgan Diversified Return Global Equity_Close_change
2016-01-03,47.12,47.12,0.0,0.0,47.12,47.12,0.0,0.0,46.59,46.59,0.0,0.0,46.84,46.84,0.0,0.0
2016-01-10,45.67,45.67,0.0,0.0,45.67,45.67,0.0,0.0,45.33,45.33,0.0,0.0,45.53,45.53,0.0,0.0
2016-01-17,46.26,46.26,0.0,0.0,46.3,46.3,0.0,0.0,45.92,45.92,0.0,0.0,45.92,45.92,0.0,0.0
2016-01-24,47.26,47.26,0.0,0.0,47.26,47.26,0.0,0.0,47.26,47.26,0.0,0.0,47.26,47.26,0.0,0.0
2016-01-31,45.97,45.97,0.0,0.0,46.1,46.1,0.0,0.0,45.67,45.67,0.0,0.0,46.05,46.05,0.0,0.0
2016-02-07,45.1,45.1,0.0,0.0,45.55,45.55,0.0,0.0,44.99,44.99,0.0,0.0,45.55,45.55,0.0,0.0
2016-02-14,47.27,47.27,0.0,0.0,47.42,47.42,0.0,0.0,47.27,47.27,0.0,0.0,47.42,47.42,0.0,0.0
2016-02-21,47.12,47.12,0.0,0.0,47.16,47.16,0.0,0.0,47.12,47.12,0.0,0.0,47.15,47.15,0.0,0.0
2016-02-28,48.9,48.9,0.0,0.0,48.9,48.9,0.0,0.0,48.68,48.68,0.0,0.0,48.69,48.69,0.0,0.0
2016-03-06,49.5,49.5,0.0,0.0,49.5,49.5,0.0,0.0,49.5,49.5,0.0,0.0,49.5,49.5,0.0,0.0
2016-03-13,49.96,49.96,0.0,0.0,50.08,50.08,0.0,0.0,49.88,49.88,0.0,0.0,50.08,50.08,0.0,0.0
2016-03-20,49.74,49.74,0.0,0.0,49.74,49.74,0.0,0.0,49.74,49.74,0.0,0.0,49.74,49.74,0.0,0.0
2016-03-27,50.04,50.04,0.0,0.0,50.04,50.04,0.0,0.0,49.88,49.88,0.0,0.0,49.88,49.88,0.0,0.0
2016-04-03,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.15,50.15,0.0,0.0,50.2,50.2,0.0,0.0
2016-04-10,51.02,51.02,0.0,0.0,51.3,51.3,0.0,0.0,51.02,51.02,0.0,0.0,51.3,51.3,0.0,0.0
2016-04-17,51.14,51.14,0.0,0.0,51.2,51.2,0.0,0.0,51.05,51.05,0.0,0.0,51.2,51.2,0.0,0.0
2016-04-24,51.16,51.16,0.0,0.0,51.28,51.28,0.0,0.0,51.16,51.16,0.0,0.0,51.28,51.28,0.0,0.0
2016-05-01,50.5,50.5,0.0,0.0,50.5,50.5,0.0,0.0,50.32,50.32,0.0,0.0,50.38,50.38,0.0,0.0
2016-05-08,50.33,50.33,0.0,0.0,50.53,50.53,0.0,0.0,50.3,50.3,0.0,0.0,50.42,50.42,0.0,0.0
2016-05-15,50.01,50.01,0.0,0.0,50.01,50.01,0.0,0.0,50.01,50.01,0.0,0.0,50.01,50.01,0.0,0.0
2016-05-22,50.9,50.9,0.0,0.0,50.92,50.92,0.0,0.0,50.8,50.8,0.0,0.0,50.85,50.85,0.0,0.0
2016-05-29,51.46,51.46,0.0,0.0,51.58,51.58,0.0,0.0,51.46,51.46,0.0,0.0,51.58,51.58,0.0,0.0
2016-06-05,50.41,50.41,0.0,0.0,50.52,50.52,0.0,0.0,50.09,50.09,0.0,0.0,50.12,50.12,0.0,0.0
2016-06-12,51.13,51.13,0.0,0.0,51.13,51.13,0.0,0.0,50.95,50.95,0.0,0.0,50.95,50.95,0.0,0.0
2016-06-19,48.95,48.95,0.0,0.0,48.95,48.95,0.0,0.0,48.24,48.24,0.0,0.0,48.61,48.61,0.0,0.0
2016-06-26,51.19,51.19,0.0,0.0,51.28,51.28,0.0,0.0,51.12,51.12,0.0,0.0,51.21,51.21,0.0,0.0
2016-07-03,51.75,51.75,0.0,0.0,51.76,51.76,0.0,0.0,51.74,51.74,0.0,0.0,51.74,51.74,0.0,0.0
2016-07-10,51.92,51.92,0.0,0.0,51.92,51.92,0.0,0.0,51.92,51.92,0.0,0.0,51.92,51.92,0.0,0.0
2016-07-17,52.05,52.05,0.0,0.0,52.05,52.05,0.0,0.0,51.89,51.89,0.0,0.0,52.01,52.01,0.0,0.0
2016-07-24,52.66,52.66,0.0,0.0,52.75,52.75,0.0,0.0,52.58,52.58,0.0,0.0,52.61,52.61,0.0,0.0
2016-07-31,52.52,52.52,0.0,0.0,52.52,52.52,0.0,0.0,52.44,52.44,0.0,0.0,52.46,52.46,0.0,0.0
2016-08-07,53.4,53.4,0.0,0.0,53.47,53.47,0.0,0.0,53.38,53.38,0.0,0.0,53.42,53.42,0.0,0.0
