Date,RiverFront Dynamic US Flex-Cap_etf_Open_average,RiverFront Dynamic US Flex-Cap_etf_Open_max,RiverFront Dynamic US Flex-Cap_etf_Open_min,RiverFront Dynamic US Flex-Cap_etf_Open_volatility,RiverFront Dynamic US Flex-Cap_etf_Open_change,RiverFront Dynamic US Flex-Cap_etf_High_average,RiverFront Dynamic US Flex-Cap_etf_High_max,RiverFront Dynamic US Flex-Cap_etf_High_min,RiverFront Dynamic US Flex-Cap_etf_High_volatility,RiverFront Dynamic US Flex-Cap_etf_High_change,RiverFront Dynamic US Flex-Cap_etf_Low_average,RiverFront Dynamic US Flex-Cap_etf_Low_max,RiverFront Dynamic US Flex-Cap_etf_Low_min,RiverFront Dynamic US Flex-Cap_etf_Low_volatility,RiverFront Dynamic US Flex-Cap_etf_Low_change,RiverFront Dynamic US Flex-Cap_etf_Close_average,RiverFront Dynamic US Flex-Cap_etf_Close_max,RiverFront Dynamic US Flex-Cap_etf_Close_min,RiverFront Dynamic US Flex-Cap_etf_Close_volatility,RiverFront Dynamic US Flex-Cap_etf_Close_change
2018-01-14,34.33,34.33,34.33,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-01-21,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-01-28,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-02-04,31.31,31.31,31.31,0.0,0.0,31.73,31.73,31.73,0.0,0.0,30.68,30.68,30.68,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-02-11,33.12,33.12,33.12,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-02-18,33.02,33.02,33.02,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-02-25,32.1,32.1,32.1,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2018-03-04,33.53,33.53,33.53,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-03-11,33.75,33.75,33.75,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-03-18,32.22,32.22,32.22,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-03-25,31.82,31.82,31.82,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-04-01,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-04-08,32.7,32.7,32.7,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-04-15,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-04-22,32.65,32.65,32.65,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-04-29,31.91,31.91,31.91,0.0,0.0,32.55,32.55,32.55,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-05-06,33.35,33.35,33.35,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-05-13,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-05-20,33.71,33.71,33.71,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-05-27,33.95,33.95,33.95,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-06-03,34.75,34.75,34.75,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-06-10,34.75,34.75,34.75,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-06-17,34.81,34.81,34.81,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-06-24,34.38,34.38,34.38,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-07-01,34.59,34.59,34.59,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-07-08,35.18,35.18,35.18,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2018-07-15,35.32,35.32,35.32,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-07-22,35.33,35.33,35.33,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-07-29,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-08-05,35.4,35.4,35.4,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-08-12,35.26,35.26,35.26,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-08-19,35.77,35.77,35.77,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.84,35.84,35.84,0.0,0.0
2018-08-26,36.2,36.2,36.2,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-09-02,35.65,35.65,35.65,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2018-09-09,35.99,35.99,35.99,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.92,35.92,35.92,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-09-16,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0
