Date,iShares Core MSCI PacificEtf_Open_average,iShares Core MSCI PacificEtf_Open_max,iShares Core MSCI PacificEtf_Open_min,iShares Core MSCI PacificEtf_Open_volatility,iShares Core MSCI PacificEtf_Open_change,iShares Core MSCI PacificEtf_High_average,iShares Core MSCI PacificEtf_High_max,iShares Core MSCI PacificEtf_High_min,iShares Core MSCI PacificEtf_High_volatility,iShares Core MSCI PacificEtf_High_change,iShares Core MSCI PacificEtf_Low_average,iShares Core MSCI PacificEtf_Low_max,iShares Core MSCI PacificEtf_Low_min,iShares Core MSCI PacificEtf_Low_volatility,iShares Core MSCI PacificEtf_Low_change,iShares Core MSCI PacificEtf_Close_average,iShares Core MSCI PacificEtf_Close_max,iShares Core MSCI PacificEtf_Close_min,iShares Core MSCI PacificEtf_Close_volatility,iShares Core MSCI PacificEtf_Close_change
2018-01-14,62.94,62.94,62.94,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.7,62.7,62.7,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-01-21,63.61,63.61,63.61,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.56,63.56,63.56,0.0,0.0,63.85,63.85,63.85,0.0,0.0
2018-01-28,62.4,62.4,62.4,0.0,0.0,62.4,62.4,62.4,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2018-02-04,58.73,58.73,58.73,0.0,0.0,58.76,58.76,58.76,0.0,0.0,57.04,57.04,57.04,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-02-11,60.6,60.6,60.6,0.0,0.0,61.08,61.08,61.08,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2018-02-18,60.84,60.84,60.84,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.81,60.81,60.81,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2018-02-25,59.0,59.0,59.0,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.72,59.72,59.72,0.0,0.0
2018-03-04,60.15,60.15,60.15,0.0,0.0,60.58,60.58,60.58,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.54,60.54,60.54,0.0,0.0
2018-03-11,60.42,60.42,60.42,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.3,60.3,60.3,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2018-03-18,58.92,58.92,58.92,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-03-25,59.35,59.35,59.35,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.31,59.31,59.31,0.0,0.0,59.87,59.87,59.87,0.0,0.0
2018-04-01,59.29,59.29,59.29,0.0,0.0,59.47,59.47,59.47,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-04-08,59.91,59.91,59.91,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2018-04-15,60.0,60.0,60.0,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2018-04-22,60.19,60.19,60.19,0.0,0.0,60.27,60.27,60.27,0.0,0.0,60.07,60.07,60.07,0.0,0.0,60.07,60.07,60.07,0.0,0.0
2018-04-29,59.66,59.66,59.66,0.0,0.0,60.41,60.41,60.41,0.0,0.0,59.66,59.66,59.66,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2018-05-06,60.94,60.94,60.94,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.93,60.93,60.93,0.0,0.0
2018-05-13,60.61,60.61,60.61,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.55,60.55,60.55,0.0,0.0
2018-05-20,59.95,59.95,59.95,0.0,0.0,60.08,60.08,60.08,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2018-05-27,59.83,59.83,59.83,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.98,59.98,59.98,0.0,0.0
2018-06-03,60.48,60.48,60.48,0.0,0.0,60.63,60.63,60.63,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.56,60.56,60.56,0.0,0.0
2018-06-10,59.89,59.89,59.89,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-06-17,58.78,58.78,58.78,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2018-06-24,57.67,57.67,57.67,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2018-07-01,57.0,57.0,57.0,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-07-08,57.4,57.4,57.4,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2018-07-15,57.74,57.74,57.74,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2018-07-22,59.15,59.15,59.15,0.0,0.0,59.27,59.27,59.27,0.0,0.0,58.93,58.93,58.93,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-07-29,57.89,57.89,57.89,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.89,57.89,57.89,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-08-05,57.46,57.46,57.46,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-08-12,56.93,56.93,56.93,0.0,0.0,57.4,57.4,57.4,0.0,0.0,56.82,56.82,56.82,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-08-19,57.25,57.25,57.25,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2018-08-26,57.81,57.81,57.81,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-09-02,56.03,56.03,56.03,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.81,55.81,55.81,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2018-09-09,57.29,57.29,57.29,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-09-16,58.79,58.79,58.79,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-09-23,58.84,58.84,58.84,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-09-30,57.7,57.7,57.7,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2018-10-07,55.25,55.25,55.25,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.66,54.66,54.66,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2018-10-14,55.51,55.51,55.51,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2018-10-21,52.73,52.73,52.73,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-10-28,54.67,54.67,54.67,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2018-11-04,54.56,54.56,54.56,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-11-11,53.91,53.91,53.91,0.0,0.0,54.46,54.46,54.46,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2018-11-18,53.6,53.6,53.6,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-11-25,54.69,54.69,54.69,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.88,54.88,54.88,0.0,0.0
