Date,Schwab US Broad Market_Open_average,Schwab US Broad Market_Open_max,Schwab US Broad Market_Open_min,Schwab US Broad Market_Open_volatility,Schwab US Broad Market_Open_change,Schwab US Broad Market_High_average,Schwab US Broad Market_High_max,Schwab US Broad Market_High_min,Schwab US Broad Market_High_volatility,Schwab US Broad Market_High_change,Schwab US Broad Market_Low_average,Schwab US Broad Market_Low_max,Schwab US Broad Market_Low_min,Schwab US Broad Market_Low_volatility,Schwab US Broad Market_Low_change,Schwab US Broad Market_Close_average,Schwab US Broad Market_Close_max,Schwab US Broad Market_Close_min,Schwab US Broad Market_Close_volatility,Schwab US Broad Market_Close_change
2018-01-14,67.64,67.64,67.64,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.64,67.64,67.64,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-01-21,68.93,68.93,68.93,0.0,0.0,69.03,69.03,69.03,0.0,0.0,68.57,68.57,68.57,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2018-01-28,65.92,65.92,65.92,0.0,0.0,66.5,66.5,66.5,0.0,0.0,63.59,63.59,63.59,0.0,0.0,63.78,63.78,63.78,0.0,0.0
2018-02-04,63.62,63.62,63.62,0.0,0.0,64.36,64.36,64.36,0.0,0.0,63.13,63.13,63.13,0.0,0.0,63.97,63.97,63.97,0.0,0.0
2018-02-11,65.69,65.69,65.69,0.0,0.0,66.42,66.42,66.42,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.9,65.9,65.9,0.0,0.0
2018-02-18,66.54,66.54,66.54,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-02-25,64.69,64.69,64.69,0.0,0.0,65.91,65.91,65.91,0.0,0.0,64.67,64.67,64.67,0.0,0.0,65.75,65.75,65.75,0.0,0.0
2018-03-04,67.48,67.48,67.48,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.36,67.36,67.36,0.0,0.0
2018-03-11,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.05,65.05,65.05,0.0,0.0,65.51,65.51,65.51,0.0,0.0
2018-03-18,63.52,63.52,63.52,0.0,0.0,64.28,64.28,64.28,0.0,0.0,62.92,62.92,62.92,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2018-03-25,63.62,63.62,63.62,0.0,0.0,63.75,63.75,63.75,0.0,0.0,61.74,61.74,61.74,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2018-04-01,63.34,63.34,63.34,0.0,0.0,64.09,64.09,64.09,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2018-04-08,64.68,64.68,64.68,0.0,0.0,64.97,64.97,64.97,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2018-04-15,64.81,64.81,64.81,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.34,64.34,64.34,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-04-22,64.72,64.72,64.72,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2018-04-29,64.74,64.74,64.74,0.0,0.0,65.03,65.03,65.03,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-05-06,66.26,66.26,66.26,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-05-13,66.29,66.29,66.29,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.38,66.38,66.38,0.0,0.0
2018-05-20,66.1,66.1,66.1,0.0,0.0,66.23,66.23,66.23,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-05-27,66.71,66.71,66.71,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2018-06-03,67.7,67.7,67.7,0.0,0.0,67.91,67.91,67.91,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.74,67.74,67.74,0.0,0.0
2018-06-10,67.35,67.35,67.35,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-06-17,66.94,66.94,66.94,0.0,0.0,66.96,66.96,66.96,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.3,66.3,66.3,0.0,0.0
2018-06-24,65.59,65.59,65.59,0.0,0.0,66.18,66.18,66.18,0.0,0.0,65.54,65.54,65.54,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-07-01,67.37,67.37,67.37,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.69,67.69,67.69,0.0,0.0
2018-07-08,68.03,68.03,68.03,0.0,0.0,68.06,68.06,68.06,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2018-07-15,68.01,68.01,68.01,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.87,67.87,67.87,0.0,0.0,68.15,68.15,68.15,0.0,0.0
2018-07-22,68.26,68.26,68.26,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2018-07-29,68.79,68.79,68.79,0.0,0.0,69.13,69.13,69.13,0.0,0.0,68.7,68.7,68.7,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2018-08-05,68.81,68.81,68.81,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.47,68.47,68.47,0.0,0.0
2018-08-12,69.31,69.31,69.31,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.19,69.19,69.19,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-08-19,70.19,70.19,70.19,0.0,0.0,70.45,70.45,70.45,0.0,0.0,70.13,70.13,70.13,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2018-08-26,70.4,70.4,70.4,0.0,0.0,70.63,70.63,70.63,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.53,70.53,70.53,0.0,0.0
2018-09-02,70.11,70.11,70.11,0.0,0.0,70.16,70.16,70.16,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.97,69.97,69.97,0.0,0.0
2018-09-09,70.61,70.61,70.61,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.12,70.12,70.12,0.0,0.0,70.19,70.19,70.19,0.0,0.0
