Date,UBS E-TRACS Bloomberg CMCI_Open_average,UBS E-TRACS Bloomberg CMCI_Open_max,UBS E-TRACS Bloomberg CMCI_Open_min,UBS E-TRACS Bloomberg CMCI_Open_volatility,UBS E-TRACS Bloomberg CMCI_Open_change,UBS E-TRACS Bloomberg CMCI_High_average,UBS E-TRACS Bloomberg CMCI_High_max,UBS E-TRACS Bloomberg CMCI_High_min,UBS E-TRACS Bloomberg CMCI_High_volatility,UBS E-TRACS Bloomberg CMCI_High_change,UBS E-TRACS Bloomberg CMCI_Low_average,UBS E-TRACS Bloomberg CMCI_Low_max,UBS E-TRACS Bloomberg CMCI_Low_min,UBS E-TRACS Bloomberg CMCI_Low_volatility,UBS E-TRACS Bloomberg CMCI_Low_change,UBS E-TRACS Bloomberg CMCI_Close_average,UBS E-TRACS Bloomberg CMCI_Close_max,UBS E-TRACS Bloomberg CMCI_Close_min,UBS E-TRACS Bloomberg CMCI_Close_volatility,UBS E-TRACS Bloomberg CMCI_Close_change
2018-01-14,15.37,15.37,15.37,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.53,15.53,15.53,0.0,0.0
2018-01-21,15.79,15.79,15.79,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.71,15.71,15.71,0.0,0.0
2018-01-28,15.45,15.45,15.45,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2018-02-04,14.97,14.97,14.97,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-02-11,15.36,15.36,15.36,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-02-18,15.54,15.54,15.54,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2018-02-25,15.44,15.44,15.44,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-03-04,15.31,15.31,15.31,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2018-03-11,15.01,15.01,15.01,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2018-03-18,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2018-03-25,15.4,15.4,15.4,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2018-04-01,15.35,15.35,15.35,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2018-04-08,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2018-04-15,15.71,15.71,15.71,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-04-22,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2018-04-29,15.85,15.85,15.85,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2018-05-06,15.98,15.98,15.98,0.0,0.0,16.01,16.01,16.01,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2018-05-13,16.03,16.03,16.03,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.15,16.15,16.15,0.0,0.0
2018-05-20,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2018-05-27,16.37,16.37,16.37,0.0,0.0,16.37,16.37,16.37,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-06-03,16.1,16.1,16.1,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0
