Date,Ranger Equity Bear_Open_average,Ranger Equity Bear_Open_max,Ranger Equity Bear_Open_min,Ranger Equity Bear_Open_volatility,Ranger Equity Bear_Open_change,Ranger Equity Bear_High_average,Ranger Equity Bear_High_max,Ranger Equity Bear_High_min,Ranger Equity Bear_High_volatility,Ranger Equity Bear_High_change,Ranger Equity Bear_Low_average,Ranger Equity Bear_Low_max,Ranger Equity Bear_Low_min,Ranger Equity Bear_Low_volatility,Ranger Equity Bear_Low_change,Ranger Equity Bear_Close_average,Ranger Equity Bear_Close_max,Ranger Equity Bear_Close_min,Ranger Equity Bear_Close_volatility,Ranger Equity Bear_Close_change
2018-01-14,7.52,7.52,7.52,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.5,7.5,7.5,0.0,0.0
2018-01-21,7.5,7.5,7.5,0.0,0.0,7.52,7.52,7.52,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.51,7.51,7.51,0.0,0.0
2018-01-28,7.94,7.94,7.94,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.87,7.87,7.87,0.0,0.0,8.08,8.08,8.08,0.0,0.0
2018-02-04,8.06,8.06,8.06,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.03,8.03,8.03,0.0,0.0,8.08,8.08,8.08,0.0,0.0
2018-02-11,7.93,7.93,7.93,0.0,0.0,7.94,7.94,7.94,0.0,0.0,7.82,7.82,7.82,0.0,0.0,7.88,7.88,7.88,0.0,0.0
2018-02-18,7.98,7.98,7.98,0.0,0.0,8.01,8.01,8.01,0.0,0.0,7.93,7.93,7.93,0.0,0.0,7.95,7.95,7.95,0.0,0.0
2018-02-25,8.1,8.1,8.1,0.0,0.0,8.1,8.1,8.1,0.0,0.0,7.96,7.96,7.96,0.0,0.0,7.97,7.97,7.97,0.0,0.0
2018-03-04,7.85,7.85,7.85,0.0,0.0,7.89,7.89,7.89,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.85,7.85,7.85,0.0,0.0
2018-03-11,7.96,7.96,7.96,0.0,0.0,8.12,8.12,8.12,0.0,0.0,7.96,7.96,7.96,0.0,0.0,8.06,8.06,8.06,0.0,0.0
2018-03-18,8.31,8.31,8.31,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.25,8.25,8.25,0.0,0.0
2018-03-25,8.24,8.24,8.24,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.23,8.23,8.23,0.0,0.0,8.42,8.42,8.42,0.0,0.0
2018-04-01,8.28,8.28,8.28,0.0,0.0,8.33,8.33,8.33,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.33,8.33,8.33,0.0,0.0
2018-04-08,8.22,8.22,8.22,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.16,8.16,8.16,0.0,0.0,8.2,8.2,8.2,0.0,0.0
