Date,iShares US Consumer Services_Open_average,iShares US Consumer Services_Open_max,iShares US Consumer Services_Open_min,iShares US Consumer Services_Open_volatility,iShares US Consumer Services_Open_change,iShares US Consumer Services_High_average,iShares US Consumer Services_High_max,iShares US Consumer Services_High_min,iShares US Consumer Services_High_volatility,iShares US Consumer Services_High_change,iShares US Consumer Services_Low_average,iShares US Consumer Services_Low_max,iShares US Consumer Services_Low_min,iShares US Consumer Services_Low_volatility,iShares US Consumer Services_Low_change,iShares US Consumer Services_Close_average,iShares US Consumer Services_Close_max,iShares US Consumer Services_Close_min,iShares US Consumer Services_Close_volatility,iShares US Consumer Services_Close_change
2018-01-14,191.94,191.94,191.94,0.0,0.0,193.92,193.92,193.92,0.0,0.0,191.85,191.85,191.85,0.0,0.0,193.91,193.91,193.91,0.0,0.0
2018-01-21,197.45,197.45,197.45,0.0,0.0,198.53,198.53,198.53,0.0,0.0,197.13,197.13,197.13,0.0,0.0,197.62,197.62,197.62,0.0,0.0
2018-01-28,189.3,189.3,189.3,0.0,0.0,191.52,191.52,191.52,0.0,0.0,183.6,183.6,183.6,0.0,0.0,184.45,184.45,184.45,0.0,0.0
2018-02-04,183.08,183.08,183.08,0.0,0.0,184.61,184.61,184.61,0.0,0.0,181.65,181.65,181.65,0.0,0.0,183.61,183.61,183.61,0.0,0.0
2018-02-11,189.01,189.01,189.01,0.0,0.0,190.67,190.67,190.67,0.0,0.0,188.99,188.99,188.99,0.0,0.0,189.39,189.39,189.39,0.0,0.0
2018-02-18,190.8,190.8,190.8,0.0,0.0,191.45,191.45,191.45,0.0,0.0,190.43,190.43,190.43,0.0,0.0,191.35,191.35,191.35,0.0,0.0
2018-02-25,185.26,185.26,185.26,0.0,0.0,188.32,188.32,188.32,0.0,0.0,184.92,184.92,184.92,0.0,0.0,187.97,187.97,187.97,0.0,0.0
2018-03-04,191.98,191.98,191.98,0.0,0.0,192.46,192.46,192.46,0.0,0.0,191.52,191.52,191.52,0.0,0.0,191.96,191.96,191.96,0.0,0.0
2018-03-11,188.75,188.75,188.75,0.0,0.0,188.75,188.75,188.75,0.0,0.0,185.93,185.93,185.93,0.0,0.0,187.08,187.08,187.08,0.0,0.0
2018-03-18,183.2,183.2,183.2,0.0,0.0,185.21,185.21,185.21,0.0,0.0,181.11,181.11,181.11,0.0,0.0,185.04,185.04,185.04,0.0,0.0
2018-03-25,181.12,181.12,181.12,0.0,0.0,181.12,181.12,181.12,0.0,0.0,175.36,175.36,175.36,0.0,0.0,176.96,176.96,176.96,0.0,0.0
2018-04-01,181.38,181.38,181.38,0.0,0.0,182.27,182.27,182.27,0.0,0.0,179.59,179.59,179.59,0.0,0.0,179.76,179.76,179.76,0.0,0.0
2018-04-08,181.77,181.77,181.77,0.0,0.0,183.28,183.28,183.28,0.0,0.0,181.33,181.33,181.33,0.0,0.0,182.54,182.54,182.54,0.0,0.0
2018-04-15,185.32,185.32,185.32,0.0,0.0,186.02,186.02,186.02,0.0,0.0,184.09,184.09,184.09,0.0,0.0,184.85,184.85,184.85,0.0,0.0
2018-04-22,186.7,186.7,186.7,0.0,0.0,187.54,187.54,187.54,0.0,0.0,185.42,185.42,185.42,0.0,0.0,185.44,185.44,185.44,0.0,0.0
2018-04-29,186.85,186.85,186.85,0.0,0.0,186.85,186.85,186.85,0.0,0.0,185.88,185.88,185.88,0.0,0.0,186.06,186.06,186.06,0.0,0.0
2018-05-06,187.31,187.31,187.31,0.0,0.0,187.79,187.79,187.79,0.0,0.0,187.28,187.28,187.28,0.0,0.0,187.37,187.37,187.37,0.0,0.0
2018-05-13,187.8,187.8,187.8,0.0,0.0,188.14,188.14,188.14,0.0,0.0,187.41,187.41,187.41,0.0,0.0,187.72,187.72,187.72,0.0,0.0
2018-05-20,187.89,187.89,187.89,0.0,0.0,189.26,189.26,189.26,0.0,0.0,187.89,187.89,187.89,0.0,0.0,188.57,188.57,188.57,0.0,0.0
2018-05-27,189.37,189.37,189.37,0.0,0.0,191.03,191.03,191.03,0.0,0.0,189.37,189.37,189.37,0.0,0.0,191.03,191.03,191.03,0.0,0.0
2018-06-03,194.25,194.25,194.25,0.0,0.0,195.51,195.51,195.51,0.0,0.0,194.25,194.25,194.25,0.0,0.0,195.23,195.23,195.23,0.0,0.0
2018-06-10,197.96,197.96,197.96,0.0,0.0,198.78,198.78,198.78,0.0,0.0,197.81,197.81,197.81,0.0,0.0,198.52,198.52,198.52,0.0,0.0
2018-06-17,198.05,198.05,198.05,0.0,0.0,198.05,198.05,198.05,0.0,0.0,194.04,194.04,194.04,0.0,0.0,195.08,195.08,195.08,0.0,0.0
2018-06-24,192.95,192.95,192.95,0.0,0.0,194.1,194.1,194.1,0.0,0.0,192.17,192.17,192.17,0.0,0.0,194.1,194.1,194.1,0.0,0.0
2018-07-01,197.41,197.41,197.41,0.0,0.0,198.33,198.33,198.33,0.0,0.0,197.18,197.18,197.18,0.0,0.0,198.33,198.33,198.33,0.0,0.0
2018-07-08,200.71,200.71,200.71,0.0,0.0,200.71,200.71,200.71,0.0,0.0,200.03,200.03,200.03,0.0,0.0,200.43,200.43,200.43,0.0,0.0
2018-07-15,199.4,199.4,199.4,0.0,0.0,199.6,199.6,199.6,0.0,0.0,198.59,198.59,198.59,0.0,0.0,199.33,199.33,199.33,0.0,0.0
2018-07-22,199.35,199.35,199.35,0.0,0.0,199.35,199.35,199.35,0.0,0.0,197.38,197.38,197.38,0.0,0.0,197.66,197.66,197.66,0.0,0.0
2018-07-29,199.6,199.6,199.6,0.0,0.0,201.11,201.11,201.11,0.0,0.0,199.56,199.56,199.56,0.0,0.0,200.96,200.96,200.96,0.0,0.0
2018-08-05,201.67,201.67,201.67,0.0,0.0,202.18,202.18,202.18,0.0,0.0,200.71,200.71,200.71,0.0,0.0,200.79,200.79,200.79,0.0,0.0
2018-08-12,203.15,203.15,203.15,0.0,0.0,203.9,203.9,203.9,0.0,0.0,202.76,202.76,202.76,0.0,0.0,203.9,203.9,203.9,0.0,0.0
2018-08-19,207.31,207.31,207.31,0.0,0.0,207.6,207.6,207.6,0.0,0.0,206.94,206.94,206.94,0.0,0.0,207.13,207.13,207.13,0.0,0.0
2018-08-26,209.05,209.05,209.05,0.0,0.0,210.15,210.15,210.15,0.0,0.0,209.05,209.05,209.05,0.0,0.0,210.08,210.08,210.08,0.0,0.0
2018-09-02,209.61,209.61,209.61,0.0,0.0,209.61,209.61,209.61,0.0,0.0,208.52,208.52,208.52,0.0,0.0,208.98,208.98,208.98,0.0,0.0
2018-09-09,209.48,209.48,209.48,0.0,0.0,209.48,209.48,209.48,0.0,0.0,207.29,207.29,207.29,0.0,0.0,207.35,207.35,207.35,0.0,0.0
2018-09-16,209.49,209.49,209.49,0.0,0.0,209.62,209.62,209.62,0.0,0.0,208.51,208.51,208.51,0.0,0.0,209.52,209.52,209.52,0.0,0.0
2018-09-23,213.17,213.17,213.17,0.0,0.0,213.17,213.17,213.17,0.0,0.0,210.96,210.96,210.96,0.0,0.0,211.17,211.17,211.17,0.0,0.0
2018-09-30,202.75,202.75,202.75,0.0,0.0,204.43,204.43,204.43,0.0,0.0,201.66,201.66,201.66,0.0,0.0,203.99,203.99,203.99,0.0,0.0
2018-10-07,198.27,198.27,198.27,0.0,0.0,199.35,199.35,199.35,0.0,0.0,197.17,197.17,197.17,0.0,0.0,198.13,198.13,198.13,0.0,0.0
2018-10-14,199.61,199.61,199.61,0.0,0.0,200.97,200.97,200.97,0.0,0.0,198.21,198.21,198.21,0.0,0.0,199.35,199.35,199.35,0.0,0.0
2018-10-21,192.94,192.94,192.94,0.0,0.0,194.25,194.25,194.25,0.0,0.0,186.24,186.24,186.24,0.0,0.0,189.13,189.13,189.13,0.0,0.0
2018-10-28,198.63,198.63,198.63,0.0,0.0,199.01,199.01,199.01,0.0,0.0,196.93,196.93,196.93,0.0,0.0,198.59,198.59,198.59,0.0,0.0
2018-11-04,202.38,202.38,202.38,0.0,0.0,202.38,202.38,202.38,0.0,0.0,198.87,198.87,198.87,0.0,0.0,199.13,199.13,199.13,0.0,0.0
2018-11-11,196.36,196.36,196.36,0.0,0.0,196.66,196.66,196.66,0.0,0.0,191.56,191.56,191.56,0.0,0.0,192.03,192.03,192.03,0.0,0.0
2018-11-18,191.05,191.05,191.05,0.0,0.0,192.07,192.07,192.07,0.0,0.0,190.46,190.46,190.46,0.0,0.0,192.0,192.0,192.0,0.0,0.0
