Date,WCMBNY Mellon Focused Growth ADR_Open_average,WCMBNY Mellon Focused Growth ADR_Open_max,WCMBNY Mellon Focused Growth ADR_Open_min,WCMBNY Mellon Focused Growth ADR_Open_volatility,WCMBNY Mellon Focused Growth ADR_Open_change,WCMBNY Mellon Focused Growth ADR_High_average,WCMBNY Mellon Focused Growth ADR_High_max,WCMBNY Mellon Focused Growth ADR_High_min,WCMBNY Mellon Focused Growth ADR_High_volatility,WCMBNY Mellon Focused Growth ADR_High_change,WCMBNY Mellon Focused Growth ADR_Low_average,WCMBNY Mellon Focused Growth ADR_Low_max,WCMBNY Mellon Focused Growth ADR_Low_min,WCMBNY Mellon Focused Growth ADR_Low_volatility,WCMBNY Mellon Focused Growth ADR_Low_change,WCMBNY Mellon Focused Growth ADR_Close_average,WCMBNY Mellon Focused Growth ADR_Close_max,WCMBNY Mellon Focused Growth ADR_Close_min,WCMBNY Mellon Focused Growth ADR_Close_volatility,WCMBNY Mellon Focused Growth ADR_Close_change
2018-01-14,62.88,62.88,62.88,0.0,0.0,63.12,63.12,63.12,0.0,0.0,62.63,62.63,62.63,0.0,0.0,63.07,63.07,63.07,0.0,0.0
2018-01-21,63.1,63.1,63.1,0.0,0.0,63.1,63.1,63.1,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.52,62.52,62.52,0.0,0.0
2018-01-28,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-02-04,57.44,57.44,57.44,0.0,0.0,58.65,58.65,58.65,0.0,0.0,57.44,57.44,57.44,0.0,0.0,58.39,58.39,58.39,0.0,0.0
2018-02-11,60.73,60.73,60.73,0.0,0.0,61.46,61.46,61.46,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2018-02-18,62.14,62.14,62.14,0.0,0.0,62.14,62.14,62.14,0.0,0.0,61.25,61.25,61.25,0.0,0.0,61.73,61.73,61.73,0.0,0.0
2018-02-25,59.14,59.14,59.14,0.0,0.0,59.71,59.71,59.71,0.0,0.0,58.83,58.83,58.83,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2018-03-04,61.81,61.81,61.81,0.0,0.0,62.39,62.39,62.39,0.0,0.0,61.81,61.81,61.81,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-03-11,60.51,60.51,60.51,0.0,0.0,60.8,60.8,60.8,0.0,0.0,59.72,59.72,59.72,0.0,0.0,60.27,60.27,60.27,0.0,0.0
2018-03-18,59.32,59.32,59.32,0.0,0.0,59.36,59.36,59.36,0.0,0.0,58.27,58.27,58.27,0.0,0.0,59.36,59.36,59.36,0.0,0.0
2018-03-25,58.96,58.96,58.96,0.0,0.0,58.96,58.96,58.96,0.0,0.0,57.12,57.12,57.12,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2018-04-01,58.18,58.18,58.18,0.0,0.0,58.62,58.62,58.62,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.92,57.92,57.92,0.0,0.0
