Date,Guggenheim Invest S&P 500 Equal Weight Energy_Open_average,Guggenheim Invest S&P 500 Equal Weight Energy_Open_max,Guggenheim Invest S&P 500 Equal Weight Energy_Open_min,Guggenheim Invest S&P 500 Equal Weight Energy_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Energy_Open_change,Guggenheim Invest S&P 500 Equal Weight Energy_High_average,Guggenheim Invest S&P 500 Equal Weight Energy_High_max,Guggenheim Invest S&P 500 Equal Weight Energy_High_min,Guggenheim Invest S&P 500 Equal Weight Energy_High_volatility,Guggenheim Invest S&P 500 Equal Weight Energy_High_change,Guggenheim Invest S&P 500 Equal Weight Energy_Low_average,Guggenheim Invest S&P 500 Equal Weight Energy_Low_max,Guggenheim Invest S&P 500 Equal Weight Energy_Low_min,Guggenheim Invest S&P 500 Equal Weight Energy_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Energy_Low_change,Guggenheim Invest S&P 500 Equal Weight Energy_Close_average,Guggenheim Invest S&P 500 Equal Weight Energy_Close_max,Guggenheim Invest S&P 500 Equal Weight Energy_Close_min,Guggenheim Invest S&P 500 Equal Weight Energy_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Energy_Close_change
2018-01-14,61.55,61.55,61.55,0.0,0.0,63.05,63.05,63.05,0.0,0.0,61.55,61.55,61.55,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2018-01-21,62.19,62.19,62.19,0.0,0.0,62.19,62.19,62.19,0.0,0.0,61.17,61.17,61.17,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2018-01-28,57.0,57.0,57.0,0.0,0.0,57.83,57.83,57.83,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2018-02-04,53.27,53.27,53.27,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-02-11,54.18,54.18,54.18,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-02-18,55.01,55.01,55.01,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.75,54.75,54.75,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-02-25,53.2,53.2,53.2,0.0,0.0,54.54,54.54,54.54,0.0,0.0,53.2,53.2,53.2,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-03-04,55.18,55.18,55.18,0.0,0.0,55.28,55.28,55.28,0.0,0.0,54.69,54.69,54.69,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2018-03-11,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0,52.87,52.87,52.87,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2018-03-18,54.52,54.52,54.52,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.11,54.11,54.11,0.0,0.0,55.15,55.15,55.15,0.0,0.0
