Date,Vanguard Mid-Cap Growth_Open_average,Vanguard Mid-Cap Growth_Open_max,Vanguard Mid-Cap Growth_Open_min,Vanguard Mid-Cap Growth_Open_volatility,Vanguard Mid-Cap Growth_Open_change,Vanguard Mid-Cap Growth_High_average,Vanguard Mid-Cap Growth_High_max,Vanguard Mid-Cap Growth_High_min,Vanguard Mid-Cap Growth_High_volatility,Vanguard Mid-Cap Growth_High_change,Vanguard Mid-Cap Growth_Low_average,Vanguard Mid-Cap Growth_Low_max,Vanguard Mid-Cap Growth_Low_min,Vanguard Mid-Cap Growth_Low_volatility,Vanguard Mid-Cap Growth_Low_change,Vanguard Mid-Cap Growth_Close_average,Vanguard Mid-Cap Growth_Close_max,Vanguard Mid-Cap Growth_Close_min,Vanguard Mid-Cap Growth_Close_volatility,Vanguard Mid-Cap Growth_Close_change
2018-01-14,133.55,133.55,133.55,0.0,0.0,134.28,134.28,134.28,0.0,0.0,133.26,133.26,133.26,0.0,0.0,134.28,134.28,134.28,0.0,0.0
2018-01-21,135.86,135.86,135.86,0.0,0.0,136.05,136.05,136.05,0.0,0.0,134.8,134.8,134.8,0.0,0.0,134.97,134.97,134.97,0.0,0.0
2018-01-28,130.24,130.24,130.24,0.0,0.0,131.8,131.8,131.8,0.0,0.0,126.53,126.53,126.53,0.0,0.0,126.54,126.54,126.54,0.0,0.0
2018-02-04,125.5,125.5,125.5,0.0,0.0,127.25,127.25,127.25,0.0,0.0,124.81,124.81,124.81,0.0,0.0,126.61,126.61,126.61,0.0,0.0
2018-02-11,130.35,130.35,130.35,0.0,0.0,131.5,131.5,131.5,0.0,0.0,130.29,130.29,130.29,0.0,0.0,130.64,130.64,130.64,0.0,0.0
2018-02-18,131.73,131.73,131.73,0.0,0.0,132.03,132.03,132.03,0.0,0.0,130.98,130.98,130.98,0.0,0.0,131.99,131.99,131.99,0.0,0.0
2018-02-25,129.15,129.15,129.15,0.0,0.0,131.62,131.62,131.62,0.0,0.0,129.09,129.09,129.09,0.0,0.0,131.32,131.32,131.32,0.0,0.0
2018-03-04,135.9,135.9,135.9,0.0,0.0,136.1,136.1,136.1,0.0,0.0,135.45,135.45,135.45,0.0,0.0,135.8,135.8,135.8,0.0,0.0
2018-03-11,134.09,134.09,134.09,0.0,0.0,134.38,134.38,134.38,0.0,0.0,132.4,132.4,132.4,0.0,0.0,133.36,133.36,133.36,0.0,0.0
2018-03-18,129.86,129.86,129.86,0.0,0.0,131.16,131.16,131.16,0.0,0.0,128.52,128.52,128.52,0.0,0.0,131.03,131.03,131.03,0.0,0.0
2018-03-25,129.03,129.03,129.03,0.0,0.0,129.26,129.26,129.26,0.0,0.0,125.23,125.23,125.23,0.0,0.0,126.4,126.4,126.4,0.0,0.0
2018-04-01,127.51,127.51,127.51,0.0,0.0,128.82,128.82,128.82,0.0,0.0,126.98,126.98,126.98,0.0,0.0,127.05,127.05,127.05,0.0,0.0
2018-04-08,129.75,129.75,129.75,0.0,0.0,130.54,130.54,130.54,0.0,0.0,129.48,129.48,129.48,0.0,0.0,130.11,130.11,130.11,0.0,0.0
2018-04-15,130.55,130.55,130.55,0.0,0.0,130.96,130.96,130.96,0.0,0.0,129.41,129.41,129.41,0.0,0.0,129.99,129.99,129.99,0.0,0.0
2018-04-22,129.56,129.56,129.56,0.0,0.0,129.92,129.92,129.92,0.0,0.0,128.52,128.52,128.52,0.0,0.0,128.52,128.52,128.52,0.0,0.0
2018-04-29,130.48,130.48,130.48,0.0,0.0,131.3,131.3,131.3,0.0,0.0,130.48,130.48,130.48,0.0,0.0,130.9,130.9,130.9,0.0,0.0
2018-05-06,134.25,134.25,134.25,0.0,0.0,134.63,134.63,134.63,0.0,0.0,133.29,133.29,133.29,0.0,0.0,133.54,133.54,133.54,0.0,0.0
2018-05-13,134.19,134.19,134.19,0.0,0.0,134.76,134.76,134.76,0.0,0.0,133.98,133.98,133.98,0.0,0.0,134.42,134.42,134.42,0.0,0.0
2018-05-20,133.67,133.67,133.67,0.0,0.0,134.12,134.12,134.12,0.0,0.0,133.51,133.51,133.51,0.0,0.0,133.74,133.74,133.74,0.0,0.0
2018-05-27,135.25,135.25,135.25,0.0,0.0,135.71,135.71,135.71,0.0,0.0,134.84,134.84,134.84,0.0,0.0,135.7,135.7,135.7,0.0,0.0
2018-06-03,137.42,137.42,137.42,0.0,0.0,137.77,137.77,137.77,0.0,0.0,137.31,137.31,137.31,0.0,0.0,137.53,137.53,137.53,0.0,0.0
2018-06-10,138.22,138.22,138.22,0.0,0.0,139.38,139.38,139.38,0.0,0.0,138.02,138.02,138.02,0.0,0.0,139.32,139.32,139.32,0.0,0.0
2018-06-17,136.68,136.68,136.68,0.0,0.0,136.68,136.68,136.68,0.0,0.0,134.04,134.04,134.04,0.0,0.0,134.68,134.68,134.68,0.0,0.0
2018-06-24,133.42,133.42,133.42,0.0,0.0,134.64,134.64,134.64,0.0,0.0,133.19,133.19,133.19,0.0,0.0,134.59,134.59,134.59,0.0,0.0
2018-07-01,137.74,137.74,137.74,0.0,0.0,138.03,138.03,138.03,0.0,0.0,137.15,137.15,137.15,0.0,0.0,138.03,138.03,138.03,0.0,0.0
2018-07-08,139.19,139.19,139.19,0.0,0.0,139.31,139.31,139.31,0.0,0.0,138.17,138.17,138.17,0.0,0.0,138.4,138.4,138.4,0.0,0.0
2018-07-15,139.15,139.15,139.15,0.0,0.0,139.38,139.38,139.38,0.0,0.0,138.62,138.62,138.62,0.0,0.0,139.32,139.32,139.32,0.0,0.0
2018-07-22,137.79,137.79,137.79,0.0,0.0,137.89,137.89,137.89,0.0,0.0,135.72,135.72,135.72,0.0,0.0,135.89,135.89,135.89,0.0,0.0
2018-07-29,137.9,137.9,137.9,0.0,0.0,138.72,138.72,138.72,0.0,0.0,137.84,137.84,137.84,0.0,0.0,138.68,138.68,138.68,0.0,0.0
2018-08-05,138.67,138.67,138.67,0.0,0.0,139.19,139.19,139.19,0.0,0.0,137.77,137.77,137.77,0.0,0.0,137.96,137.96,137.96,0.0,0.0
2018-08-12,139.4,139.4,139.4,0.0,0.0,139.79,139.79,139.79,0.0,0.0,138.97,138.97,138.97,0.0,0.0,139.59,139.59,139.59,0.0,0.0
2018-08-19,142.33,142.33,142.33,0.0,0.0,142.87,142.87,142.87,0.0,0.0,142.3,142.3,142.3,0.0,0.0,142.61,142.61,142.61,0.0,0.0
2018-08-26,142.67,142.67,142.67,0.0,0.0,143.24,143.24,143.24,0.0,0.0,142.67,142.67,142.67,0.0,0.0,143.21,143.21,143.21,0.0,0.0
2018-09-02,142.18,142.18,142.18,0.0,0.0,142.55,142.55,142.55,0.0,0.0,141.84,141.84,141.84,0.0,0.0,142.33,142.33,142.33,0.0,0.0
2018-09-09,143.66,143.66,143.66,0.0,0.0,143.66,143.66,143.66,0.0,0.0,141.91,141.91,141.91,0.0,0.0,142.05,142.05,142.05,0.0,0.0
2018-09-16,142.45,142.45,142.45,0.0,0.0,142.69,142.69,142.69,0.0,0.0,141.95,141.95,141.95,0.0,0.0,142.58,142.58,142.58,0.0,0.0
2018-09-23,143.12,143.12,143.12,0.0,0.0,143.16,143.16,143.16,0.0,0.0,141.78,141.78,141.78,0.0,0.0,142.06,142.06,142.06,0.0,0.0
2018-09-30,137.67,137.67,137.67,0.0,0.0,137.73,137.73,137.73,0.0,0.0,135.61,135.61,135.61,0.0,0.0,136.72,136.72,136.72,0.0,0.0
2018-10-07,130.98,130.98,130.98,0.0,0.0,131.83,131.83,131.83,0.0,0.0,130.25,130.25,130.25,0.0,0.0,130.75,130.75,130.75,0.0,0.0
2018-10-14,130.67,130.67,130.67,0.0,0.0,130.88,130.88,130.88,0.0,0.0,129.37,129.37,129.37,0.0,0.0,130.16,130.16,130.16,0.0,0.0
2018-10-21,126.8,126.8,126.8,0.0,0.0,127.19,127.19,127.19,0.0,0.0,122.11,122.11,122.11,0.0,0.0,123.8,123.8,123.8,0.0,0.0
2018-10-28,130.48,130.48,130.48,0.0,0.0,130.89,130.89,130.89,0.0,0.0,129.4,129.4,129.4,0.0,0.0,130.5,130.5,130.5,0.0,0.0
