Date,iShares US Industrials_Open_average,iShares US Industrials_Open_max,iShares US Industrials_Open_min,iShares US Industrials_Open_volatility,iShares US Industrials_Open_change,iShares US Industrials_High_average,iShares US Industrials_High_max,iShares US Industrials_High_min,iShares US Industrials_High_volatility,iShares US Industrials_High_change,iShares US Industrials_Low_average,iShares US Industrials_Low_max,iShares US Industrials_Low_min,iShares US Industrials_Low_volatility,iShares US Industrials_Low_change,iShares US Industrials_Close_average,iShares US Industrials_Close_max,iShares US Industrials_Close_min,iShares US Industrials_Close_volatility,iShares US Industrials_Close_change
2018-01-14,155.01,155.01,155.01,0.0,0.0,155.57,155.57,155.57,0.0,0.0,154.62,154.62,154.62,0.0,0.0,155.55,155.55,155.55,0.0,0.0
2018-01-21,157.97,157.97,157.97,0.0,0.0,158.32,158.32,158.32,0.0,0.0,156.82,156.82,156.82,0.0,0.0,156.89,156.89,156.89,0.0,0.0
2018-01-28,150.3,150.3,150.3,0.0,0.0,152.38,152.38,152.38,0.0,0.0,144.98,144.98,144.98,0.0,0.0,145.15,145.15,145.15,0.0,0.0
2018-02-04,146.08,146.08,146.08,0.0,0.0,147.05,147.05,147.05,0.0,0.0,144.39,144.39,144.39,0.0,0.0,145.98,145.98,145.98,0.0,0.0
2018-02-11,150.32,150.32,150.32,0.0,0.0,152.01,152.01,152.01,0.0,0.0,150.08,150.08,150.08,0.0,0.0,150.78,150.78,150.78,0.0,0.0
2018-02-18,151.77,151.77,151.77,0.0,0.0,153.1,153.1,153.1,0.0,0.0,151.24,151.24,151.24,0.0,0.0,152.97,152.97,152.97,0.0,0.0
2018-02-25,146.1,146.1,146.1,0.0,0.0,148.77,148.77,148.77,0.0,0.0,145.83,145.83,145.83,0.0,0.0,148.49,148.49,148.49,0.0,0.0
2018-03-04,153.07,153.07,153.07,0.0,0.0,153.07,153.07,153.07,0.0,0.0,151.37,151.37,151.37,0.0,0.0,151.57,151.57,151.57,0.0,0.0
2018-03-11,150.19,150.19,150.19,0.0,0.0,150.19,150.19,150.19,0.0,0.0,147.91,147.91,147.91,0.0,0.0,149.07,149.07,149.07,0.0,0.0
2018-03-18,144.96,144.96,144.96,0.0,0.0,145.86,145.86,145.86,0.0,0.0,143.0,143.0,143.0,0.0,0.0,145.66,145.66,145.66,0.0,0.0
2018-03-25,144.42,144.42,144.42,0.0,0.0,144.85,144.85,144.85,0.0,0.0,140.41,140.41,140.41,0.0,0.0,141.88,141.88,141.88,0.0,0.0
2018-04-01,143.32,143.32,143.32,0.0,0.0,143.83,143.83,143.83,0.0,0.0,141.82,141.82,141.82,0.0,0.0,141.89,141.89,141.89,0.0,0.0
2018-04-08,145.29,145.29,145.29,0.0,0.0,146.59,146.59,146.59,0.0,0.0,145.29,145.29,145.29,0.0,0.0,146.28,146.28,146.28,0.0,0.0
2018-04-15,147.8,147.8,147.8,0.0,0.0,148.09,148.09,148.09,0.0,0.0,146.87,146.87,146.87,0.0,0.0,147.3,147.3,147.3,0.0,0.0
2018-04-22,143.61,143.61,143.61,0.0,0.0,143.7,143.7,143.7,0.0,0.0,141.55,141.55,141.55,0.0,0.0,141.55,141.55,141.55,0.0,0.0
2018-04-29,142.67,142.67,142.67,0.0,0.0,143.87,143.87,143.87,0.0,0.0,142.67,142.67,142.67,0.0,0.0,143.4,143.4,143.4,0.0,0.0
2018-05-06,147.24,147.24,147.24,0.0,0.0,147.76,147.76,147.76,0.0,0.0,146.62,146.62,146.62,0.0,0.0,146.9,146.9,146.9,0.0,0.0
2018-05-13,149.2,149.2,149.2,0.0,0.0,150.45,150.45,150.45,0.0,0.0,149.2,149.2,149.2,0.0,0.0,150.09,150.09,150.09,0.0,0.0
2018-05-20,148.44,148.44,148.44,0.0,0.0,148.79,148.79,148.79,0.0,0.0,148.05,148.05,148.05,0.0,0.0,148.51,148.51,148.51,0.0,0.0
2018-05-27,149.04,149.04,149.04,0.0,0.0,149.13,149.13,149.13,0.0,0.0,148.44,148.44,148.44,0.0,0.0,148.59,148.59,148.59,0.0,0.0
2018-06-03,151.22,151.22,151.22,0.0,0.0,151.82,151.82,151.82,0.0,0.0,151.22,151.22,151.22,0.0,0.0,151.44,151.44,151.44,0.0,0.0
2018-06-10,148.99,148.99,148.99,0.0,0.0,149.84,149.84,149.84,0.0,0.0,148.68,148.68,148.68,0.0,0.0,149.84,149.84,149.84,0.0,0.0
2018-06-17,145.19,145.19,145.19,0.0,0.0,145.42,145.42,145.42,0.0,0.0,143.25,143.25,143.25,0.0,0.0,144.04,144.04,144.04,0.0,0.0
2018-06-24,142.82,142.82,142.82,0.0,0.0,143.94,143.94,143.94,0.0,0.0,142.25,142.25,142.25,0.0,0.0,143.86,143.86,143.86,0.0,0.0
2018-07-01,145.64,145.64,145.64,0.0,0.0,147.38,147.38,147.38,0.0,0.0,145.64,145.64,145.64,0.0,0.0,147.38,147.38,147.38,0.0,0.0
2018-07-08,148.52,148.52,148.52,0.0,0.0,148.52,148.52,148.52,0.0,0.0,147.01,147.01,147.01,0.0,0.0,147.17,147.17,147.17,0.0,0.0
2018-07-15,148.81,148.81,148.81,0.0,0.0,148.81,148.81,148.81,0.0,0.0,148.03,148.03,148.03,0.0,0.0,148.19,148.19,148.19,0.0,0.0
2018-07-22,150.7,150.7,150.7,0.0,0.0,151.21,151.21,151.21,0.0,0.0,148.96,148.96,148.96,0.0,0.0,149.0,149.0,149.0,0.0,0.0
2018-07-29,150.46,150.46,150.46,0.0,0.0,151.08,151.08,151.08,0.0,0.0,150.4,150.4,150.4,0.0,0.0,151.06,151.06,151.06,0.0,0.0
2018-08-05,150.01,150.01,150.01,0.0,0.0,150.52,150.52,150.52,0.0,0.0,149.07,149.07,149.07,0.0,0.0,149.29,149.29,149.29,0.0,0.0
2018-08-12,152.28,152.28,152.28,0.0,0.0,152.97,152.97,152.97,0.0,0.0,152.17,152.17,152.17,0.0,0.0,152.54,152.54,152.54,0.0,0.0
2018-08-19,153.51,153.51,153.51,0.0,0.0,154.86,154.86,154.86,0.0,0.0,153.51,153.51,153.51,0.0,0.0,154.7,154.7,154.7,0.0,0.0
2018-08-26,153.54,153.54,153.54,0.0,0.0,154.42,154.42,154.42,0.0,0.0,153.3,153.3,153.3,0.0,0.0,154.26,154.26,154.26,0.0,0.0
2018-09-02,155.49,155.49,155.49,0.0,0.0,155.91,155.91,155.91,0.0,0.0,155.49,155.49,155.49,0.0,0.0,155.56,155.56,155.56,0.0,0.0
2018-09-09,157.31,157.31,157.31,0.0,0.0,157.87,157.87,157.87,0.0,0.0,156.83,156.83,156.83,0.0,0.0,157.21,157.21,157.21,0.0,0.0
2018-09-16,158.94,158.94,158.94,0.0,0.0,158.94,158.94,158.94,0.0,0.0,157.22,157.22,157.22,0.0,0.0,157.47,157.47,157.47,0.0,0.0
2018-09-23,157.72,157.72,157.72,0.0,0.0,158.44,158.44,158.44,0.0,0.0,156.67,156.67,156.67,0.0,0.0,157.15,157.15,157.15,0.0,0.0
2018-09-30,155.44,155.44,155.44,0.0,0.0,155.53,155.53,155.53,0.0,0.0,153.91,153.91,153.91,0.0,0.0,155.41,155.41,155.41,0.0,0.0
2018-10-07,145.25,145.25,145.25,0.0,0.0,146.47,146.47,146.47,0.0,0.0,145.21,145.21,145.21,0.0,0.0,145.52,145.52,145.52,0.0,0.0
2018-10-14,144.85,144.85,144.85,0.0,0.0,144.85,144.85,144.85,0.0,0.0,143.41,143.41,143.41,0.0,0.0,144.07,144.07,144.07,0.0,0.0
2018-10-21,138.97,138.97,138.97,0.0,0.0,139.45,139.45,139.45,0.0,0.0,133.17,133.17,133.17,0.0,0.0,134.99,134.99,134.99,0.0,0.0
2018-10-28,141.52,141.52,141.52,0.0,0.0,142.42,142.42,142.42,0.0,0.0,140.96,140.96,140.96,0.0,0.0,141.91,141.91,141.91,0.0,0.0
2018-11-04,143.7,143.7,143.7,0.0,0.0,143.7,143.7,143.7,0.0,0.0,140.78,140.78,140.78,0.0,0.0,140.95,140.95,140.95,0.0,0.0
2018-11-11,142.84,142.84,142.84,0.0,0.0,142.84,142.84,142.84,0.0,0.0,139.7,139.7,139.7,0.0,0.0,140.07,140.07,140.07,0.0,0.0
2018-11-18,139.14,139.14,139.14,0.0,0.0,139.9,139.9,139.9,0.0,0.0,138.46,138.46,138.46,0.0,0.0,139.58,139.58,139.58,0.0,0.0
2018-11-25,146.25,146.25,146.25,0.0,0.0,147.07,147.07,147.07,0.0,0.0,144.64,144.64,144.64,0.0,0.0,145.49,145.49,145.49,0.0,0.0
2018-12-02,135.15,135.15,135.15,0.0,0.0,135.98,135.98,135.98,0.0,0.0,132.89,132.89,132.89,0.0,0.0,135.6,135.6,135.6,0.0,0.0
2018-12-09,132.36,132.36,132.36,0.0,0.0,133.75,133.75,133.75,0.0,0.0,129.6,129.6,129.6,0.0,0.0,130.37,130.37,130.37,0.0,0.0
2018-12-16,121.71,121.71,121.71,0.0,0.0,123.72,123.72,123.72,0.0,0.0,120.07,120.07,120.07,0.0,0.0,120.07,120.07,120.07,0.0,0.0
