Date,iShares US Home Construction_Open_average,iShares US Home Construction_Open_max,iShares US Home Construction_Open_min,iShares US Home Construction_Open_volatility,iShares US Home Construction_Open_change,iShares US Home Construction_High_average,iShares US Home Construction_High_max,iShares US Home Construction_High_min,iShares US Home Construction_High_volatility,iShares US Home Construction_High_change,iShares US Home Construction_Low_average,iShares US Home Construction_Low_max,iShares US Home Construction_Low_min,iShares US Home Construction_Low_volatility,iShares US Home Construction_Low_change,iShares US Home Construction_Close_average,iShares US Home Construction_Close_max,iShares US Home Construction_Close_min,iShares US Home Construction_Close_volatility,iShares US Home Construction_Close_change
2018-01-14,45.8,45.8,45.8,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.62,45.62,45.62,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2018-01-21,45.02,45.02,45.02,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-01-28,42.0,42.0,42.0,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2018-02-04,39.5,39.5,39.5,0.0,0.0,39.92,39.92,39.92,0.0,0.0,38.58,38.58,38.58,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-02-11,40.95,40.95,40.95,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.52,40.52,40.52,0.0,0.0,41.27,41.27,41.27,0.0,0.0
2018-02-18,40.55,40.55,40.55,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-02-25,37.92,37.92,37.92,0.0,0.0,38.68,38.68,38.68,0.0,0.0,37.87,37.87,37.87,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-03-04,39.55,39.55,39.55,0.0,0.0,40.21,40.21,40.21,0.0,0.0,39.35,39.35,39.35,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-03-11,39.43,39.43,39.43,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-03-18,39.59,39.59,39.59,0.0,0.0,40.07,40.07,40.07,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2018-03-25,39.05,39.05,39.05,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-04-01,40.79,40.79,40.79,0.0,0.0,41.25,41.25,41.25,0.0,0.0,39.69,39.69,39.69,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-04-08,39.15,39.15,39.15,0.0,0.0,39.4,39.4,39.4,0.0,0.0,38.78,38.78,38.78,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-04-15,38.85,38.85,38.85,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2018-04-22,39.14,39.14,39.14,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.07,39.07,39.07,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-04-29,38.57,38.57,38.57,0.0,0.0,39.35,39.35,39.35,0.0,0.0,38.39,38.39,38.39,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-05-06,38.61,38.61,38.61,0.0,0.0,39.27,39.27,39.27,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.97,38.97,38.97,0.0,0.0
