Date,iShares Edge MSCI Min Vol EAFE_etf_Open_average,iShares Edge MSCI Min Vol EAFE_etf_Open_max,iShares Edge MSCI Min Vol EAFE_etf_Open_min,iShares Edge MSCI Min Vol EAFE_etf_Open_volatility,iShares Edge MSCI Min Vol EAFE_etf_Open_change,iShares Edge MSCI Min Vol EAFE_etf_High_average,iShares Edge MSCI Min Vol EAFE_etf_High_max,iShares Edge MSCI Min Vol EAFE_etf_High_min,iShares Edge MSCI Min Vol EAFE_etf_High_volatility,iShares Edge MSCI Min Vol EAFE_etf_High_change,iShares Edge MSCI Min Vol EAFE_etf_Low_average,iShares Edge MSCI Min Vol EAFE_etf_Low_max,iShares Edge MSCI Min Vol EAFE_etf_Low_min,iShares Edge MSCI Min Vol EAFE_etf_Low_volatility,iShares Edge MSCI Min Vol EAFE_etf_Low_change,iShares Edge MSCI Min Vol EAFE_etf_Close_average,iShares Edge MSCI Min Vol EAFE_etf_Close_max,iShares Edge MSCI Min Vol EAFE_etf_Close_min,iShares Edge MSCI Min Vol EAFE_etf_Close_volatility,iShares Edge MSCI Min Vol EAFE_etf_Close_change
2018-01-14,75.02,75.02,75.02,0.0,0.0,75.02,75.02,75.02,0.0,0.0,74.82,74.82,74.82,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-01-21,76.29,76.29,76.29,0.0,0.0,76.51,76.51,76.51,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.47,76.47,76.47,0.0,0.0
2018-01-28,74.9,74.9,74.9,0.0,0.0,74.9,74.9,74.9,0.0,0.0,74.36,74.36,74.36,0.0,0.0,74.41,74.41,74.41,0.0,0.0
2018-02-04,71.08,71.08,71.08,0.0,0.0,71.38,71.38,71.38,0.0,0.0,69.78,69.78,69.78,0.0,0.0,71.12,71.12,71.12,0.0,0.0
2018-02-11,73.86,73.86,73.86,0.0,0.0,74.26,74.26,74.26,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.02,74.02,74.02,0.0,0.0
2018-02-18,73.77,73.77,73.77,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.71,73.71,73.71,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-02-25,72.23,72.23,72.23,0.0,0.0,72.67,72.67,72.67,0.0,0.0,71.99,71.99,71.99,0.0,0.0,72.66,72.66,72.66,0.0,0.0
2018-03-04,73.86,73.86,73.86,0.0,0.0,74.18,74.18,74.18,0.0,0.0,73.74,73.74,73.74,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-03-11,74.1,74.1,74.1,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-03-18,72.96,72.96,72.96,0.0,0.0,73.03,73.03,73.03,0.0,0.0,72.16,72.16,72.16,0.0,0.0,72.18,72.18,72.18,0.0,0.0
2018-03-25,73.67,73.67,73.67,0.0,0.0,73.98,73.98,73.98,0.0,0.0,73.43,73.43,73.43,0.0,0.0,73.69,73.69,73.69,0.0,0.0
