Date,SPDR S&P Kensho Intelligent Structures_Open_average,SPDR S&P Kensho Intelligent Structures_Open_max,SPDR S&P Kensho Intelligent Structures_Open_min,SPDR S&P Kensho Intelligent Structures_Open_volatility,SPDR S&P Kensho Intelligent Structures_Open_change,SPDR S&P Kensho Intelligent Structures_High_average,SPDR S&P Kensho Intelligent Structures_High_max,SPDR S&P Kensho Intelligent Structures_High_min,SPDR S&P Kensho Intelligent Structures_High_volatility,SPDR S&P Kensho Intelligent Structures_High_change,SPDR S&P Kensho Intelligent Structures_Low_average,SPDR S&P Kensho Intelligent Structures_Low_max,SPDR S&P Kensho Intelligent Structures_Low_min,SPDR S&P Kensho Intelligent Structures_Low_volatility,SPDR S&P Kensho Intelligent Structures_Low_change,SPDR S&P Kensho Intelligent Structures_Close_average,SPDR S&P Kensho Intelligent Structures_Close_max,SPDR S&P Kensho Intelligent Structures_Close_min,SPDR S&P Kensho Intelligent Structures_Close_volatility,SPDR S&P Kensho Intelligent Structures_Close_change
2018-01-14,31.21,31.21,31.21,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-01-21,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-01-28,30.61,30.61,30.61,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-02-04,29.2,29.2,29.2,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2018-02-11,30.26,30.26,30.26,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-02-18,30.47,30.47,30.47,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-02-25,29.75,29.75,29.75,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-03-04,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-03-11,30.2,30.2,30.2,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-03-18,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0
