Date,SPDR S&P Capital Markets_Open_average,SPDR S&P Capital Markets_Open_max,SPDR S&P Capital Markets_Open_min,SPDR S&P Capital Markets_Open_volatility,SPDR S&P Capital Markets_Open_change,SPDR S&P Capital Markets_High_average,SPDR S&P Capital Markets_High_max,SPDR S&P Capital Markets_High_min,SPDR S&P Capital Markets_High_volatility,SPDR S&P Capital Markets_High_change,SPDR S&P Capital Markets_Low_average,SPDR S&P Capital Markets_Low_max,SPDR S&P Capital Markets_Low_min,SPDR S&P Capital Markets_Low_volatility,SPDR S&P Capital Markets_Low_change,SPDR S&P Capital Markets_Close_average,SPDR S&P Capital Markets_Close_max,SPDR S&P Capital Markets_Close_min,SPDR S&P Capital Markets_Close_volatility,SPDR S&P Capital Markets_Close_change
2018-01-14,60.4,60.4,60.4,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.4,60.4,60.4,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-01-21,61.08,61.08,61.08,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.01,61.01,61.01,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-01-28,60.43,60.43,60.43,0.0,0.0,60.76,60.76,60.76,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2018-02-04,56.75,56.75,56.75,0.0,0.0,56.75,56.75,56.75,0.0,0.0,55.01,55.01,55.01,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2018-02-11,59.14,59.14,59.14,0.0,0.0,59.6,59.6,59.6,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2018-02-18,58.98,58.98,58.98,0.0,0.0,59.69,59.69,59.69,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2018-02-25,58.24,58.24,58.24,0.0,0.0,58.96,58.96,58.96,0.0,0.0,57.77,57.77,57.77,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-03-04,61.67,61.67,61.67,0.0,0.0,62.44,62.44,62.44,0.0,0.0,61.67,61.67,61.67,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-03-11,61.1,61.1,61.1,0.0,0.0,61.19,61.19,61.19,0.0,0.0,60.86,60.86,60.86,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2018-03-18,58.63,58.63,58.63,0.0,0.0,58.63,58.63,58.63,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-03-25,57.73,57.73,57.73,0.0,0.0,58.32,58.32,58.32,0.0,0.0,57.73,57.73,57.73,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2018-04-01,58.36,58.36,58.36,0.0,0.0,58.36,58.36,58.36,0.0,0.0,56.97,56.97,56.97,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2018-04-08,59.0,59.0,59.0,0.0,0.0,59.0,59.0,59.0,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.76,57.76,57.76,0.0,0.0
