Date,iShares MSCI KLD 400 Social_Open_average,iShares MSCI KLD 400 Social_Open_max,iShares MSCI KLD 400 Social_Open_min,iShares MSCI KLD 400 Social_Open_volatility,iShares MSCI KLD 400 Social_Open_change,iShares MSCI KLD 400 Social_High_average,iShares MSCI KLD 400 Social_High_max,iShares MSCI KLD 400 Social_High_min,iShares MSCI KLD 400 Social_High_volatility,iShares MSCI KLD 400 Social_High_change,iShares MSCI KLD 400 Social_Low_average,iShares MSCI KLD 400 Social_Low_max,iShares MSCI KLD 400 Social_Low_min,iShares MSCI KLD 400 Social_Low_volatility,iShares MSCI KLD 400 Social_Low_change,iShares MSCI KLD 400 Social_Close_average,iShares MSCI KLD 400 Social_Close_max,iShares MSCI KLD 400 Social_Close_min,iShares MSCI KLD 400 Social_Close_volatility,iShares MSCI KLD 400 Social_Close_change
2018-01-14,103.38,103.38,103.38,0.0,0.0,104.34,104.34,104.34,0.0,0.0,103.38,103.38,103.38,0.0,0.0,104.31,104.31,104.31,0.0,0.0
2018-01-21,105.95,105.95,105.95,0.0,0.0,106.16,106.16,106.16,0.0,0.0,105.33,105.33,105.33,0.0,0.0,105.33,105.33,105.33,0.0,0.0
2018-01-28,101.23,101.23,101.23,0.0,0.0,102.05,102.05,102.05,0.0,0.0,97.78,97.78,97.78,0.0,0.0,97.84,97.84,97.84,0.0,0.0
2018-02-04,97.41,97.41,97.41,0.0,0.0,98.34,98.34,98.34,0.0,0.0,96.93,96.93,96.93,0.0,0.0,97.88,97.88,97.88,0.0,0.0
2018-02-11,100.48,100.48,100.48,0.0,0.0,101.61,101.61,101.61,0.0,0.0,100.48,100.48,100.48,0.0,0.0,100.75,100.75,100.75,0.0,0.0
2018-02-18,101.97,101.97,101.97,0.0,0.0,102.71,102.71,102.71,0.0,0.0,101.8,101.8,101.8,0.0,0.0,102.69,102.69,102.69,0.0,0.0
2018-02-25,98.99,98.99,98.99,0.0,0.0,100.78,100.78,100.78,0.0,0.0,98.94,98.94,98.94,0.0,0.0,100.49,100.49,100.49,0.0,0.0
2018-03-04,103.67,103.67,103.67,0.0,0.0,103.87,103.87,103.87,0.0,0.0,103.29,103.29,103.29,0.0,0.0,103.44,103.44,103.44,0.0,0.0
2018-03-11,101.96,101.96,101.96,0.0,0.0,101.96,101.96,101.96,0.0,0.0,100.11,100.11,100.11,0.0,0.0,100.74,100.74,100.74,0.0,0.0
2018-03-18,97.3,97.3,97.3,0.0,0.0,98.48,98.48,98.48,0.0,0.0,96.17,96.17,96.17,0.0,0.0,98.41,98.41,98.41,0.0,0.0
2018-03-25,97.38,97.38,97.38,0.0,0.0,97.55,97.55,97.55,0.0,0.0,94.36,94.36,94.36,0.0,0.0,95.32,95.32,95.32,0.0,0.0
2018-04-01,96.6,96.6,96.6,0.0,0.0,97.89,97.89,97.89,0.0,0.0,96.31,96.31,96.31,0.0,0.0,96.34,96.34,96.34,0.0,0.0
2018-04-08,99.08,99.08,99.08,0.0,0.0,99.4,99.4,99.4,0.0,0.0,98.73,98.73,98.73,0.0,0.0,99.14,99.14,99.14,0.0,0.0
2018-04-15,99.23,99.23,99.23,0.0,0.0,99.59,99.59,99.59,0.0,0.0,98.61,98.61,98.61,0.0,0.0,99.04,99.04,99.04,0.0,0.0
2018-04-22,99.3,99.3,99.3,0.0,0.0,99.52,99.52,99.52,0.0,0.0,98.25,98.25,98.25,0.0,0.0,98.25,98.25,98.25,0.0,0.0
2018-04-29,99.09,99.09,99.09,0.0,0.0,99.48,99.48,99.48,0.0,0.0,98.87,98.87,98.87,0.0,0.0,99.13,99.13,99.13,0.0,0.0
2018-05-06,101.44,101.44,101.44,0.0,0.0,101.8,101.8,101.8,0.0,0.0,101.12,101.12,101.12,0.0,0.0,101.22,101.22,101.22,0.0,0.0
2018-05-13,101.45,101.45,101.45,0.0,0.0,101.65,101.65,101.65,0.0,0.0,101.2,101.2,101.2,0.0,0.0,101.43,101.43,101.43,0.0,0.0
2018-05-20,101.16,101.16,101.16,0.0,0.0,101.35,101.35,101.35,0.0,0.0,100.91,100.91,100.91,0.0,0.0,101.1,101.1,101.1,0.0,0.0
2018-05-27,102.34,102.34,102.34,0.0,0.0,102.62,102.62,102.62,0.0,0.0,102.27,102.27,102.27,0.0,0.0,102.57,102.57,102.57,0.0,0.0
2018-06-03,103.57,103.57,103.57,0.0,0.0,103.96,103.96,103.96,0.0,0.0,103.57,103.57,103.57,0.0,0.0,103.73,103.73,103.73,0.0,0.0
2018-06-10,103.22,103.22,103.22,0.0,0.0,103.83,103.83,103.83,0.0,0.0,103.06,103.06,103.06,0.0,0.0,103.79,103.79,103.79,0.0,0.0
2018-06-17,102.45,102.45,102.45,0.0,0.0,102.45,102.45,102.45,0.0,0.0,100.71,100.71,100.71,0.0,0.0,101.42,101.42,101.42,0.0,0.0
2018-06-24,100.29,100.29,100.29,0.0,0.0,101.3,101.3,101.3,0.0,0.0,100.26,100.26,100.26,0.0,0.0,101.28,101.28,101.28,0.0,0.0
2018-07-01,103.33,103.33,103.33,0.0,0.0,103.74,103.74,103.74,0.0,0.0,103.19,103.19,103.19,0.0,0.0,103.74,103.74,103.74,0.0,0.0
