Date,iShares MSCI Turkey_Open_average,iShares MSCI Turkey_Open_max,iShares MSCI Turkey_Open_min,iShares MSCI Turkey_Open_volatility,iShares MSCI Turkey_Open_change,iShares MSCI Turkey_High_average,iShares MSCI Turkey_High_max,iShares MSCI Turkey_High_min,iShares MSCI Turkey_High_volatility,iShares MSCI Turkey_High_change,iShares MSCI Turkey_Low_average,iShares MSCI Turkey_Low_max,iShares MSCI Turkey_Low_min,iShares MSCI Turkey_Low_volatility,iShares MSCI Turkey_Low_change,iShares MSCI Turkey_Close_average,iShares MSCI Turkey_Close_max,iShares MSCI Turkey_Close_min,iShares MSCI Turkey_Close_volatility,iShares MSCI Turkey_Close_change
2018-01-14,44.27,44.27,44.27,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-01-21,45.61,45.61,45.61,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-01-28,44.52,44.52,44.52,0.0,0.0,44.94,44.94,44.94,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-02-04,43.39,43.39,43.39,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2018-02-11,44.49,44.49,44.49,0.0,0.0,45.27,45.27,45.27,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2018-02-18,45.24,45.24,45.24,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2018-02-25,43.98,43.98,43.98,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.84,43.84,43.84,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-03-04,44.34,44.34,44.34,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-03-11,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-03-18,41.83,41.83,41.83,0.0,0.0,42.41,42.41,42.41,0.0,0.0,41.52,41.52,41.52,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2018-03-25,42.06,42.06,42.06,0.0,0.0,42.12,42.12,42.12,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2018-04-01,40.73,40.73,40.73,0.0,0.0,40.85,40.85,40.85,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-04-08,39.03,39.03,39.03,0.0,0.0,39.42,39.42,39.42,0.0,0.0,38.93,38.93,38.93,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-04-15,39.29,39.29,39.29,0.0,0.0,39.32,39.32,39.32,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2018-04-22,38.63,38.63,38.63,0.0,0.0,38.72,38.72,38.72,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-04-29,34.87,34.87,34.87,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2018-05-06,35.19,35.19,35.19,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-05-13,32.79,32.79,32.79,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-05-20,32.03,32.03,32.03,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-05-27,32.01,32.01,32.01,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-06-03,31.96,31.96,31.96,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-06-10,29.46,29.46,29.46,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-06-17,29.08,29.08,29.08,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.95,28.95,28.95,0.0,0.0
