Date,Powershares S&P 500 High Beta Portfolio_Open_average,Powershares S&P 500 High Beta Portfolio_Open_max,Powershares S&P 500 High Beta Portfolio_Open_min,Powershares S&P 500 High Beta Portfolio_Open_volatility,Powershares S&P 500 High Beta Portfolio_Open_change,Powershares S&P 500 High Beta Portfolio_High_average,Powershares S&P 500 High Beta Portfolio_High_max,Powershares S&P 500 High Beta Portfolio_High_min,Powershares S&P 500 High Beta Portfolio_High_volatility,Powershares S&P 500 High Beta Portfolio_High_change,Powershares S&P 500 High Beta Portfolio_Low_average,Powershares S&P 500 High Beta Portfolio_Low_max,Powershares S&P 500 High Beta Portfolio_Low_min,Powershares S&P 500 High Beta Portfolio_Low_volatility,Powershares S&P 500 High Beta Portfolio_Low_change,Powershares S&P 500 High Beta Portfolio_Close_average,Powershares S&P 500 High Beta Portfolio_Close_max,Powershares S&P 500 High Beta Portfolio_Close_min,Powershares S&P 500 High Beta Portfolio_Close_volatility,Powershares S&P 500 High Beta Portfolio_Close_change
2018-01-14,45.36,45.36,45.36,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-01-21,45.85,45.85,45.85,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2018-01-28,43.32,43.32,43.32,0.0,0.0,43.95,43.95,43.95,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-02-04,41.59,41.59,41.59,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2018-02-11,43.11,43.11,43.11,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-02-18,44.08,44.08,44.08,0.0,0.0,44.33,44.33,44.33,0.0,0.0,43.81,43.81,43.81,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-02-25,42.92,42.92,42.92,0.0,0.0,43.97,43.97,43.97,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-03-04,45.42,45.42,45.42,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-03-11,44.37,44.37,44.37,0.0,0.0,44.39,44.39,44.39,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2018-03-18,42.52,42.52,42.52,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.21,42.21,42.21,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-03-25,42.28,42.28,42.28,0.0,0.0,42.35,42.35,42.35,0.0,0.0,40.74,40.74,40.74,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2018-04-01,41.8,41.8,41.8,0.0,0.0,42.41,42.41,42.41,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.61,41.61,41.61,0.0,0.0
2018-04-08,42.86,42.86,42.86,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-04-15,43.06,43.06,43.06,0.0,0.0,43.29,43.29,43.29,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-04-22,42.53,42.53,42.53,0.0,0.0,42.61,42.61,42.61,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2018-04-29,42.58,42.58,42.58,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-05-06,43.98,43.98,43.98,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-05-13,44.62,44.62,44.62,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-05-20,44.33,44.33,44.33,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2018-05-27,44.63,44.63,44.63,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.67,44.67,44.67,0.0,0.0
2018-06-03,45.27,45.27,45.27,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-06-10,44.6,44.6,44.6,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.93,44.93,44.93,0.0,0.0
