Date,ProShares Ultra Semiconductors_etf_Open_average,ProShares Ultra Semiconductors_etf_Open_max,ProShares Ultra Semiconductors_etf_Open_min,ProShares Ultra Semiconductors_etf_Open_volatility,ProShares Ultra Semiconductors_etf_Open_change,ProShares Ultra Semiconductors_etf_High_average,ProShares Ultra Semiconductors_etf_High_max,ProShares Ultra Semiconductors_etf_High_min,ProShares Ultra Semiconductors_etf_High_volatility,ProShares Ultra Semiconductors_etf_High_change,ProShares Ultra Semiconductors_etf_Low_average,ProShares Ultra Semiconductors_etf_Low_max,ProShares Ultra Semiconductors_etf_Low_min,ProShares Ultra Semiconductors_etf_Low_volatility,ProShares Ultra Semiconductors_etf_Low_change,ProShares Ultra Semiconductors_etf_Close_average,ProShares Ultra Semiconductors_etf_Close_max,ProShares Ultra Semiconductors_etf_Close_min,ProShares Ultra Semiconductors_etf_Close_volatility,ProShares Ultra Semiconductors_etf_Close_change
2018-01-14,47.07,47.07,47.07,0.0,0.0,47.07,47.07,47.07,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-01-21,46.22,46.22,46.22,0.0,0.0,48.34,48.34,48.34,0.0,0.0,46.22,46.22,46.22,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2018-01-28,45.16,45.16,45.16,0.0,0.0,45.16,45.16,45.16,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2018-02-04,38.91,38.91,38.91,0.0,0.0,39.92,39.92,39.92,0.0,0.0,36.37,36.37,36.37,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-02-11,44.0,44.0,44.0,0.0,0.0,44.87,44.87,44.87,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2018-02-18,44.97,44.97,44.97,0.0,0.0,45.87,45.87,45.87,0.0,0.0,44.78,44.78,44.78,0.0,0.0,45.87,45.87,45.87,0.0,0.0
2018-02-25,43.78,43.78,43.78,0.0,0.0,46.86,46.86,46.86,0.0,0.0,43.67,43.67,43.67,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-03-04,49.87,49.87,49.87,0.0,0.0,51.21,51.21,51.21,0.0,0.0,49.78,49.78,49.78,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-03-11,50.83,50.83,50.83,0.0,0.0,51.22,51.22,51.22,0.0,0.0,50.78,50.78,50.78,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-03-18,47.13,47.13,47.13,0.0,0.0,47.16,47.16,47.16,0.0,0.0,44.05,44.05,44.05,0.0,0.0,44.05,44.05,44.05,0.0,0.0
2018-03-25,43.09,43.09,43.09,0.0,0.0,45.27,45.27,45.27,0.0,0.0,42.7,42.7,42.7,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-04-01,41.5,41.5,41.5,0.0,0.0,42.09,42.09,42.09,0.0,0.0,39.68,39.68,39.68,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-04-08,46.33,46.33,46.33,0.0,0.0,46.33,46.33,46.33,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2018-04-15,42.37,42.37,42.37,0.0,0.0,42.69,42.69,42.69,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-04-22,42.98,42.98,42.98,0.0,0.0,42.98,42.98,42.98,0.0,0.0,40.84,40.84,40.84,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2018-04-29,40.6,40.6,40.6,0.0,0.0,43.32,43.32,43.32,0.0,0.0,40.6,40.6,40.6,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2018-05-06,47.36,47.36,47.36,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2018-05-13,46.93,46.93,46.93,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2018-05-20,48.71,48.71,48.71,0.0,0.0,49.74,49.74,49.74,0.0,0.0,48.71,48.71,48.71,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-05-27,49.76,49.76,49.76,0.0,0.0,51.49,51.49,51.49,0.0,0.0,49.76,49.76,49.76,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-06-03,51.13,51.13,51.13,0.0,0.0,51.4,51.4,51.4,0.0,0.0,50.63,50.63,50.63,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-06-10,51.0,51.0,51.0,0.0,0.0,51.68,51.68,51.68,0.0,0.0,50.74,50.74,50.74,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-06-17,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2018-06-24,43.83,43.83,43.83,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-07-01,44.8,44.8,44.8,0.0,0.0,45.77,45.77,45.77,0.0,0.0,44.13,44.13,44.13,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2018-07-08,45.42,45.42,45.42,0.0,0.0,45.59,45.59,45.59,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-07-15,45.76,45.76,45.76,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-07-22,46.21,46.21,46.21,0.0,0.0,46.21,46.21,46.21,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-07-29,45.69,45.69,45.69,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2018-08-05,44.82,44.82,44.82,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-08-12,42.01,42.01,42.01,0.0,0.0,42.35,42.35,42.35,0.0,0.0,41.1,41.1,41.1,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-08-19,44.31,44.31,44.31,0.0,0.0,45.28,45.28,45.28,0.0,0.0,44.31,44.31,44.31,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-08-26,46.37,46.37,46.37,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.37,46.37,46.37,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-09-02,44.1,44.1,44.1,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-09-09,44.23,44.23,44.23,0.0,0.0,44.75,44.75,44.75,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2018-09-16,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2018-09-23,43.54,43.54,43.54,0.0,0.0,45.1,45.1,45.1,0.0,0.0,43.54,43.54,43.54,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2018-09-30,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,41.63,41.63,41.63,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-10-07,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,36.65,36.65,36.65,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2018-10-14,37.63,37.63,37.63,0.0,0.0,37.78,37.78,37.78,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-10-21,31.11,31.11,31.11,0.0,0.0,32.92,32.92,32.92,0.0,0.0,30.85,30.85,30.85,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-10-28,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.8,35.8,35.8,0.0,0.0
2018-11-04,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2018-11-11,32.14,32.14,32.14,0.0,0.0,34.08,34.08,34.08,0.0,0.0,32.02,32.02,32.02,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-11-18,30.73,30.73,30.73,0.0,0.0,31.54,31.54,31.54,0.0,0.0,30.73,30.73,30.73,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-11-25,33.06,33.06,33.06,0.0,0.0,34.62,34.62,34.62,0.0,0.0,33.06,33.06,33.06,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-12-02,32.86,32.86,32.86,0.0,0.0,32.86,32.86,32.86,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-12-09,31.79,31.79,31.79,0.0,0.0,32.72,32.72,32.72,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-12-16,28.53,28.53,28.53,0.0,0.0,29.25,29.25,29.25,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-12-23,29.58,29.58,29.58,0.0,0.0,30.5,30.5,30.5,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-12-30,27.68,27.68,27.68,0.0,0.0,29.3,29.3,29.3,0.0,0.0,27.5,27.5,27.5,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2019-01-06,31.45,31.45,31.45,0.0,0.0,32.87,32.87,32.87,0.0,0.0,31.45,31.45,31.45,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2019-01-13,32.65,32.65,32.65,0.0,0.0,33.61,33.61,33.61,0.0,0.0,32.31,32.31,32.31,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2019-01-20,33.92,33.92,33.92,0.0,0.0,34.91,34.91,34.91,0.0,0.0,33.02,33.02,33.02,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2019-01-27,33.8,33.8,33.8,0.0,0.0,34.83,34.83,34.83,0.0,0.0,33.8,33.8,33.8,0.0,0.0,34.65,34.65,34.65,0.0,0.0
