Date,Vanguard Financials_etf_Open_average,Vanguard Financials_etf_Open_max,Vanguard Financials_etf_Open_min,Vanguard Financials_etf_Open_volatility,Vanguard Financials_etf_Open_change,Vanguard Financials_etf_High_average,Vanguard Financials_etf_High_max,Vanguard Financials_etf_High_min,Vanguard Financials_etf_High_volatility,Vanguard Financials_etf_High_change,Vanguard Financials_etf_Low_average,Vanguard Financials_etf_Low_max,Vanguard Financials_etf_Low_min,Vanguard Financials_etf_Low_volatility,Vanguard Financials_etf_Low_change,Vanguard Financials_etf_Close_average,Vanguard Financials_etf_Close_max,Vanguard Financials_etf_Close_min,Vanguard Financials_etf_Close_volatility,Vanguard Financials_etf_Close_change
2018-01-14,73.46,73.46,73.46,0.0,0.0,73.87,73.87,73.87,0.0,0.0,73.38,73.38,73.38,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2018-01-21,74.81,74.81,74.81,0.0,0.0,75.16,75.16,75.16,0.0,0.0,74.52,74.52,74.52,0.0,0.0,75.13,75.13,75.13,0.0,0.0
2018-01-28,74.58,74.58,74.58,0.0,0.0,74.8,74.8,74.8,0.0,0.0,73.23,73.23,73.23,0.0,0.0,73.32,73.32,73.32,0.0,0.0
2018-02-04,69.04,69.04,69.04,0.0,0.0,69.81,69.81,69.81,0.0,0.0,67.18,67.18,67.18,0.0,0.0,69.31,69.31,69.31,0.0,0.0
2018-02-11,72.25,72.25,72.25,0.0,0.0,73.16,73.16,73.16,0.0,0.0,72.25,72.25,72.25,0.0,0.0,72.64,72.64,72.64,0.0,0.0
2018-02-18,72.01,72.01,72.01,0.0,0.0,72.79,72.79,72.79,0.0,0.0,71.96,71.96,71.96,0.0,0.0,72.77,72.77,72.77,0.0,0.0
2018-02-25,70.48,70.48,70.48,0.0,0.0,71.44,71.44,71.44,0.0,0.0,69.82,69.82,69.82,0.0,0.0,71.31,71.31,71.31,0.0,0.0
2018-03-04,73.33,73.33,73.33,0.0,0.0,74.43,74.43,74.43,0.0,0.0,73.2,73.2,73.2,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2018-03-11,72.55,72.55,72.55,0.0,0.0,73.22,73.22,73.22,0.0,0.0,72.5,72.5,72.5,0.0,0.0,72.59,72.59,72.59,0.0,0.0
2018-03-18,69.79,69.79,69.79,0.0,0.0,70.04,70.04,70.04,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2018-03-25,68.93,68.93,68.93,0.0,0.0,69.88,69.88,69.88,0.0,0.0,68.6,68.6,68.6,0.0,0.0,69.47,69.47,69.47,0.0,0.0
2018-04-01,69.39,69.39,69.39,0.0,0.0,69.74,69.74,69.74,0.0,0.0,67.83,67.83,67.83,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-04-08,71.0,71.0,71.0,0.0,0.0,71.0,71.0,71.0,0.0,0.0,68.77,68.77,68.77,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2018-04-15,70.25,70.25,70.25,0.0,0.0,70.48,70.48,70.48,0.0,0.0,69.88,69.88,69.88,0.0,0.0,70.18,70.18,70.18,0.0,0.0
2018-04-22,69.72,69.72,69.72,0.0,0.0,70.06,70.06,70.06,0.0,0.0,69.55,69.55,69.55,0.0,0.0,69.87,69.87,69.87,0.0,0.0
2018-04-29,67.72,67.72,67.72,0.0,0.0,69.31,69.31,69.31,0.0,0.0,67.5,67.5,67.5,0.0,0.0,68.93,68.93,68.93,0.0,0.0
2018-05-06,71.35,71.35,71.35,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.15,71.15,71.15,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-05-13,71.26,71.26,71.26,0.0,0.0,71.26,71.26,71.26,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0
2018-05-20,70.55,70.55,70.55,0.0,0.0,70.73,70.73,70.73,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2018-05-27,69.81,69.81,69.81,0.0,0.0,70.13,70.13,70.13,0.0,0.0,69.63,69.63,69.63,0.0,0.0,69.82,69.82,69.82,0.0,0.0
2018-06-03,71.16,71.16,71.16,0.0,0.0,71.44,71.44,71.44,0.0,0.0,70.85,70.85,70.85,0.0,0.0,71.4,71.4,71.4,0.0,0.0
2018-06-10,69.84,69.84,69.84,0.0,0.0,70.32,70.32,70.32,0.0,0.0,69.24,69.24,69.24,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-06-17,70.0,70.0,70.0,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.25,69.25,69.25,0.0,0.0
2018-06-24,68.26,68.26,68.26,0.0,0.0,68.65,68.65,68.65,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.45,67.45,67.45,0.0,0.0
