Date,Fidelity MSCI Industrials_Open_average,Fidelity MSCI Industrials_Open_max,Fidelity MSCI Industrials_Open_min,Fidelity MSCI Industrials_Open_volatility,Fidelity MSCI Industrials_Open_change,Fidelity MSCI Industrials_High_average,Fidelity MSCI Industrials_High_max,Fidelity MSCI Industrials_High_min,Fidelity MSCI Industrials_High_volatility,Fidelity MSCI Industrials_High_change,Fidelity MSCI Industrials_Low_average,Fidelity MSCI Industrials_Low_max,Fidelity MSCI Industrials_Low_min,Fidelity MSCI Industrials_Low_volatility,Fidelity MSCI Industrials_Low_change,Fidelity MSCI Industrials_Close_average,Fidelity MSCI Industrials_Close_max,Fidelity MSCI Industrials_Close_min,Fidelity MSCI Industrials_Close_volatility,Fidelity MSCI Industrials_Close_change
2018-01-14,40.5,40.5,40.5,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2018-01-21,41.2,41.2,41.2,0.0,0.0,41.28,41.28,41.28,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-01-28,39.32,39.32,39.32,0.0,0.0,39.72,39.72,39.72,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-02-04,37.8,37.8,37.8,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.55,37.55,37.55,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2018-02-11,39.14,39.14,39.14,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2018-02-18,39.58,39.58,39.58,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-02-25,37.92,37.92,37.92,0.0,0.0,38.68,38.68,38.68,0.0,0.0,37.82,37.82,37.82,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2018-03-04,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-03-11,38.84,38.84,38.84,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2018-03-18,37.63,37.63,37.63,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.91,37.91,37.91,0.0,0.0
2018-03-25,37.7,37.7,37.7,0.0,0.0,37.75,37.75,37.75,0.0,0.0,36.59,36.59,36.59,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-04-01,37.39,37.39,37.39,0.0,0.0,37.59,37.59,37.59,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-04-08,37.96,37.96,37.96,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2018-04-15,38.67,38.67,38.67,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-04-22,37.37,37.37,37.37,0.0,0.0,37.49,37.49,37.49,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-04-29,37.08,37.08,37.08,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-05-06,38.36,38.36,38.36,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-05-13,38.94,38.94,38.94,0.0,0.0,39.28,39.28,39.28,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-05-20,38.76,38.76,38.76,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2018-05-27,38.66,38.66,38.66,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-06-03,39.3,39.3,39.3,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-06-10,38.37,38.37,38.37,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.55,38.55,38.55,0.0,0.0
