Date,PowerShares S&P SmallCap Consumer Discretionary_Open_average,PowerShares S&P SmallCap Consumer Discretionary_Open_max,PowerShares S&P SmallCap Consumer Discretionary_Open_min,PowerShares S&P SmallCap Consumer Discretionary_Open_volatility,PowerShares S&P SmallCap Consumer Discretionary_Open_change,PowerShares S&P SmallCap Consumer Discretionary_High_average,PowerShares S&P SmallCap Consumer Discretionary_High_max,PowerShares S&P SmallCap Consumer Discretionary_High_min,PowerShares S&P SmallCap Consumer Discretionary_High_volatility,PowerShares S&P SmallCap Consumer Discretionary_High_change,PowerShares S&P SmallCap Consumer Discretionary_Low_average,PowerShares S&P SmallCap Consumer Discretionary_Low_max,PowerShares S&P SmallCap Consumer Discretionary_Low_min,PowerShares S&P SmallCap Consumer Discretionary_Low_volatility,PowerShares S&P SmallCap Consumer Discretionary_Low_change,PowerShares S&P SmallCap Consumer Discretionary_Close_average,PowerShares S&P SmallCap Consumer Discretionary_Close_max,PowerShares S&P SmallCap Consumer Discretionary_Close_min,PowerShares S&P SmallCap Consumer Discretionary_Close_volatility,PowerShares S&P SmallCap Consumer Discretionary_Close_change
2018-01-14,62.78,62.78,62.78,0.0,0.0,62.82,62.82,62.82,0.0,0.0,62.61,62.61,62.61,0.0,0.0,62.82,62.82,62.82,0.0,0.0
2018-01-21,62.87,62.87,62.87,0.0,0.0,63.01,63.01,63.01,0.0,0.0,62.78,62.78,62.78,0.0,0.0,62.97,62.97,62.97,0.0,0.0
2018-01-28,60.67,60.67,60.67,0.0,0.0,60.72,60.72,60.72,0.0,0.0,59.58,59.58,59.58,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2018-02-04,58.24,58.24,58.24,0.0,0.0,58.53,58.53,58.53,0.0,0.0,56.45,56.45,56.45,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-02-11,60.39,60.39,60.39,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.18,60.18,60.18,0.0,0.0,60.25,60.25,60.25,0.0,0.0
2018-02-18,59.29,59.29,59.29,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.91,59.91,59.91,0.0,0.0
2018-02-25,57.38,57.38,57.38,0.0,0.0,58.48,58.48,58.48,0.0,0.0,57.38,57.38,57.38,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-03-04,59.56,59.56,59.56,0.0,0.0,59.92,59.92,59.92,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2018-03-11,60.16,60.16,60.16,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-03-18,58.66,58.66,58.66,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.3,58.3,58.3,0.0,0.0
