Date,iShares Europe Developed Real Estate_etf_Open_average,iShares Europe Developed Real Estate_etf_Open_max,iShares Europe Developed Real Estate_etf_Open_min,iShares Europe Developed Real Estate_etf_Open_volatility,iShares Europe Developed Real Estate_etf_Open_change,iShares Europe Developed Real Estate_etf_High_average,iShares Europe Developed Real Estate_etf_High_max,iShares Europe Developed Real Estate_etf_High_min,iShares Europe Developed Real Estate_etf_High_volatility,iShares Europe Developed Real Estate_etf_High_change,iShares Europe Developed Real Estate_etf_Low_average,iShares Europe Developed Real Estate_etf_Low_max,iShares Europe Developed Real Estate_etf_Low_min,iShares Europe Developed Real Estate_etf_Low_volatility,iShares Europe Developed Real Estate_etf_Low_change,iShares Europe Developed Real Estate_etf_Close_average,iShares Europe Developed Real Estate_etf_Close_max,iShares Europe Developed Real Estate_etf_Close_min,iShares Europe Developed Real Estate_etf_Close_volatility,iShares Europe Developed Real Estate_etf_Close_change
2018-01-14,41.9,41.9,41.9,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2018-01-21,42.49,42.49,42.49,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-01-28,41.35,41.35,41.35,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-02-04,38.97,38.97,38.97,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-02-11,40.2,40.2,40.2,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-02-18,40.34,40.34,40.34,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-02-25,39.04,39.04,39.04,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-03-04,40.39,40.39,40.39,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-03-11,40.32,40.32,40.32,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-03-18,40.36,40.36,40.36,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2018-03-25,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2018-04-01,41.0,41.0,41.0,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-04-08,41.41,41.41,41.41,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2018-04-15,41.41,41.41,41.41,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-04-22,41.48,41.48,41.48,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2018-04-29,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2018-05-06,41.84,41.84,41.84,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2018-05-13,40.69,40.69,40.69,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-05-20,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-05-27,40.47,40.47,40.47,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2018-06-03,41.18,41.18,41.18,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2018-06-10,41.07,41.07,41.07,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2018-06-17,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-06-24,39.74,39.74,39.74,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2018-07-01,40.25,40.25,40.25,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.4,40.4,40.4,0.0,0.0
