Date,JPMorgan Diversified Return US Mid Cap Equity_Open_average,JPMorgan Diversified Return US Mid Cap Equity_Open_max,JPMorgan Diversified Return US Mid Cap Equity_Open_min,JPMorgan Diversified Return US Mid Cap Equity_Open_volatility,JPMorgan Diversified Return US Mid Cap Equity_Open_change,JPMorgan Diversified Return US Mid Cap Equity_High_average,JPMorgan Diversified Return US Mid Cap Equity_High_max,JPMorgan Diversified Return US Mid Cap Equity_High_min,JPMorgan Diversified Return US Mid Cap Equity_High_volatility,JPMorgan Diversified Return US Mid Cap Equity_High_change,JPMorgan Diversified Return US Mid Cap Equity_Low_average,JPMorgan Diversified Return US Mid Cap Equity_Low_max,JPMorgan Diversified Return US Mid Cap Equity_Low_min,JPMorgan Diversified Return US Mid Cap Equity_Low_volatility,JPMorgan Diversified Return US Mid Cap Equity_Low_change,JPMorgan Diversified Return US Mid Cap Equity_Close_average,JPMorgan Diversified Return US Mid Cap Equity_Close_max,JPMorgan Diversified Return US Mid Cap Equity_Close_min,JPMorgan Diversified Return US Mid Cap Equity_Close_volatility,JPMorgan Diversified Return US Mid Cap Equity_Close_change
2018-01-14,65.91,65.91,65.91,0.0,0.0,66.38,66.38,66.38,0.0,0.0,65.91,65.91,65.91,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-01-21,66.84,66.84,66.84,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-01-28,64.33,64.33,64.33,0.0,0.0,64.55,64.55,64.55,0.0,0.0,62.55,62.55,62.55,0.0,0.0,63.4,63.4,63.4,0.0,0.0
2018-02-04,62.08,62.08,62.08,0.0,0.0,62.71,62.71,62.71,0.0,0.0,61.98,61.98,61.98,0.0,0.0,62.46,62.46,62.46,0.0,0.0
2018-02-11,64.13,64.13,64.13,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.13,64.13,64.13,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-02-18,64.44,64.44,64.44,0.0,0.0,64.66,64.66,64.66,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.62,64.62,64.62,0.0,0.0
2018-02-25,63.11,63.11,63.11,0.0,0.0,64.0,64.0,64.0,0.0,0.0,63.11,63.11,63.11,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2018-03-04,65.27,65.27,65.27,0.0,0.0,65.49,65.49,65.49,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.38,65.38,65.38,0.0,0.0
2018-03-11,64.74,64.74,64.74,0.0,0.0,64.74,64.74,64.74,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2018-03-18,62.74,62.74,62.74,0.0,0.0,63.24,63.24,63.24,0.0,0.0,62.48,62.48,62.48,0.0,0.0,63.24,63.24,63.24,0.0,0.0
