Date,ProShares Morningstar Alternatives Solution_Open_average,ProShares Morningstar Alternatives Solution_Open_max,ProShares Morningstar Alternatives Solution_Open_min,ProShares Morningstar Alternatives Solution_Open_volatility,ProShares Morningstar Alternatives Solution_Open_change,ProShares Morningstar Alternatives Solution_High_average,ProShares Morningstar Alternatives Solution_High_max,ProShares Morningstar Alternatives Solution_High_min,ProShares Morningstar Alternatives Solution_High_volatility,ProShares Morningstar Alternatives Solution_High_change,ProShares Morningstar Alternatives Solution_Low_average,ProShares Morningstar Alternatives Solution_Low_max,ProShares Morningstar Alternatives Solution_Low_min,ProShares Morningstar Alternatives Solution_Low_volatility,ProShares Morningstar Alternatives Solution_Low_change,ProShares Morningstar Alternatives Solution_Close_average,ProShares Morningstar Alternatives Solution_Close_max,ProShares Morningstar Alternatives Solution_Close_min,ProShares Morningstar Alternatives Solution_Close_volatility,ProShares Morningstar Alternatives Solution_Close_change
2018-01-14,38.33,38.33,38.33,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2018-01-21,38.42,38.42,38.42,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2018-01-28,37.78,37.78,37.78,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-02-04,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-02-11,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-02-18,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2018-02-25,37.25,37.25,37.25,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-03-04,37.58,37.58,37.58,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-03-11,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-03-18,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0
