Date,GURE_Open_average,GURE_Open_max,GURE_Open_min,GURE_Open_volatility,GURE_Open_change,GURE_High_average,GURE_High_max,GURE_High_min,GURE_High_volatility,GURE_High_change,GURE_Low_average,GURE_Low_max,GURE_Low_min,GURE_Low_volatility,GURE_Low_change,GURE_Close_average,GURE_Close_max,GURE_Close_min,GURE_Close_volatility,GURE_Close_change,GURE_Volume_average,GURE_Volume_max,GURE_Volume_min,GURE_Volume_volatility,GURE_Volume_change
2018-01-14,1.584,1.65,1.55,0.09999999999999987,0.0,1.614,1.66,1.57,0.08999999999999986,-0.08999999999999986,1.563,1.59,1.535,0.05500000000000016,-0.015000000000000124,1.5774000000000001,1.607,1.54,0.06699999999999995,-0.06000000000000005,117012,341634,41791,299843,-299843
2018-01-21,1.558,1.6,1.52,0.08000000000000007,0.020000000000000018,1.578,1.62,1.54,0.08000000000000007,0.020000000000000018,1.5198,1.54,1.48,0.06000000000000005,0.050000000000000044,1.548,1.6,1.52,0.08000000000000007,0.010000000000000009,112508,183830,49673,134157,-66102
2018-01-28,1.496,1.52,1.48,0.040000000000000036,-0.040000000000000036,1.524,1.55,1.5,0.050000000000000044,-0.020000000000000018,1.482,1.49,1.48,0.010000000000000009,0.0,1.4929999999999999,1.505,1.48,0.02499999999999991,0.0,65404,98863,32842,66021,-28412
2018-02-04,1.449,1.48,1.41,0.07000000000000006,-0.02499999999999991,1.4764,1.54,1.43,0.1100000000000001,-0.021999999999999797,1.4122,1.44,1.38,0.06000000000000005,-0.020000000000000018,1.4448,1.48,1.41,0.07000000000000006,0.0,87944,159793,27663,132130,-85728
2018-02-11,1.47025,1.4709999999999999,1.47,0.0009999999999998899,0.0009999999999998899,1.4875,1.5,1.47,0.030000000000000027,0.030000000000000027,1.45525,1.4709999999999999,1.43,0.040999999999999925,0.040999999999999925,1.471,1.48,1.46,0.020000000000000018,0.014000000000000012,24092,37976,2694,35282,-23426
2018-02-18,1.518,1.55,1.46,0.09000000000000008,0.08000000000000007,1.5438,1.56,1.5,0.06000000000000005,0.06000000000000005,1.4902,1.53,1.46,0.07000000000000006,0.07000000000000006,1.526,1.54,1.5,0.040000000000000036,0.040000000000000036,47792,78253,24767,53486,-1809
2018-02-25,1.5246,1.55,1.5,0.050000000000000044,-0.04300000000000015,1.5346,1.56,1.51,0.050000000000000044,-0.050000000000000044,1.4998,1.524,1.485,0.038999999999999924,-0.03400000000000003,1.516,1.56,1.5,0.06000000000000005,-0.06000000000000005,51593,91032,21141,69891,65682
2018-03-04,1.52,1.55,1.49,0.06000000000000005,0.030000000000000027,1.554,1.61,1.53,0.08000000000000007,0.07000000000000006,1.5056,1.55,1.4880000000000002,0.06199999999999983,0.050000000000000044,1.542,1.61,1.5,0.1100000000000001,0.09000000000000008,50979,75603,25031,50572,14330
2018-03-11,1.506,1.62,1.4,0.2200000000000002,-0.2200000000000002,1.55,1.62,1.47,0.15000000000000013,-0.1100000000000001,1.456,1.57,1.38,0.19000000000000017,-0.17000000000000015,1.475,1.58,1.41,0.17000000000000015,-0.14000000000000012,189964,545519,16066,529453,179082
2018-03-18,1.486,1.52,1.45,0.07000000000000006,0.050000000000000044,1.5148,1.55,1.47,0.08000000000000007,0.030000000000000027,1.46,1.5,1.44,0.06000000000000005,0.0,1.479,1.53,1.44,0.09000000000000008,-0.020000000000000018,41323,52500,29078,23422,-15316
2018-03-25,1.435,1.45,1.42,0.030000000000000027,0.010000000000000009,1.44125,1.45,1.43,0.020000000000000018,0.004999999999999893,1.4124999999999999,1.42,1.41,0.010000000000000009,-0.010000000000000009,1.4224999999999999,1.43,1.41,0.020000000000000018,-0.010000000000000009,31277,39515,23242,16273,-16273
2018-04-01,1.412,1.43,1.39,0.040000000000000036,0.010000000000000009,1.43,1.45,1.42,0.030000000000000027,0.020000000000000018,1.404,1.43,1.38,0.050000000000000044,0.030000000000000027,1.4185999999999999,1.44,1.4,0.040000000000000036,0.02400000000000002,25892,34032,16403,17629,-1703
2018-04-08,1.438,1.45,1.42,0.030000000000000027,0.020000000000000018,1.47,1.49,1.44,0.050000000000000044,-0.010000000000000009,1.4183999999999999,1.43,1.401,0.028999999999999915,-0.001000000000000112,1.446,1.46,1.42,0.040000000000000036,0.010000000000000009,90413,305912,26153,279759,-273550
