Date,JKHY_Open_average,JKHY_Open_max,JKHY_Open_min,JKHY_Open_volatility,JKHY_Open_change,JKHY_High_average,JKHY_High_max,JKHY_High_min,JKHY_High_volatility,JKHY_High_change,JKHY_Low_average,JKHY_Low_max,JKHY_Low_min,JKHY_Low_volatility,JKHY_Low_change,JKHY_Close_average,JKHY_Close_max,JKHY_Close_min,JKHY_Close_volatility,JKHY_Close_change,JKHY_Volume_average,JKHY_Volume_max,JKHY_Volume_min,JKHY_Volume_volatility,JKHY_Volume_change
2018-01-14,124.566,125.5,123.95,1.5499999999999972,0.7999999999999972,125.248,125.55,124.33,1.2199999999999989,1.019999999999996,124.11,124.56,123.53,1.0300000000000011,1.0300000000000011,124.684,125.32,123.73,1.5899999999999892,1.5899999999999892,299029,380419,241445,138974,-124031
2018-01-21,125.682,126.32,124.74,1.5799999999999983,1.3200000000000074,126.618,127.31,126.13,1.1800000000000068,1.1200000000000045,124.96,125.82,124.64,1.1799999999999926,1.1099999999999994,125.928,126.53,125.15,1.3799999999999955,0.4099999999999966,298497,356842,218327,138515,87014
2018-01-28,124.416,126.04,122.35,3.690000000000012,-3.690000000000012,125.07,126.7,122.94,3.760000000000005,-3.760000000000005,122.796,125.17,117.94,7.230000000000004,-7.230000000000004,123.1,125.25,117.97,7.280000000000001,-7.280000000000001,342848,451175,283143,168032,154323
2018-02-04,116.746,118.27,115.28,2.989999999999995,0.8200000000000074,117.846,118.87,115.95,2.9200000000000017,-1.7199999999999989,114.55199999999999,115.91,112.78,3.1299999999999955,1.2199999999999989,116.24,117.97,114.37,3.5999999999999943,-1.6700000000000017,683582,878241,461902,416339,-416339
2018-02-11,118.25,120.84,115.79,5.049999999999997,5.049999999999997,120.2325,122.45,117.28,5.170000000000002,5.170000000000002,117.8025,120.49,115.49,5.0,5.0,119.85,122.08,117.13,4.950000000000003,4.950000000000003,382784,445580,335730,109850,28885
2018-02-18,121.244,122.55,119.66,2.8900000000000006,0.23999999999999488,121.88,122.85,120.48,2.3699999999999903,0.4299999999999926,120.06,121.1,119.23,1.8699999999999903,0.45999999999999375,120.798,121.95,119.43,2.519999999999996,0.4299999999999926,298212,376413,182504,193909,-26131
2018-02-25,118.692,121.16,116.8,4.359999999999999,-2.739999999999995,120.342,121.57,118.43,3.1399999999999864,-0.36999999999999034,117.2,118.57,115.85,2.719999999999999,-0.7099999999999937,118.928,121.01,117.3,3.710000000000008,1.4500000000000028,425092,588622,280334,308288,80990
2018-03-04,122.398,123.91,121.08,2.8299999999999983,2.6799999999999926,123.154,124.21,121.94,2.269999999999996,2.1200000000000045,121.68599999999999,123.07,120.44,2.6299999999999955,2.6299999999999955,122.768,123.93,121.9,2.030000000000001,1.509999999999991,368549,417242,321653,95589,32629
2018-03-11,124.684,125.08,123.93,1.1499999999999915,1.059999999999988,125.216,125.6,124.17,1.4299999999999926,1.4299999999999926,123.996,124.41,122.92,1.4899999999999949,0.9299999999999926,124.846,125.25,124.06,1.1899999999999977,0.8400000000000034,425591,653293,294698,358595,-1810
2018-03-18,123.55799999999999,125.45,120.7,4.75,-4.159999999999997,124.218,126.29,121.08,5.210000000000008,-4.530000000000001,122.036,125.16,119.16,6.0,-5.030000000000001,122.652,125.36,119.2,6.159999999999997,-4.480000000000004,299149,334700,241385,93315,-16789
